# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_office_unlimited_oc
# Exported by: Doctor Blargio
setting:	replacespawns 1
weapon_ttt_dual_elites	1483.038330 -201.244431 -127.965904	1.958 0.154 -0.056
weapon_ttt_dual_elites	1367.001709 39.260307 -130.011383	1.932 0.149 -0.061
weapon_ttt_dual_elites	1797.330688 463.501434 -160.057816	1.951 0.161 -0.049
weapon_ttt_dual_elites	270.018890 867.711426 -154.252487	51.467 160.052 -142.244
weapon_ttt_dual_elites	-524.068604 1225.444092 -136.276749	1.935 0.156 -0.053
weapon_ttt_dual_elites	2027.849976 172.557251 -367.572357	1.980 0.163 -0.051
weapon_ttt_dual_elites	1935.074341 -1307.381836 -316.711975	1.997 0.160 -0.061
weapon_ttt_dual_elites	1318.224976 -2248.996094 -238.940918	1.831 108.677 -1.025
weapon_ttt_dual_elites	-1751.466187 -1282.586792 -327.931305	1.183 -4.247 0.195
weapon_ttt_dual_elites	235.702942 867.169312 -156.355804	-14.966 10.362 66.601
weapon_ttt_dual_elites	553.861633 401.087677 -160.041153	1.935 0.156 -0.053
weapon_ttt_dual_elites	1470.296875 -278.893677 -341.444855	2.611 0.140 0.052
weapon_ttt_dual_elites	582.846069 -399.581177 -328.045410	2.031 0.167 -0.056
weapon_ttt_dual_elites	-803.439148 -1217.294434 -240.050140	2.038 0.173 -0.055
weapon_ttt_dual_elites	1519.075073 -646.538757 -127.959641	1.951 0.151 -0.057
weapon_ttt_dual_elites	562.063843 1101.153931 -176.014267	1.982 0.157 -0.063
weapon_ttt_dual_elites	145.647064 -174.622574 -111.156235	1.963 0.154 -0.054
weapon_ttt_dual_elites	-670.128357 -962.877380 -129.423050	1.980 0.163 -0.051
weapon_ttt_smokegrenade	495.733002 637.470276 -155.410095	1.002 57.135 -0.771
weapon_ttt_smokegrenade	-445.939789 -115.713997 -125.394798	2.173 -0.121 -2.220
weapon_ttt_smokegrenade	-440.233612 -112.020401 -125.403999	2.465 -0.123 -2.528
weapon_ttt_smokegrenade	-437.509705 -119.119598 -125.467201	1.159 0.012 -0.959
weapon_ttt_smokegrenade	-441.285187 -126.201897 -125.432999	3.306 -0.124 -3.408
weapon_ttt_smokegrenade	-430.944397 -114.058197 -125.471901	1.015 0.012 -0.736
weapon_ttt_smokegrenade	2219.440674 -180.279999 -125.455299	0.541 0.007 -0.260
weapon_ttt_smokegrenade	1850.953979 454.496979 -175.839417	-1.480 -1.456 -1.507
weapon_ttt_mp5	664.752686 -36.639343 -364.929626	0.006 0.300 -87.389
weapon_ttt_mp5	2195.114014 -62.520996 -129.323425	0.111 2.725 83.037
weapon_ttt_mp5	2188.154541 -134.567322 -129.367584	0.118 11.215 83.035
weapon_ttt_mp5	1352.134521 -655.024780 -126.836494	0.400 6.084 -87.595
weapon_ttt_mp5	1618.700684 -570.690063 -126.925201	0.407 100.535 -86.472
weapon_ttt_mp5	-293.837433 582.736938 -135.272049	0.963 -94.644 -85.945
