# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dolls
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_zm_pistol	593.028687 864.336365 -452.150970	-0.143 37.845 89.591
weapon_zm_pistol	-625.573425 334.859772 -117.661507	0.012 -29.220 -89.765
weapon_zm_pistol	-52.893250 1086.229126 112.375748	0.971 36.427 89.094
weapon_ttt_pump_shotgun	451.504425 -653.467834 129.578568	-0.549 -84.807 -89.961
weapon_ttt_pump_shotgun	-796.856323 -457.313446 395.217194	11.361 -11.480 -92.393
weapon_ttt_pump_shotgun	-737.191833 -98.038368 -702.505737	-0.471 -10.293 -90.050
weapon_ttt_pump_shotgun	-922.452881 407.236359 -694.604309	-0.478 -18.930 -88.546
ttt_random_weapon	169.250061 34.555344 -702.849487	2.369 5.663 -91.708
ttt_random_weapon	183.204514 923.845337 -318.799377	1.868 4.779 -92.613
ttt_random_weapon	394.202728 -558.146057 321.204742	1.822 4.776 -92.719
ttt_random_weapon	573.867065 6.132601 -638.792725	1.793 4.774 -92.785
item_ammo_357_ttt	685.735596 194.292526 128.470398	0.478 -2.126 0.000
item_ammo_357_ttt	694.110596 194.004990 128.346481	0.411 -0.401 -0.147
item_ammo_357_ttt	701.422913 194.405609 128.319473	0.448 0.075 0.059
item_ammo_357_ttt	712.050293 193.896881 128.470261	0.478 -0.830 -0.000
item_ammo_357_ttt	199.433090 -838.411255 128.420868	0.794 -0.268 -0.918
item_ammo_357_ttt	195.281006 -849.685974 128.382751	0.461 0.057 0.034
item_ammo_357_ttt	200.817444 -859.064575 128.410812	0.866 -0.231 -1.111
item_ammo_357_ttt	195.267990 -871.105591 128.420319	0.916 -0.272 -1.013
item_ammo_357_ttt	203.564316 -870.372009 128.328323	0.450 0.070 0.056
item_ammo_357_ttt	207.309143 -845.804260 128.366928	0.458 0.060 0.041
item_ammo_357_ttt	49.984306 1017.828308 112.350578	0.811 0.395 -0.036
item_ammo_357_ttt	40.326344 1017.519348 112.457069	1.712 -0.527 -1.065
item_ammo_357_ttt	27.825300 1017.594055 112.431099	0.884 -0.290 -0.839
item_ammo_357_ttt	17.865973 1017.618591 112.440018	0.994 -0.287 -0.792
item_ammo_357_ttt	716.386719 666.676208 128.328323	0.450 0.070 0.056
item_ammo_357_ttt	732.285706 675.438782 128.363754	0.457 0.060 0.042
item_ammo_357_ttt	580.973083 571.674255 -371.618256	0.469 0.058 0.032
item_ammo_357_ttt	590.529053 577.142639 -371.649506	0.465 0.064 0.043
item_ammo_357_ttt	-740.062256 -769.565308 176.326157	0.450 0.070 0.057
item_ammo_357_ttt	-741.784302 -783.371826 179.283417	88.705 -0.791 -0.000
item_ammo_357_ttt	-140.440918 907.106201 112.334618	0.451 0.066 0.053
item_ammo_357_ttt	-129.036163 906.157288 112.330452	0.451 0.070 0.055
item_ammo_357_ttt	664.835571 -207.440948 -254.583740	0.478 -9.329 -0.000
item_ammo_357_ttt	685.879944 -209.728973 -254.583740	0.478 0.048 -0.000
item_ammo_357_ttt	-784.564209 953.768250 -391.552277	0.675 -2.607 -0.003
item_ammo_357_ttt	-790.941406 953.868896 -391.559662	0.157 0.421 0.035
item_ammo_357_ttt	-797.138306 953.442383 -391.672638	0.300 0.006 -0.140
item_ammo_357_ttt	-813.600342 -326.627777 395.024384	-13.558 -0.711 0.894
item_ammo_357_ttt	-811.004028 -314.956055 395.626373	-13.362 -0.787 0.207
item_ammo_357_ttt	-811.765381 -302.134308 395.487274	-14.612 -2.082 0.545
item_ammo_357_ttt	-812.340759 -288.951385 395.322449	-15.008 -2.171 0.582
item_ammo_357_ttt	-806.078308 -551.352600 -703.682251	0.462 0.075 0.055
item_ammo_357_ttt	-807.351746 -539.841858 -703.639099	0.467 0.060 0.040
item_ammo_357_ttt	-808.068298 -528.286194 -703.673279	0.463 0.070 0.052
item_ammo_357_ttt	-807.467529 -515.697449 -703.616882	0.469 0.058 0.032
item_ammo_357_ttt	-797.838135 -551.677734 -703.664856	0.464 0.067 0.049
item_ammo_357_ttt	-800.440491 -537.486755 -703.656921	0.465 0.064 0.046
item_ammo_357_ttt	-799.863525 -526.148804 -703.642456	0.466 0.062 0.041
item_ammo_357_ttt	-799.257813 -514.388672 -703.602417	0.470 0.057 0.026
item_ammo_357_ttt	-502.468933 -166.142075 -703.616577	1.554 0.509 -0.049
item_ammo_357_ttt	-493.257935 -166.453156 -703.557617	1.431 -0.581 -1.071
item_ammo_357_ttt	-481.813232 -166.134857 -703.566162	1.080 0.561 -0.026
item_ammo_357_ttt	-471.989990 -166.133850 -703.607178	1.761 0.554 -0.056
item_ammo_357_ttt	-460.294739 -166.135666 -703.579407	1.270 0.555 -0.035
item_ammo_357_ttt	-451.790009 -166.314743 -703.582947	1.106 -0.422 -1.197
item_ammo_357_ttt	-442.766418 -166.349976 -703.567078	0.840 -0.387 -0.781
item_ammo_357_ttt	-433.484253 -166.392563 -703.558899	0.842 -0.400 -0.669
