# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_richland
# Exported by: ¤CvG¤™ ‡n$aПi†y
setting:	replacespawns 1
weapon_zm_pistol	-641.3511 -524.2619 308.3196	0.012 35.124 88.574
weapon_zm_pistol	-611.5958 -519.4679 308.2854	0.019 35.157 87.873
weapon_zm_pistol	-28.7873 -1440.8887 16.2331	-0.355 -36.693 -91.921
weapon_zm_pistol	479.2092 -1438.6450 15.4827	-1.469 -35.642 -90.567
weapon_zm_pistol	1097.8855 -641.6414 14.3596	0.453 36.661 89.096
weapon_zm_pistol	1342.8967 313.3083 33.1732	0.046 35.113 88.262
weapon_zm_pistol	1355.4910 286.3649 33.1406	-0.534 35.368 88.815
item_ammo_pistol_ttt	1375.5393 1709.8718 17.0315	2.900 3.970 -6.805
item_ammo_pistol_ttt	1390.7750 1761.7098 14.7488	-86.635 95.415 38.901
item_ammo_pistol_ttt	1351.6533 1724.9076 17.2753	8.020 0.608 -5.456
item_ammo_pistol_ttt	815.7687 41.8167 58.4908	-0.347 1.516 -0.164
item_ammo_pistol_ttt	799.6650 42.0694 58.4592	0.261 1.041 -0.172
item_ammo_pistol_ttt	738.4068 117.2458 58.4578	0.916 0.866 0.037
item_ammo_pistol_ttt	785.2032 82.9017 184.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-635.8715 -505.6289 308.4439	-0.288 0.085 -0.427
item_ammo_pistol_ttt	-619.9612 -530.8712 308.3708	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	-1171.2460 -1213.1694 280.3565	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	393.8864 -1513.1287 17.7860	-0.988 -0.144 -0.826
item_ammo_pistol_ttt	551.9602 -1481.2687 14.3176	-0.158 -0.017 -0.047
item_ammo_pistol_ttt	1328.8600 -196.3155 18.2106	-2.668 0.263 0.792
item_ammo_pistol_ttt	1406.6881 308.3191 33.2704	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	1355.0516 360.3161 33.2600	0.025 0.031 0.003
