# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: clue
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	750.955933 -28.315351 31.958200	1.969 0.158 -0.053
weapon_ttt_dual_elites	750.349365 -49.208492 32.000622	1.918 0.146 -0.064
weapon_ttt_dual_elites	749.520630 -69.573242 32.034462	1.878 0.142 -0.073
weapon_ttt_dual_elites	581.262390 -410.112518 21.633162	1.974 0.158 -0.052
weapon_ttt_dual_elites	581.525269 -425.229767 21.688011	1.909 0.145 -0.066
weapon_ttt_dual_elites	581.582214 -438.645325 21.676884	1.922 0.147 -0.064
weapon_ttt_dual_elites	534.124634 -57.880543 21.880573	1.860 0.141 -0.077
weapon_ttt_dual_elites	564.906372 -56.648663 21.804419	1.951 0.151 -0.057
weapon_ttt_dual_elites	548.522278 -57.638927 21.843380	2.109 0.149 -0.049
weapon_ttt_dual_elites	367.955841 58.057323 23.011835	1.883 0.142 -0.067
weapon_ttt_dual_elites	366.735565 209.605865 23.018847	1.876 0.141 -0.069
weapon_ttt_mp5	535.185669 -228.775574 201.098404	0.259 2.191 -87.347
weapon_ttt_mp5	535.465210 -249.515228 201.110214	0.328 1.969 -87.957
weapon_ttt_mp5	680.942078 -194.817963 -0.511915	-7.372 1.174 -2.324
weapon_ttt_mp5	634.743896 -192.187332 -0.501923	-7.486 1.311 -1.922
weapon_ttt_mp5	736.983459 -123.429199 -0.501650	-7.489 1.240 -1.911
weapon_ttt_mp5	738.075562 -157.013641 -0.496776	-7.545 1.271 -1.718
weapon_ttt_mp5	681.722351 -337.650513 -0.517018	-7.353 1.044 -2.908
weapon_ttt_mp5	683.706909 -381.031952 1.110683	0.235 2.551 -87.760
weapon_ttt_mp5	362.814240 1260.226563 23.492041	-7.417 1.028 -2.162
weapon_ttt_mp5	375.743622 1231.607422 23.481586	-7.296 1.053 -2.607
weapon_ttt_mp5	-120.936256 -441.061829 1.096338	0.208 6.194 -87.152
weapon_ttt_magnum	542.480408 168.317535 202.303146	7.682 -65.687 -78.135
weapon_ttt_magnum	541.740479 135.057938 201.286423	-0.381 28.909 85.382
weapon_ttt_smg	653.350525 745.546082 365.688232	5.026 0.140 0.737
weapon_ttt_smg	646.123413 760.984619 365.557800	5.065 0.418 3.950
item_ammo_revolver_ttt	547.791077 -153.753143 360.397430	1.176 0.651 -0.038
item_ammo_revolver_ttt	531.726379 -153.921631 360.439484	0.799 -0.396 -0.661
item_ammo_revolver_ttt	513.354553 -154.051147 360.462524	1.520 -0.348 -0.851
item_ammo_revolver_ttt	495.329376 -153.779236 360.398590	0.734 0.500 0.011
item_ammo_revolver_ttt	816.699219 621.945740 360.332489	0.913 0.029 0.069
item_ammo_revolver_ttt	816.710510 604.002747 360.437866	0.426 0.483 -0.426
item_ammo_revolver_ttt	816.709167 583.268066 360.299774	0.519 0.120 -0.032
item_ammo_revolver_ttt	551.004089 120.199738 200.371506	0.459 0.059 0.039
item_ammo_revolver_ttt	552.235535 101.236046 200.392715	0.463 0.057 0.030
item_ammo_revolver_ttt	551.620972 83.095558 200.407761	0.480 0.066 0.017
item_ammo_revolver_ttt	539.560852 120.322914 200.357117	0.456 0.062 0.044
item_ammo_revolver_ttt	540.399292 101.310020 200.369995	0.458 0.059 0.039
item_ammo_revolver_ttt	541.676941 81.380516 200.452042	0.485 -0.056 -0.002
item_ammo_revolver_ttt	-204.763702 120.908409 200.431244	0.945 -0.377 -0.880
item_ammo_revolver_ttt	-204.687408 139.527847 200.465210	0.689 -0.228 -0.221
item_ammo_revolver_ttt	-203.901382 157.970291 200.441650	1.116 0.739 -0.044
item_ammo_revolver_ttt	54.091347 -601.746948 24.338655	0.452 0.066 0.052
item_ammo_revolver_ttt	44.348610 -602.007385 24.460951	1.486 -0.635 -0.849
item_ammo_revolver_ttt	33.370247 -602.015442 24.435505	1.140 -0.213 -0.959
item_ammo_revolver_ttt	649.333374 -607.206848 0.328848	0.463 0.070 0.051
item_ammo_revolver_ttt	638.615723 -617.032227 0.339141	0.464 0.066 0.047
item_ammo_revolver_ttt	627.657837 -628.099548 0.403792	0.479 -0.006 -0.042
item_ammo_revolver_ttt	618.606201 -640.796204 0.355817	0.466 0.062 0.041
item_ammo_revolver_ttt	660.000427 -598.690002 0.438398	0.898 0.523 -0.019
item_ammo_revolver_ttt	126.345924 1256.845947 24.451374	0.891 0.385 -0.024
item_ammo_revolver_ttt	145.304932 1256.185059 24.421316	0.737 -0.311 -0.871
item_ammo_revolver_ttt	-212.327927 569.292603 0.348146	0.453 0.061 0.049
