# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_richland
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_ttt_dual_elites	241.236038 -421.401642 48.316174	1.791 0.127 -0.092
weapon_ttt_dual_elites	242.145981 -336.838165 48.289139	1.823 0.135 -0.086
weapon_ttt_dual_elites	243.639389 -318.464203 48.252613	1.859 0.133 -0.080
weapon_ttt_dual_elites	238.839142 -401.195190 48.186913	1.925 0.146 -0.065
weapon_ttt_smokegrenade	522.690674 -275.708099 180.605804	0.128 -0.229 -0.021
weapon_ttt_smokegrenade	525.507813 -337.959412 180.611099	-1.883 14.152 0.461
weapon_ttt_smokegrenade	-1101.840454 -1208.737793 284.532715	1.661 0.008 -1.458
weapon_ttt_smokegrenade	-602.106323 1967.654907 122.658302	-2.357 0.079 -4.499
weapon_ttt_smokegrenade	-393.350220 1544.547607 82.110260	25.075 149.146 90.488
weapon_ttt_smokegrenade	-988.032471 265.798706 177.606796	-8.367 58.468 90.006
weapon_ttt_smokegrenade	-132.958405 507.902313 20.631100	1.478 -0.113 -1.519
weapon_ttt_smokegrenade	175.960800 96.025597 303.410492	51.789 1.380 89.160
weapon_ttt_smokegrenade	-231.378006 439.402008 336.577301	33.260 111.972 119.608
weapon_ttt_smokegrenade	-1082.041382 -1.186200 304.631989	1.925 -98.975 -61.276
weapon_ttt_mp5	-522.140991 1939.786987 224.854294	-0.113 -3.670 83.504
weapon_ttt_mp5	-1054.494751 1608.866089 40.869301	-0.057 -3.851 83.554
weapon_ttt_mp5	310.711334 450.382294 217.245071	0.623 5.196 -86.436
weapon_ttt_mp5	739.301636 341.445587 307.485443	-7.341 1.330 -2.428
weapon_ttt_mp5	740.135193 317.654266 307.498871	-7.495 1.081 -1.891
weapon_ttt_mp5	739.892700 288.685791 307.504883	-7.564 1.087 -1.653
weapon_ttt_mp5	740.481934 269.350433 309.054810	0.760 -12.267 -86.709
weapon_ttt_mp5	349.531586 -1329.380981 19.093897	0.295 6.552 -87.259
weapon_ttt_mp5	294.758820 -1333.514893 19.093746	0.301 6.551 -87.266
weapon_ttt_mp5	872.575928 -1025.085571 19.079931	0.173 -8.181 -87.118
weapon_ttt_mp5	876.892273 -1058.360962 19.107779	0.103 -8.148 -87.346
weapon_ttt_mp5	876.778076 -1090.933105 19.097996	0.241 0.541 -87.290
weapon_ttt_mp5	-286.689056 527.396118 17.093584	0.306 6.551 -87.273
weapon_ttt_mp5	-329.180359 518.926941 17.093037	0.326 6.549 -87.297
weapon_ttt_mp5	-864.818115 103.716103 175.459900	-7.413 0.863 -1.785
weapon_ttt_mp5	-859.195435 68.801926 175.460754	-7.417 0.822 -1.776
weapon_ttt_mp5	-861.106812 45.560024 175.487732	-7.552 0.792 -1.497
weapon_ttt_mp5	-508.167786 1868.560547 -62.905308	0.267 6.544 -87.224
weapon_ttt_mp5	-506.463684 1841.677246 -62.906677	0.316 6.549 -87.284
weapon_ttt_mp5	-514.633423 1809.586792 -62.905079	0.259 6.539 -87.214
weapon_ttt_mp5	310.553619 1765.587280 79.441162	-7.320 0.725 -1.979
weapon_ttt_mp5	315.306122 1734.960571 79.461586	-7.422 0.774 -1.768
weapon_ttt_mp5	321.253021 1697.036987 81.107986	0.280 3.968 -87.762
weapon_ttt_magnum	816.935120 -1336.545654 20.003260	9.694 25.895 73.163
weapon_ttt_magnum	800.916809 -1338.184082 19.956923	8.443 26.474 76.020
weapon_ttt_magnum	818.453186 -1323.501587 20.006477	9.305 26.210 74.641
weapon_ttt_magnum	804.035522 -1317.187134 19.408745	-5.687 -24.939 -89.069
weapon_ttt_magnum	-327.618439 -521.002686 17.986757	9.245 26.156 74.197
weapon_ttt_magnum	-301.163605 -522.290466 17.988472	9.293 26.124 74.088
weapon_ttt_magnum	-281.280884 -524.538452 17.989059	9.309 26.118 74.051
weapon_ttt_magnum	258.690552 -154.381683 17.977789	8.830 25.605 75.354
weapon_ttt_magnum	262.087006 -126.643372 18.003084	9.369 25.375 74.306
weapon_ttt_magnum	264.223785 -110.211845 17.994345	9.179 25.465 74.680
weapon_ttt_magnum	306.535736 1571.374512 225.974518	8.761 25.629 75.488
weapon_ttt_magnum	272.921844 1570.134399 226.005859	9.422 25.346 74.212
weapon_ttt_magnum	251.273056 1569.721802 225.976974	8.812 25.611 75.390
weapon_ttt_magnum	-1515.393188 1812.770020 15.978027	9.241 26.675 73.923
weapon_ttt_magnum	-1520.773926 1841.578857 15.976377	9.181 26.715 74.076
weapon_ttt_magnum	-1521.169678 1869.127686 15.955816	8.467 27.052 75.898
weapon_ttt_magnum	-1522.382935 1893.646729 15.972977	9.060 26.789 74.388
weapon_ttt_magnum	-1079.748413 169.075745 17.982527	9.129 26.208 74.463
weapon_ttt_magnum	-1083.600830 142.452682 17.989065	9.309 26.118 74.051
weapon_ttt_magnum	-1090.451538 125.271904 17.976175	8.956 26.287 74.857
weapon_ttt_smg	935.936279 519.429138 16.314505	1.347 7.408 89.481
weapon_ttt_smg	903.873047 518.781494 16.315569	1.251 7.406 89.358
weapon_ttt_smg	862.570984 523.152649 16.312616	1.516 7.413 89.699
item_ammo_revolver_ttt	872.357117 -433.844391 308.392700	0.463 0.057 0.030
item_ammo_revolver_ttt	590.495911 -203.583496 308.319489	0.449 0.075 0.059
item_ammo_revolver_ttt	775.595825 177.287796 307.416809	0.659 -0.392 -0.019
item_ammo_revolver_ttt	400.214905 1704.282104 93.874298	0.863 -0.226 0.044
item_ammo_revolver_ttt	421.696594 1762.663330 51.297401	-88.469 177.784 0.000
item_ammo_revolver_ttt	400.996887 2009.610596 82.042702	0.372 0.046 0.121
item_ammo_revolver_ttt	41.849499 1899.003662 224.364197	0.467 0.060 0.039
item_ammo_revolver_ttt	14.780400 1846.709106 224.373398	0.468 0.059 0.035
item_ammo_revolver_ttt	-19.454901 1894.493774 224.364197	0.467 0.060 0.039
item_ammo_revolver_ttt	-934.052612 1105.778320 1.317100	0.448 0.073 0.061
item_ammo_revolver_ttt	-1280.478882 654.465088 14.494000	0.378 -0.011 -0.802
item_ammo_revolver_ttt	-1341.182251 350.093109 33.337101	1.559 -0.536 -1.002
item_ammo_revolver_ttt	-917.341614 -165.589706 385.181610	-23.452 -16.413 6.504
item_ammo_revolver_ttt	-986.062988 -1231.115356 88.346397	0.454 0.064 0.049
item_ammo_revolver_ttt	809.376587 -1154.642456 -135.471100	64.315 13.758 0.939
item_ammo_revolver_ttt	429.569580 -457.991699 176.443146	0.805 -0.262 -0.613
item_ammo_revolver_ttt	416.789490 -457.970306 176.429474	1.166 -0.474 -1.063
item_ammo_revolver_ttt	455.179138 -346.321442 176.421860	1.477 -33.125 0.028
item_ammo_revolver_ttt	406.587128 -457.897003 176.416489	0.731 0.104 -0.935
item_ammo_revolver_ttt	395.767365 -457.851959 176.434372	0.695 0.142 -0.658
item_ammo_revolver_ttt	385.338959 -457.881653 176.419693	0.915 0.066 -1.021
item_ammo_revolver_ttt	371.609497 -457.970642 176.436813	0.917 -0.311 -0.782
item_ammo_revolver_ttt	308.849030 -22.341919 16.460150	0.568 -0.368 -0.206
item_ammo_revolver_ttt	321.330841 -21.878815 16.464670	0.601 3.916 -0.008
item_ammo_revolver_ttt	331.702911 -22.370586 16.439777	0.811 -0.392 -0.665
item_ammo_revolver_ttt	340.589661 -22.385149 16.416679	0.869 -0.337 -1.031
item_ammo_revolver_ttt	352.836975 -22.369446 16.427975	0.948 -0.394 -0.928
item_ammo_revolver_ttt	366.237335 -22.229921 16.444336	1.949 -0.425 -0.596
item_ammo_revolver_ttt	380.454834 -22.370289 16.426359	0.779 -0.332 -0.830
item_ammo_revolver_ttt	825.978638 -1356.189087 18.314781	0.447 0.073 0.062
item_ammo_revolver_ttt	811.821411 -1357.399658 18.314781	0.447 0.073 0.062
item_ammo_revolver_ttt	798.370117 -1356.269531 18.334555	0.451 0.065 0.054
item_ammo_revolver_ttt	787.541870 -1355.588013 18.307568	0.446 0.080 0.065
item_ammo_revolver_ttt	123.237953 1433.595581 17.430521	1.305 -0.258 -1.148
item_ammo_revolver_ttt	137.072647 1433.622681 17.354609	-0.029 -0.084 0.672
item_ammo_revolver_ttt	153.418137 1433.739136 17.442316	2.294 -0.249 -0.786
item_ammo_revolver_ttt	173.768585 1433.616943 17.445183	0.989 -0.376 -0.716
item_ammo_revolver_ttt	200.475861 1433.522827 17.448986	1.324 -0.257 -0.901
item_ammo_revolver_ttt	190.120453 1433.464966 17.445536	1.150 -0.195 -0.825
item_ammo_revolver_ttt	163.740768 1433.665649 17.442738	1.041 -0.226 -0.352
item_ammo_revolver_ttt	213.698212 1433.630615 17.460258	1.054 -0.316 -0.470
item_ammo_revolver_ttt	229.336792 1433.541260 17.423786	0.730 -0.306 -0.832
item_ammo_revolver_ttt	-347.047943 -486.373169 16.473492	1.426 -0.263 -0.630
item_ammo_revolver_ttt	-328.921631 -486.459229 16.436502	0.882 -0.314 -0.761
item_ammo_revolver_ttt	-308.195313 -486.385834 16.422628	0.782 -0.253 -0.885
item_ammo_revolver_ttt	-285.481964 -486.386780 16.428135	1.250 -0.261 -1.142
item_ammo_revolver_ttt	-264.201141 -486.471130 16.447668	1.356 -0.260 -0.942
item_ammo_revolver_ttt	232.189835 -165.049896 16.375942	0.578 -0.129 -0.243
item_ammo_revolver_ttt	232.406845 -144.107437 16.427681	1.321 1.535 -0.002
