# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_sonic_mario_land
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	916.483093 -1487.787354 268.967896	2.010 0.163 -0.059
weapon_ttt_dual_elites	898.227905 -1486.230225 268.980042	1.991 0.160 -0.062
weapon_ttt_dual_elites	878.999817 -1486.099731 269.001312	1.957 0.155 -0.067
weapon_ttt_dual_elites	852.772400 -1487.496216 268.967896	2.010 0.163 -0.059
weapon_ttt_dual_elites	3295.290039 -679.195251 601.046143	1.887 0.149 -0.078
weapon_ttt_dual_elites	3303.180176 -699.972595 601.036011	1.903 0.150 -0.075
weapon_ttt_dual_elites	3309.607422 -721.172302 600.989380	1.976 0.157 -0.064
weapon_ttt_mp5	2605.564697 1215.467407 2335.092773	0.339 6.552 -87.313
weapon_ttt_mp5	2608.586426 1249.519409 2335.092529	0.341 6.557 -87.315
weapon_ttt_mp5	2313.509277 -2750.415283 276.482574	-7.308 1.214 -2.559
weapon_ttt_mp5	2307.403564 -2724.736816 276.507996	-7.599 1.037 -1.529
weapon_ttt_mp5	2304.152832 -2701.776123 276.448212	-7.462 0.916 -3.505
weapon_ttt_mp5	2947.594971 -2516.047363 461.493103	-7.429 1.250 -2.119
weapon_ttt_mp5	2946.454834 -2534.142334 461.498840	-7.496 1.081 -1.893
weapon_ttt_mp5	2944.767578 -2559.762451 461.494751	-7.449 1.268 -2.055
weapon_ttt_mp5	2948.069336 -2588.830811 463.094971	0.335 1.313 -87.392
weapon_ttt_mp5	2498.272217 -1855.317017 268.451691	-7.372 0.739 -1.870
weapon_ttt_mp5	2496.884033 -1835.645996 268.461578	-7.422 0.773 -1.768
weapon_ttt_mp5	2496.083008 -1810.646851 268.455475	-7.391 0.779 -1.831
weapon_ttt_mp5	1398.497070 -1264.359009 270.096344	0.208 1.542 -87.152
weapon_ttt_mp5	1383.886963 -1299.205933 270.090424	0.419 3.302 -87.412
weapon_ttt_mp5	1461.238647 -3239.103760 268.467834	-7.453 0.866 -1.703
weapon_ttt_mp5	1423.061279 -3235.274658 268.452667	-7.377 0.715 -1.860
weapon_ttt_mp5	1378.408325 -3228.183838 268.452667	-7.377 0.714 -1.860
item_ammo_revolver_ttt	2981.600830 1367.096558 2596.342529	0.452 0.062 0.051
item_ammo_revolver_ttt	2982.687500 1382.980957 2596.314697	0.447 0.073 0.062
item_ammo_revolver_ttt	2978.093994 1403.254150 2596.350098	0.454 0.062 0.048
item_ammo_revolver_ttt	2952.069824 1269.155029 2334.461670	0.462 0.198 0.015
item_ammo_revolver_ttt	2953.686035 1244.387695 2334.445801	0.363 -0.418 -0.261
item_ammo_revolver_ttt	2953.693604 1225.372803 2334.458252	0.159 -0.543 0.057
item_ammo_revolver_ttt	2953.496094 1257.653198 2334.466553	0.276 1.472 0.090
item_ammo_revolver_ttt	2595.670166 -3246.947754 277.428833	1.051 -0.422 -0.989
item_ammo_revolver_ttt	2586.323486 -3246.997314 277.441467	1.008 -0.279 -0.782
item_ammo_revolver_ttt	2575.764404 -3246.872070 277.445923	2.085 -0.237 -0.700
item_ammo_revolver_ttt	2561.912354 -3247.033936 277.460938	1.500 -0.337 -0.859
item_ammo_revolver_ttt	2551.028320 -3246.933838 277.431244	0.928 -0.319 -0.868
item_ammo_revolver_ttt	2535.924805 -3247.076172 277.443817	1.542 -0.244 -1.131
item_ammo_revolver_ttt	2521.234131 -3247.054443 277.423035	1.040 -0.291 -1.063
item_ammo_revolver_ttt	2700.084229 -2499.416016 462.471130	1.050 -0.662 -0.395
item_ammo_revolver_ttt	2715.350830 -2499.435791 462.447968	1.055 -0.271 -0.723
item_ammo_revolver_ttt	2730.606689 -2499.765869 462.457458	0.651 -1.183 -0.251
item_ammo_revolver_ttt	2749.212646 -2499.440430 462.439911	0.663 -0.285 -0.557
item_ammo_revolver_ttt	2762.221680 -2499.665771 462.392761	0.357 -2.698 0.405
item_ammo_revolver_ttt	2780.281250 -2499.419434 462.473663	1.480 -0.160 -0.666
item_ammo_revolver_ttt	2796.208008 -2499.344727 462.442108	1.674 -0.163 -0.835
