# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: legoland_b2
# Exported by: theguyishere
setting:	replacespawns 0
weapon_ttt_dual_elites	-605.174255 473.471069 128.005829	1.889 0.143 -0.066
weapon_ttt_dual_elites	-605.070679 457.059784 127.971794	1.922 0.149 -0.057
weapon_ttt_dual_elites	-220.838852 -1076.826050 -31.992632	1.888 0.142 -0.066
weapon_ttt_dual_elites	-221.394272 -1059.628296 -32.036701	1.930 0.152 -0.054
weapon_ttt_dual_elites	-222.367111 -1029.770508 -31.977194	1.873 0.141 -0.070
weapon_ttt_smokegrenade	-867.147034 214.017548 176.477463	41.691 -118.283 1.687
weapon_ttt_smokegrenade	-871.219727 216.529434 177.036713	15.888 172.898 -89.997
weapon_ttt_smokegrenade	-866.822632 210.723404 176.731888	43.433 -126.148 -59.440
weapon_ttt_smokegrenade	-871.857422 202.260544 177.190964	19.925 -94.506 -90.004
weapon_ttt_smokegrenade	-994.351624 -16.284323 -126.284622	-49.354 -0.182 -86.439
weapon_ttt_smokegrenade	-1004.605652 -22.814264 -126.000580	-26.151 26.127 87.445
weapon_ttt_smokegrenade	-1026.991089 -15.993820 -127.859367	-0.958 -1.300 -0.558
weapon_ttt_smokegrenade	-1006.887085 -10.466084 -127.837166	-2.154 -0.194 -1.577
weapon_ttt_smokegrenade	-1011.670227 -4.532548 -126.505890	18.196 51.005 -89.063
weapon_ttt_smokegrenade	-220.050217 -841.487732 109.689560	-49.733 -108.414 -86.131
weapon_ttt_smokegrenade	-251.312805 -844.258972 108.180336	-1.922 -1.764 -0.952
weapon_ttt_smokegrenade	-268.538696 -835.190857 108.119667	-1.182 -1.250 -0.689
weapon_ttt_smokegrenade	-256.710846 -819.050354 108.209587	-0.808 -1.880 -0.376
weapon_ttt_smokegrenade	-225.343155 -821.411987 110.082558	-25.931 -129.344 87.351
weapon_ttt_smokegrenade	-245.132019 -848.273376 108.190941	-1.302 -1.872 -0.881
weapon_ttt_smokegrenade	-956.548889 -547.831421 -159.842407	-0.777 -1.330 -0.453
weapon_ttt_smokegrenade	-1004.431091 -558.413147 -159.851654	-0.876 -1.311 -0.510
weapon_ttt_smokegrenade	-1080.770874 -588.965881 -159.888962	-1.274 -1.213 -0.742
weapon_ttt_smokegrenade	-1110.700684 -606.848206 -159.852905	-0.889 -1.311 -0.518
weapon_ttt_smokegrenade	-1038.549072 -511.520264 -159.842407	-0.777 -1.330 -0.453
weapon_ttt_smokegrenade	-1150.798096 -683.158936 80.157608	-0.777 -1.330 -0.453
weapon_ttt_smokegrenade	-1108.748535 -627.409241 80.188461	-0.449 -1.361 -0.262
weapon_ttt_smokegrenade	-1105.877808 -663.710876 104.107399	-1.313 -1.213 -0.765
weapon_ttt_mp5	-1215.393555 159.354538 -126.893219	0.266 5.642 -87.682
weapon_ttt_mp5	-1213.044189 150.206970 -128.550293	-7.362 0.840 -1.891
weapon_ttt_mp5	-1210.148926 138.453018 -128.568481	-7.272 0.937 -2.079
weapon_ttt_mp5	-916.230896 -609.531067 76.757576	-33.780 -2.786 8.413
weapon_ttt_mp5	-917.159241 -606.886108 75.719696	-30.251 -10.369 3.504
weapon_ttt_magnum	-1221.377686 204.912399 -126.005394	9.140 25.496 74.827
weapon_ttt_magnum	-1215.484863 192.081177 -126.006989	9.151 25.475 74.735
weapon_ttt_magnum	-65.458603 -1072.866577 -29.989933	9.516 25.295 74.024
weapon_ttt_magnum	-65.237122 -1055.857056 -29.969313	9.352 23.168 75.284
weapon_ttt_magnum	-65.202705 -1040.483521 -30.032871	8.645 23.529 75.651
weapon_ttt_magnum	169.148544 -1240.822144 41.959511	8.455 25.811 76.063
weapon_ttt_magnum	153.743958 -1241.707642 41.976955	8.869 24.972 75.188
weapon_ttt_magnum	166.369690 -1248.908081 41.986824	9.020 25.531 74.986
weapon_ttt_magnum	149.436127 -1252.941162 42.001579	9.335 25.390 74.375
weapon_ttt_glock	-545.739258 470.242798 129.113266	-1.083 25.003 91.721
weapon_ttt_glock	-545.744385 458.486816 129.021637	0.210 36.403 90.454
weapon_ttt_glock	-67.532875 -943.532471 -30.887817	-0.993 25.066 91.577
weapon_ttt_glock	-67.263214 -968.738892 -30.890684	-0.755 25.123 91.198
weapon_ttt_glock	-67.912163 -987.097046 -30.888794	-0.912 25.088 91.447
weapon_ttt_smg	-654.180969 131.835632 -122.419182	5.086 0.207 0.672
weapon_ttt_smg	-654.872986 125.911957 -122.423515	5.088 0.207 0.698
weapon_ttt_smg	-655.232605 139.845856 -122.410896	5.082 0.204 0.624
weapon_ttt_smg	298.825348 -366.729858 85.598778	5.077 0.201 0.567
weapon_ttt_smg	298.895569 -385.522400 85.562660	5.096 0.211 0.778
item_ammo_revolver_ttt	-670.801270 -1766.307617 -63.576653	0.473 0.056 0.017
item_ammo_revolver_ttt	-684.876831 -1765.930542 -63.637466	0.467 0.060 0.039
item_ammo_revolver_ttt	-699.511230 -1765.537598 -63.559551	0.475 0.055 0.011
item_ammo_revolver_ttt	-717.444458 -1765.057129 -63.620968	0.468 0.058 0.033
item_ammo_revolver_ttt	-707.336182 -1766.733643 -63.660858	0.464 0.066 0.047
