# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bank_b3
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_ttt_smokegrenade	337.606995 2485.610107 -634.632996	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 909.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 884.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 864.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 845.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_magnum	881.703857 692.919373 -254.001129	9.218 24.969 74.693
weapon_ttt_magnum	865.003662 693.835144 -253.995789	9.387 25.358 74.281
weapon_ttt_magnum	478.909241 2097.483398 -223.691940	9.491 25.448 73.946
weapon_ttt_magnum	544.705750 2102.802002 -223.691086	9.510 25.441 73.907
weapon_ttt_magnum	1294.637085 2484.713867 -61.990757	9.497 25.300 74.064
weapon_ttt_magnum	1313.193115 2481.764160 -62.021767	8.839 25.602 75.336
weapon_ttt_magnum	1330.876831 2477.159912 -62.023499	8.803 25.615 75.406
weapon_ttt_magnum	1356.494751 2471.825439 -62.011894	9.033 25.529 74.983
weapon_ttt_smg	937.223938 2321.793457 -250.311600	4.927 0.301 1.242
weapon_ttt_smg	937.621948 2342.333740 -250.404266	4.712 0.597 4.629
weapon_ttt_smg	934.957397 2359.437988 -250.399857	4.721 0.582 4.474
weapon_zm_pistol	511.281006 2003.729980 -10.935700	0.000 261.000 0.000
weapon_zm_pistol	1249.260010 1774.869995 -174.462006	-5.961 276.193 -91.508
weapon_zm_pistol	1382.930054 1771.349976 -174.462006	-5.961 276.193 -91.508
weapon_zm_pistol	-816.000000 785.000000 -660.000000	0.000 0.000 73.500
weapon_zm_pistol	1257.229980 1781.160034 -217.619995	-5.961 276.193 -91.508
weapon_zm_pistol	1120.500000 1781.160034 -188.324005	-5.961 276.193 -91.508
weapon_zm_pistol	1459.060059 1650.390015 -190.891998	-5.961 276.193 -91.508
weapon_zm_pistol	652.317993 1869.699951 -189.645004	-5.961 276.193 -91.508
weapon_zm_pistol	825.989990 1894.380005 -149.266998	-5.961 276.193 -91.508
weapon_zm_pistol	665.172974 2453.290039 -189.645004	-5.961 276.193 -91.508
weapon_zm_pistol	127.101997 2397.780029 -149.266998	-5.961 276.193 -91.508
weapon_zm_pistol	126.751999 2086.879883 -189.645004	-5.961 276.193 -91.508
weapon_ttt_pump_shotgun	307.332123 1022.039124 -229.895996	-0.568 -9.000 -89.421
weapon_ttt_pump_shotgun	306.087921 1002.456909 -230.214493	-0.238 10.641 85.137
weapon_ttt_pump_shotgun	119.441132 1445.743164 -254.459656	-0.523 -10.421 -89.707
weapon_ttt_pump_shotgun	119.367752 1480.959839 -254.563965	-0.491 -10.180 -88.869
weapon_ttt_pump_shotgun	119.664124 1520.535400 -254.615860	-0.477 -10.523 -88.455
weapon_ttt_pump_shotgun	119.653755 1559.869385 -254.592957	-0.480 -10.535 -88.644
weapon_ttt_pump_shotgun	120.840935 1602.630737 -254.499924	-0.497 -10.282 -89.631
weapon_ttt_pump_shotgun	122.016495 939.886230 -62.455120	-0.543 -11.416 -89.843
weapon_ttt_pump_shotgun	122.033409 961.779419 -62.501549	-0.490 -10.287 -89.748
weapon_ttt_pump_shotgun	124.656883 990.005554 -62.503605	-0.480 -10.290 -89.897
weapon_ttt_pump_shotgun	119.161331 1020.497437 -62.513340	-0.416 -10.104 -89.595
weapon_ttt_pump_shotgun	119.160812 1048.564453 -62.555759	-0.493 -9.944 -88.935
weapon_ttt_pump_shotgun	271.602539 1635.041870 -32.503712	-0.480 -10.291 -89.905
weapon_ttt_pump_shotgun	743.092407 2438.543945 -33.894131	2.820 -0.554 -0.182
weapon_ttt_pump_shotgun	1215.557739 1660.741821 -62.505997	-0.469 -10.293 -90.070
weapon_ttt_pump_shotgun	1160.174072 1667.386230 -62.502316	-0.486 -10.288 -89.804
weapon_ttt_pump_shotgun	1113.065674 1669.075684 -62.503208	-0.482 -10.290 -89.869
weapon_ttt_pump_shotgun	1325.307495 2022.664307 -32.666447	-0.319 -10.426 -88.032
weapon_ttt_pump_shotgun	1327.522705 1709.638794 -32.493992	-0.539 -10.725 -89.945
weapon_ttt_pump_shotgun	1038.267822 1489.240601 -654.510315	-0.433 -9.745 -89.561
weapon_ttt_pump_shotgun	1037.953369 1471.128418 -654.506104	-0.458 -9.739 -89.513
weapon_ttt_pump_shotgun	1037.569702 1447.563354 -654.549744	-0.471 -18.690 -89.068
weapon_ttt_pump_shotgun	1037.547241 1424.543823 -654.550049	-0.395 -18.798 -89.334
weapon_ttt_pump_shotgun	1424.226807 1013.894226 -254.514832	-0.407 -9.749 -89.612
weapon_ttt_pump_shotgun	2030.087036 1802.435547 -254.586121	-0.484 -9.539 -88.692
weapon_ttt_pump_shotgun	1823.807983 2513.042969 -254.541153	-0.498 -8.113 -89.052
weapon_ttt_pump_shotgun	679.666138 3033.461182 -254.511200	-0.428 -9.745 -89.571
weapon_ttt_pump_shotgun	61.654198 1587.648438 -254.587524	-0.131 -16.774 -88.485
weapon_ttt_pump_shotgun	61.660679 1566.831909 -254.650085	-0.345 -16.682 -88.601
weapon_ttt_pump_shotgun	61.510128 1544.671753 -254.482254	-0.517 -17.884 -89.523
weapon_ttt_pump_shotgun	61.442165 1519.531128 -254.523026	-0.484 -18.800 -89.265
ttt_random_weapon	613.653015 2577.239990 -115.900002	0.000 0.000 0.000
ttt_random_weapon	198.186996 1347.040039 -613.270020	0.000 0.000 0.000
ttt_random_weapon	806.742004 2691.679932 -608.833984	0.000 0.000 0.000
ttt_random_weapon	329.765015 2003.290039 -694.627014	0.000 0.000 0.000
ttt_random_weapon	1966.390015 775.651001 -246.626999	0.000 0.000 0.000
ttt_random_weapon	763.078003 2584.169922 -115.901001	0.000 0.000 0.000
ttt_random_weapon	-883.000000 853.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-881.000000 904.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-840.000000 905.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-844.000000 854.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-912.403992 786.994995 -615.942017	0.000 274.500 73.500
ttt_random_weapon	-912.549011 969.932007 -615.942017	0.000 274.500 73.500
ttt_random_weapon	1404.250000 1035.729980 -246.626999	0.000 90.000 0.000
ttt_random_weapon	1727.910034 2615.379883 -246.626999	0.000 90.000 0.000
ttt_random_weapon	-460.066010 2679.219971 -246.626999	0.000 90.000 0.000
ttt_random_weapon	1281.920044 1887.949951 -643.846008	0.000 0.000 0.000
ttt_random_weapon	1167.060059 2862.320068 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2045.849976 2296.280029 -246.626999	0.000 0.000 0.000
ttt_random_weapon	1994.400024 52.287201 -180.052002	0.000 0.000 0.000
ttt_random_weapon	-369.596985 286.112000 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-806.051025 1915.739990 -246.626999	0.000 0.000 0.000
ttt_random_weapon	113.014000 2714.790039 -246.626999	0.000 0.000 0.000
ttt_random_weapon	302.177002 2503.810059 -629.994995	0.000 0.000 0.000
ttt_random_weapon	835.979980 2660.020020 -590.616028	0.000 0.000 0.000
ttt_random_weapon	1020.020020 2203.600098 -629.994995	0.000 0.000 0.000
ttt_random_weapon	503.171997 934.747009 -686.627014	0.000 0.000 0.000
ttt_random_weapon	-764.797974 1306.900024 -141.617004	0.000 0.000 0.000
ttt_random_weapon	-865.419006 2207.929932 -246.626999	0.000 0.000 0.000
ttt_random_weapon	269.394012 2973.810059 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2194.209961 1542.949951 -141.617004	0.000 0.000 0.000
ttt_random_weapon	2271.120117 218.514999 -246.626999	0.000 0.000 0.000
item_ammo_357_ttt	534.883972 1659.410034 -33.724201	0.000 108.023 0.000
item_ammo_357_ttt	407.917999 808.265015 -32.141399	0.000 106.631 0.000
item_ammo_357_ttt	421.424011 815.161011 -32.141399	0.000 101.988 0.000
item_ammo_357_ttt	404.006012 819.536011 -32.141399	0.000 0.000 0.000
item_ammo_smg1_ttt	102.281685 741.923523 -255.504196	-0.600 0.056 0.062
item_ammo_smg1_ttt	102.325394 768.856812 -255.480316	0.274 0.390 0.481
item_ammo_smg1_ttt	102.341072 795.057983 -255.463852	-0.916 0.164 -0.439
item_ammo_smg1_ttt	102.297379 820.895752 -255.466095	0.479 0.514 0.341
item_ammo_smg1_ttt	889.998962 783.066650 -255.506302	-1.120 0.027 -0.265
item_ammo_smg1_ttt	889.942810 755.029480 -255.501343	-0.897 -0.142 -0.155
item_ammo_smg1_ttt	870.851685 784.084961 -255.476257	-0.201 0.015 -0.176
