# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bb_teenroom_b2
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_smokegrenade	957.846985 91.162102 1205.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	964.903015 81.708000 1205.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	1528.050049 -1119.670044 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-834.283020 -1036.160034 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1579.709961 1871.369995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-885.469971 1850.109985 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-876.968994 1864.369995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-866.052002 1873.859985 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-856.276978 1888.530029 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	544.783020 767.312988 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	544.861023 790.026978 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	1324.689941 352.154999 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1311.300049 353.178986 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1299.119995 353.348999 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1101.089966 -115.809998 997.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1096.930054 -157.151993 997.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1176.660034 33.010899 485.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1086.660034 -727.195007 829.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1083.770020 -688.304016 829.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	509.920990 -831.476990 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	518.400024 -745.606995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	507.675995 -659.822998 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	498.714996 -602.987000 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1055.479980 -395.825012 237.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	1129.290039 -378.046997 341.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1024.810059 -788.471008 133.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	1007.419983 -787.377014 133.735001	0.000 0.000 0.000
