# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_checkpoint_v1
# Exported by: Dяeam
setting:	replacespawns 1
weapon_zm_pistol	1274.2710 1057.2369 64.3014	-0.496 33.014 89.686
weapon_zm_pistol	1287.8395 1065.6592 64.2838	-0.133 36.017 88.205
weapon_zm_pistol	1280.5212 1085.6226 64.3764	0.166 40.782 89.770
weapon_zm_pistol	992.9027 203.3162 578.2625	-0.162 36.019 87.848
weapon_zm_pistol	-513.7642 824.2614 -1084.6158	1.423 60.270 90.238
weapon_zm_pistol	1891.2079 802.7796 -1119.7036	0.016 35.156 88.098
weapon_zm_pistol	794.2430 527.3718 -244.7195	-0.162 35.253 89.495
item_ammo_pistol_ttt	1293.1931 1047.7316 64.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	1278.3280 1049.2803 65.2005	-0.042 0.759 5.386
item_ammo_pistol_ttt	1278.9067 1070.6050 64.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	1294.5604 1091.7197 64.4934	0.002 0.950 0.028
item_ammo_pistol_ttt	1279.4412 1097.8914 65.1368	-14.403 -0.527 0.272
item_ammo_pistol_ttt	1281.6041 1119.3414 73.2118	-0.036 10.000 -87.534
item_ammo_pistol_ttt	-157.3911 581.5662 64.3962	0.191 -0.192 0.186
item_ammo_pistol_ttt	-197.2421 583.4360 64.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	-155.2961 564.0037 73.1776	-0.026 -11.864 89.982
item_ammo_pistol_ttt	-190.9070 42.6556 64.4303	-0.299 0.725 -0.542
item_ammo_pistol_ttt	-194.6974 61.0982 64.4289	-0.425 0.775 -0.592
item_ammo_pistol_ttt	-216.1743 53.1922 64.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	837.5510 188.8593 346.4738	0.285 -0.083 0.044
item_ammo_pistol_ttt	834.1599 202.6615 353.6643	-32.037 32.292 -49.764
item_ammo_pistol_ttt	847.3121 188.6791 346.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	1007.3965 189.8181 578.4602	0.793 -2.864 -0.006
item_ammo_pistol_ttt	1008.5880 220.7182 578.3230	-0.154 -0.018 -0.046
item_ammo_pistol_ttt	988.4572 184.2079 578.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	1931.1692 518.3364 -267.6520	-0.119 -0.014 -0.010
item_ammo_pistol_ttt	1939.2675 517.7740 -267.5854	0.995 -0.670 0.305
item_ammo_pistol_ttt	1945.3401 520.2712 -267.5668	0.115 -0.727 -0.389
item_ammo_pistol_ttt	1932.7743 381.2281 -267.5286	1.341 -0.210 0.534
item_ammo_pistol_ttt	1938.9724 384.1558 -267.5416	0.269 -0.242 0.193
item_ammo_pistol_ttt	1945.1349 387.0175 -267.6040	-0.899 -0.251 -0.013
item_ammo_pistol_ttt	1940.8792 1235.0143 -851.7686	-65.030 -179.581 -158.216
item_ammo_pistol_ttt	1954.0499 1219.9504 -845.7652	-64.936 179.982 176.331
item_ammo_pistol_ttt	1953.1683 1189.3884 -846.1254	-64.843 179.688 170.738
item_ammo_pistol_ttt	571.3710 223.9491 -1121.8419	75.150 100.503 113.667
item_ammo_pistol_ttt	536.9973 202.3125 -1127.5652	-0.056 -0.020 -0.017
item_ammo_pistol_ttt	552.9536 204.3181 -1127.6235	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-691.0866 1049.8273 -1084.6257	-0.128 -0.020 -0.033
item_ammo_pistol_ttt	-677.3339 1059.2224 -1084.6194	-0.104 0.010 -0.005
item_ammo_pistol_ttt	-717.3927 989.1196 -1084.5730	0.082 0.020 -0.021
item_ammo_pistol_ttt	-703.6161 1004.0563 -1084.5605	0.006 0.030 0.008
item_ammo_pistol_ttt	-681.0580 1092.6975 -1084.6235	-0.126 -0.020 -0.033
item_ammo_pistol_ttt	-664.3835 1095.4026 -1084.6305	0.135 0.020 -0.037
item_ammo_pistol_ttt	-524.3600 830.6349 -1084.6327	-0.134 -0.019 -0.035
item_ammo_pistol_ttt	-533.5362 831.5069 -1084.6257	-0.128 -0.020 -0.033
item_ammo_pistol_ttt	-539.5197 835.8025 -1084.6123	0.139 0.023 0.079
item_ammo_pistol_ttt	407.1689 884.5225 -1136.7111	83.361 153.206 179.666
item_ammo_pistol_ttt	985.4658 953.2195 -1135.5942	88.356 159.354 -170.101
item_ammo_pistol_ttt	1239.2830 455.7492 -1135.6703	86.343 147.627 -178.577
item_ammo_pistol_ttt	1901.7540 784.7779 -1119.6667	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	1890.0986 793.5552 -1119.5294	-0.051 -0.021 -0.025
item_ammo_pistol_ttt	1921.9514 684.6396 -1119.5889	0.343 0.084 0.093
item_ammo_pistol_ttt	1906.9086 675.5435 -1119.6643	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	1894.5582 676.7313 -1119.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	1512.0551 700.0519 -1119.6002	-0.662 0.832 0.170
item_ammo_pistol_ttt	1516.4392 668.5975 -1119.5621	-1.030 -1.078 -0.011
item_ammo_pistol_ttt	788.0121 523.6135 -244.6516	-0.593 0.025 -0.098
item_ammo_pistol_ttt	785.8417 542.2388 -244.6409	-0.143 0.112 0.169
item_ammo_pistol_ttt	1413.1453 822.3571 -271.5330	0.158 -0.428 -0.079
item_ammo_pistol_ttt	1407.6818 803.6372 -270.0244	-7.157 -0.244 -7.787
item_ammo_pistol_ttt	1425.7416 822.3643 -271.5420	-0.714 0.144 -0.484
weapon_zm_revolver	803.1442 1365.5303 261.1189	2.260 -20.396 -84.696
weapon_zm_revolver	555.9672 1524.3645 225.9304	2.428 -20.394 -84.145
weapon_zm_revolver	996.2073 194.5524 72.6969	-25.495 -23.535 -87.153
weapon_zm_revolver	1245.8582 495.8276 -150.5855	2.443 -25.131 -83.785
weapon_zm_revolver	508.9934 829.9449 -150.6196	2.474 -25.100 -83.019
weapon_zm_revolver	798.3014 847.2276 -150.6089	2.464 -25.109 -83.258
weapon_zm_revolver	1684.6022 265.5909 -241.4299	2.396 -36.354 -85.117
weapon_zm_revolver	757.1100 530.0969 -997.5311	2.562 -20.519 -83.471
item_ammo_smg1_ttt	352.1918 179.9915 64.5608	0.012 -0.414 -0.001
item_ammo_smg1_ttt	349.7608 212.5533 64.5456	0.109 0.210 0.094
item_ammo_smg1_ttt	340.0969 190.2281 70.0372	-88.862 -39.807 14.906
item_ammo_smg1_ttt	349.3585 180.0173 78.4036	-0.015 0.157 0.007
item_ammo_smg1_ttt	358.7849 196.8658 71.0753	83.204 -61.094 -77.654
item_ammo_smg1_ttt	359.2956 200.7406 78.2722	0.289 8.466 0.557
item_ammo_smg1_ttt	1611.9313 821.3135 -271.5674	0.840 -0.001 0.551
item_ammo_smg1_ttt	1632.2305 819.7297 -270.3174	4.501 0.117 -5.766
item_ammo_smg1_ttt	1631.0654 789.7153 -271.6136	0.088 -0.005 0.046
weapon_zm_shotgun	554.3439 1332.5096 225.0460	-1.011 -9.516 -89.380
weapon_zm_shotgun	688.7231 1317.9901 225.0437	-0.961 -9.522 -89.037
weapon_zm_shotgun	936.4301 399.1106 121.5568	-0.496 -9.234 -84.738
weapon_zm_shotgun	1709.9879 174.2895 -270.7230	-0.377 7.651 84.264
weapon_zm_shotgun	1885.0404 599.8958 -10.4751	-0.496 -8.423 -84.767
weapon_ttt_m16	-149.7809 543.1024 65.1592	2.037 -8.131 84.294
weapon_ttt_m16	-216.1531 30.7411 65.1592	2.037 -8.128 84.294
weapon_ttt_m16	864.4539 212.6710 384.1592	2.037 -8.264 84.294
weapon_ttt_m16	1886.6406 521.7335 -238.8468	2.102 -8.321 84.227
weapon_ttt_m16	1904.1368 387.0497 -238.8509	2.146 -8.332 84.182
weapon_ttt_m16	1930.1376 1209.0814 -859.0475	-22.529 -2.880 85.492
weapon_ttt_m16	562.9955 232.3872 -1126.8359	2.154 -8.134 84.457
weapon_ttt_m16	-670.1010 1074.5488 -1083.8207	1.696 -9.988 85.327
weapon_ttt_m16	-693.3466 1025.3274 -1083.8778	1.752 -8.294 84.542
weapon_ttt_m16	1907.8500 697.6870 -1116.7123	-7.424 -2.038 25.585
weapon_ttt_m16	1512.0442 686.4050 -1118.8359	2.249 -5.043 84.639
weapon_ttt_m16	1414.6863 798.2924 -271.0811	-0.089 -2.001 82.399
weapon_zm_molotov	539.2385 1306.6088 68.6406	4.866 20.056 -5.466
weapon_zm_molotov	530.0429 1293.4271 68.5117	0.318 0.002 0.015
weapon_zm_molotov	526.6011 1300.6631 68.5142	0.346 0.002 -0.021
weapon_zm_molotov	794.1731 473.3586 -240.4727	-0.293 0.058 3.452
weapon_zm_molotov	807.8401 474.2299 -240.3909	-0.282 0.156 -0.275
weapon_zm_molotov	806.6046 477.7638 -243.2458	-70.213 72.414 -92.123
weapon_zm_molotov	1777.8956 524.3364 -235.4751	0.625 0.008 -0.356
weapon_zm_molotov	1775.8639 513.6890 -235.4773	0.544 0.007 -0.264
item_box_buckshot_ttt	545.5062 1320.2653 224.4152	0.113 0.128 0.333
item_box_buckshot_ttt	553.9409 1313.9730 224.3846	0.578 0.001 -0.329
item_box_buckshot_ttt	562.3553 1311.1296 224.4111	-0.835 -0.007 0.680
item_box_buckshot_ttt	672.6609 1300.1475 224.4484	-0.646 -0.011 0.613
item_box_buckshot_ttt	698.3986 1300.2178 224.4727	0.968 -0.183 -0.238
item_box_buckshot_ttt	713.8735 1299.9751 224.4642	0.913 -0.526 -0.092
item_box_buckshot_ttt	931.1586 391.6467 121.0283	-0.005 -0.062 0.006
item_box_buckshot_ttt	932.0230 382.2528 121.0223	-0.028 -0.116 -0.039
item_box_buckshot_ttt	943.6221 388.6979 120.9696	0.122 -0.198 0.052
