# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cluedo_b5
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	362.696838 -825.091736 34.360962	1.989 0.686 0.647
weapon_ttt_dual_elites	389.050690 -822.590271 34.945011	0.716 0.421 1.112
weapon_ttt_dual_elites	408.153351 -823.050842 35.164886	1.581 0.305 0.994
weapon_ttt_dual_elites	268.810486 1291.744995 35.853600	1.275 1.160 -0.360
weapon_ttt_dual_elites	295.224304 1293.046021 35.978722	2.579 0.466 -0.519
weapon_ttt_dual_elites	316.038086 1291.512207 35.777233	2.706 0.566 -0.092
weapon_ttt_dual_elites	340.357483 1292.035400 35.701767	0.540 -0.256 1.482
weapon_ttt_smokegrenade	-416.000000 481.776001 127.386002	0.000 0.000 0.000
weapon_ttt_smokegrenade	-416.000000 490.776001 127.386002	0.000 0.000 0.000
weapon_ttt_smokegrenade	-416.000000 497.776001 127.386002	0.000 0.000 0.000
weapon_ttt_smokegrenade	-416.000000 504.776001 127.386002	0.000 0.000 0.000
weapon_ttt_smokegrenade	-416.000000 511.776001 127.386002	0.000 0.000 0.000
weapon_ttt_smokegrenade	-894.474976 1203.000000 40.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-894.051025 1211.390015 40.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-893.692017 1220.229980 40.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-696.796021 -171.216003 -119.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-715.114014 -168.800003 -119.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-741.447021 -157.589005 -119.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-748.164001 -136.712997 -119.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	849.010010 -1454.150024 44.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	730.046997 -1457.400024 44.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	470.070007 -1107.109985 44.734600	0.000 0.000 0.000
weapon_ttt_mp5	867.197083 -1129.640625 41.092030	0.362 3.420 -87.341
weapon_ttt_mp5	866.969971 -1157.123657 41.098385	0.326 4.029 -87.500
weapon_ttt_mp5	866.180298 -1183.494141 41.095604	0.234 -0.023 -87.184
weapon_ttt_mp5	867.096619 -1216.628662 41.092911	0.330 1.270 -87.302
weapon_ttt_mp5	-811.041504 -222.438187 37.000130	0.043 8.319 -85.519
weapon_ttt_mp5	-236.505951 827.785217 36.228924	-1.316 3.089 -85.568
weapon_ttt_mp5	690.921204 821.905334 35.316257	-0.442 -2.485 83.821
weapon_ttt_mp5	660.373352 820.789795 36.009342	2.764 -2.589 -87.203
weapon_ttt_mp5	-630.417542 -343.328003 65.096336	0.208 6.188 -87.152
weapon_ttt_mp5	-676.135986 -345.742767 65.096336	0.208 6.194 -87.152
weapon_ttt_mp5	474.780914 694.960571 65.096336	0.208 6.179 -87.152
weapon_ttt_mp5	568.482056 -216.713562 101.711983	0.631 5.269 -87.170
weapon_ttt_mp5	520.140137 -212.039261 100.129997	-7.347 1.460 -2.533
weapon_ttt_mp5	-63.708054 -625.070923 -122.907562	0.347 6.560 -87.323
weapon_ttt_mp5	-101.592209 -623.689148 -122.905312	0.267 6.544 -87.224
item_ammo_revolver_ttt	886.393982 -1455.229980 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	874.640015 -1455.780029 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	862.025024 -1455.969971 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	775.619995 -1455.449951 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	762.302002 -1455.650024 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	744.942017 -1455.910034 40.280201	0.000 0.000 0.000
item_ammo_revolver_ttt	818.151978 -428.789001 -123.720001	0.000 0.000 0.000
item_ammo_revolver_ttt	808.783020 -428.442993 -123.720001	0.000 0.000 0.000
item_ammo_revolver_ttt	799.341980 -430.022003 -123.720001	0.000 0.000 0.000
item_ammo_revolver_ttt	788.323975 -429.308990 -123.720001	0.000 0.000 0.000
item_ammo_revolver_ttt	778.130005 -429.976990 -123.720001	0.000 0.000 0.000
