# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_community_pool_revamped
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_ttt_revolver	-734.587769 1923.324707 64.916061	2.710 -16.673 -84.571
weapon_ttt_revolver	-737.369446 1711.950439 64.840927	3.313 -16.508 -83.533
weapon_ttt_revolver	-1251.637695 514.896973 64.970566	1.957 -18.760 -85.870
weapon_ttt_revolver	-1248.626343 551.271484 64.970657	2.034 -18.713 -85.735
weapon_ttt_smg	362.915131 1566.911011 -575.684753	1.281 7.407 89.396
weapon_ttt_smg	363.664490 1539.925049 -575.684509	1.259 7.406 89.368
weapon_ttt_smg	369.852081 1195.353638 -575.685486	1.347 7.408 89.481
weapon_ttt_smg	374.754669 1165.576782 -575.686096	1.403 7.409 89.554
weapon_ttt_pump_shotgun	624.201904 618.045532 65.472443	-0.502 -9.543 -89.161
weapon_ttt_pump_shotgun	860.301392 618.363403 65.438393	-0.491 -18.735 -88.888
weapon_ttt_pump_shotgun	-298.587982 527.838196 65.444618	-0.493 -9.553 -88.938
weapon_ttt_pump_shotgun	457.545868 831.665771 88.965759	-0.420 -9.857 -89.692
weapon_ttt_pump_shotgun	1440.257935 1712.197998 65.488144	-0.425 -9.746 -89.578
weapon_ttt_pump_shotgun	1395.515381 1717.258057 65.490051	-0.436 -9.744 -89.557
weapon_ttt_pump_shotgun	-915.818176 1405.081055 63.056126	9.707 0.281 -1.536
weapon_ttt_pump_shotgun	-858.602783 1144.840088 65.449112	-0.418 -19.032 -89.245
weapon_ttt_pump_shotgun	-866.922424 1004.196411 65.513161	-0.514 -8.803 -89.488
weapon_ttt_pump_shotgun	-201.436981 1848.286743 -576.793762	9.873 -2.496 -15.691
weapon_ttt_pump_shotgun	-148.406158 1829.988647 -574.506409	-0.456 -9.739 -89.516
weapon_ttt_pump_shotgun	-85.711372 1829.631592 -574.505188	-0.463 -9.737 -89.502
weapon_ttt_pump_shotgun	-996.583862 1280.976196 -574.601807	-0.479 -7.713 -88.566
weapon_ttt_pump_shotgun	-999.970337 1331.900635 -574.511963	-0.427 -9.800 -89.739
weapon_ttt_pump_shotgun	-1000.438721 1388.249634 -574.530579	-0.501 -9.859 -89.137
weapon_ttt_pump_shotgun	1500.167236 1709.771362 65.485954	-0.412 -9.749 -89.603
ttt_random_weapon	-1426.359985 150.311996 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1278.579956 -89.405197 73.372902	0.000 0.000 0.000
ttt_random_weapon	-594.280029 35.223999 113.916000	0.000 0.000 0.000
ttt_random_weapon	-687.085022 522.192017 106.404999	0.000 0.000 0.000
ttt_random_weapon	-511.644012 656.469971 106.404999	0.000 0.000 0.000
ttt_random_weapon	-882.922974 111.135002 106.244003	0.000 0.000 0.000
ttt_random_weapon	817.466980 -33.272598 98.017998	0.000 0.000 0.000
ttt_random_weapon	628.273987 702.093018 73.372902	0.000 0.000 0.000
