# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_deadwood_a3
# Exported by: theguyishere
setting:	replacespawns 1
weapon_ttt_dual_elites	-2818.743896 1999.343140 127.983620	1.911 0.147 -0.060
weapon_ttt_dual_elites	-4115.897949 816.355652 156.811890	1.755 0.193 -0.012
weapon_ttt_dual_elites	-3402.901855 1211.317871 135.981171	1.941 0.151 -0.059
weapon_ttt_dual_elites	-3263.354736 1214.256348 136.019806	1.895 0.144 -0.069
weapon_ttt_dual_elites	-1784.967529 -1337.250000 272.102417	1.850 20.364 -0.005
weapon_ttt_dual_elites	-1780.193237 -1359.672974 272.004547	1.871 0.155 -0.289
weapon_ttt_dual_elites	-1783.755737 -1397.037842 271.959259	1.906 0.168 -0.374
weapon_ttt_dual_elites	-2993.568359 -1429.751831 171.427002	1.737 -3.469 0.358
weapon_ttt_smokegrenade	22.848089 1713.674561 136.119705	-1.100 -1.420 -1.682
weapon_ttt_smokegrenade	32.725437 1713.105103 136.136536	-0.933 -1.615 -1.425
weapon_ttt_smokegrenade	-4293.021484 -1123.273193 161.782425	-47.799 65.334 -86.683
weapon_ttt_smokegrenade	-4299.443848 -1136.682251 160.124588	-1.052 -1.485 -1.608
weapon_ttt_smokegrenade	-3162.764160 673.772888 128.103653	-1.353 -1.195 -0.788
weapon_ttt_smokegrenade	-3178.744873 674.224426 128.116287	-1.218 -1.250 -0.710
weapon_ttt_smokegrenade	-3208.369873 997.778381 128.097809	-1.415 -1.227 -0.824
weapon_ttt_smokegrenade	-3209.659912 982.346924 128.126114	-1.113 -1.266 -0.649
weapon_ttt_smokegrenade	-3399.640137 692.611938 129.486816	18.705 53.510 -89.353
weapon_ttt_smokegrenade	-3389.637939 685.683777 129.482300	18.879 53.873 -89.032
weapon_ttt_smokegrenade	-778.960999 -1335.185913 136.114624	-1.151 -1.442 -1.760
weapon_ttt_smokegrenade	-794.002502 -1376.161011 136.164841	-0.652 -1.719 -0.993
weapon_ttt_smokegrenade	-780.435486 -1433.508667 136.185226	-0.450 -1.749 -0.683
weapon_ttt_smokegrenade	-751.671204 -1458.326416 136.139297	-0.906 -1.607 -1.383
weapon_ttt_smokegrenade	-729.871887 -1474.030273 136.118027	-1.125 -1.329 -1.703
weapon_ttt_smokegrenade	-853.522217 196.145462 409.774078	-48.999 38.972 -87.328
weapon_ttt_smokegrenade	-872.509338 253.286484 408.168640	-0.615 -1.722 -0.935
weapon_ttt_smokegrenade	-877.661560 263.054474 408.139313	-0.906 -1.607 -1.383
weapon_ttt_mp5	-330.313019 2030.214722 135.508713	-7.607 1.196 -1.501
weapon_ttt_mp5	-283.844391 2031.031250 135.491302	-7.408 1.098 -2.192
weapon_ttt_mp5	-4094.615723 1076.847534 173.096344	0.208 6.191 -87.152
weapon_ttt_mp5	-4370.314453 -467.123291 135.490540	-7.400 1.297 -2.222
weapon_ttt_mp5	-2209.047119 -1670.354004 41.576042	0.208 6.507 -87.151
weapon_ttt_mp5	-2207.309082 -1684.943726 41.574589	0.246 6.114 -87.198
weapon_ttt_mp5	-1311.359985 250.714355 409.095093	0.320 5.748 -87.362
weapon_ttt_mp5	-1311.408081 272.739563 409.104034	0.332 5.434 -87.730
weapon_ttt_mp5	206.749741 481.076324 135.487686	-7.367 1.082 -2.336
weapon_ttt_mp5	-1416.221313 -143.283997 135.480667	-7.283 1.135 -2.664
weapon_ttt_mp5	-1773.340332 -487.014435 135.506332	-7.581 1.036 -1.597
weapon_ttt_mp5	-1459.658936 1108.428467 135.494781	-7.449 1.267 -2.054
weapon_ttt_magnum	-407.522583 2019.804443 138.001831	9.417 25.493 74.099
weapon_ttt_magnum	-402.092041 2031.915039 137.994522	9.249 25.585 74.440
weapon_ttt_magnum	-4073.852783 953.210449 175.421967	9.397 -24.954 -75.131
weapon_ttt_magnum	-4096.780762 -579.902222 158.739624	9.023 25.337 75.367
weapon_ttt_magnum	-2451.609619 -1376.321899 156.317917	9.302 25.401 74.439
weapon_ttt_magnum	209.982666 377.265808 138.001068	9.399 25.499 74.135
weapon_ttt_magnum	232.405060 1384.810303 138.005905	9.510 25.441 73.907
weapon_ttt_magnum	56.959602 -1430.669800 169.049561	8.850 26.200 75.518
weapon_ttt_magnum	12.024139 -1425.758789 169.018539	8.482 21.842 75.896
weapon_ttt_glock	-418.200928 1615.818726 137.110626	-0.727 25.648 91.324
weapon_ttt_glock	-418.676208 1623.779175 137.075623	-0.304 25.762 90.201
weapon_ttt_glock	-4190.317871 -808.710754 137.113892	-0.942 25.594 91.734
weapon_ttt_glock	-4213.830566 -809.710144 137.113358	-0.908 25.595 91.669
weapon_ttt_glock	-3249.031250 953.988220 137.111954	-0.816 25.629 91.493
weapon_ttt_glock	-3410.510498 949.810181 137.110382	-0.711 25.648 91.293
weapon_ttt_glock	-1069.371094 228.622742 272.141571	1.089 2.496 5.177
weapon_ttt_glock	809.084412 -732.323792 155.424576	-0.279 24.766 90.772
weapon_ttt_glock	853.318115 -732.340332 155.427185	-0.257 23.939 91.034
weapon_ttt_glock	-1140.159912 1273.487305 137.111008	-0.753 25.640 91.372
weapon_ttt_glock	-1135.082520 1432.497437 137.111679	-0.797 25.630 91.458
weapon_ttt_smg	281.377686 2029.092163 140.892578	-1.639 -1.634 -90.860
weapon_ttt_smg	279.272095 2032.583862 138.526337	-1.669 1.341 -90.285
weapon_ttt_smg	-3812.215088 -814.819946 405.651367	5.039 0.223 1.687
weapon_ttt_smg	-2910.252686 -233.767517 384.525330	5.072 0.483 4.695
weapon_ttt_smg	-2915.663818 -242.201324 384.597290	5.056 0.337 3.019
weapon_ttt_smg	-702.903687 -1654.677246 141.669388	5.033 0.183 1.228
weapon_ttt_smg	-2346.523193 -98.970459 277.686127	5.027 0.145 0.793
weapon_ttt_smg	-2066.042480 -410.082275 277.593201	5.057 0.346 3.117
item_ammo_revolver_ttt	-3116.970703 2311.015137 136.348236	0.454 0.064 0.048
item_ammo_revolver_ttt	-3124.933594 2311.600830 136.340622	0.453 0.066 0.051
item_ammo_revolver_ttt	-3409.794434 1948.467407 286.383972	0.557 0.918 -0.042
item_ammo_revolver_ttt	-3403.962158 1957.494263 286.415619	1.010 -1.373 -1.147
item_ammo_revolver_ttt	-419.930725 2000.722046 136.358810	0.456 0.062 0.044
item_ammo_revolver_ttt	-407.837585 1999.053589 136.342575	0.453 0.064 0.050
item_ammo_revolver_ttt	-376.186676 2039.622314 136.332550	0.451 0.066 0.054
item_ammo_revolver_ttt	-379.045197 2022.430664 136.420990	0.468 0.056 0.019
item_ammo_revolver_ttt	36.080025 940.477966 136.321732	0.449 0.070 0.058
item_ammo_revolver_ttt	36.124336 966.242004 136.334610	0.452 0.066 0.053
item_ammo_revolver_ttt	38.570724 881.781006 136.369995	0.458 0.059 0.039
item_ammo_revolver_ttt	39.258160 858.029236 136.326157	0.450 0.070 0.057
item_ammo_revolver_ttt	-4050.637207 905.902710 152.770111	0.473 -0.251 -0.054
item_ammo_revolver_ttt	-4100.404785 961.590942 152.729340	0.642 0.282 0.290
item_ammo_revolver_ttt	-3695.919434 -1259.607910 157.140717	0.610 0.046 -0.032
item_ammo_revolver_ttt	-3688.194824 -1262.462402 157.066833	0.732 -0.116 0.015
item_ammo_revolver_ttt	-4106.768555 -561.436951 157.198364	0.516 -3.311 0.009
item_ammo_revolver_ttt	-4095.360840 -559.857300 157.198959	0.641 0.101 -0.005
item_ammo_revolver_ttt	-2494.325684 -1552.899536 152.977463	0.710 0.349 -0.033
item_ammo_revolver_ttt	-2503.299072 -1544.143555 153.083817	0.478 2.196 0.004
item_ammo_revolver_ttt	-2468.302734 -1373.030762 154.719711	0.459 0.061 0.019
item_ammo_revolver_ttt	-2426.696045 -1372.660278 154.683670	0.449 0.064 0.029
item_ammo_revolver_ttt	-1785.482788 -1322.742065 177.402756	19.741 -2.163 0.061
item_ammo_revolver_ttt	-1741.396118 -1321.743408 139.309601	-88.897 -9.525 0.798
item_ammo_revolver_ttt	197.085938 406.927887 136.338654	0.452 0.066 0.052
item_ammo_revolver_ttt	207.609360 405.871948 136.389114	0.462 0.057 0.032
item_ammo_revolver_ttt	80.811607 745.184265 272.317169	0.448 0.075 0.060
item_ammo_revolver_ttt	79.616577 759.998718 272.378693	0.460 0.058 0.036
item_ammo_revolver_ttt	223.763245 923.802856 136.372986	0.459 0.059 0.038
item_ammo_revolver_ttt	237.296967 944.205017 136.328323	0.450 0.070 0.056
item_ammo_revolver_ttt	203.236420 1378.488159 136.338654	0.452 0.066 0.052
item_ammo_revolver_ttt	207.597641 1358.627319 136.375885	0.460 0.058 0.037
item_ammo_revolver_ttt	44.346684 -1543.763306 167.513214	0.481 -0.607 0.019
item_ammo_revolver_ttt	60.732964 -1546.735596 167.468002	0.460 0.054 0.020
item_ammo_revolver_ttt	4.578763 -1551.603638 167.440720	0.415 0.089 0.006
item_ammo_revolver_ttt	-26.378719 -1544.653564 167.397614	0.462 0.064 0.037
item_ammo_revolver_ttt	343.001129 -1665.651245 136.351868	0.455 0.062 0.047
item_ammo_revolver_ttt	298.703125 -1668.579102 136.369995	0.458 0.059 0.039
ttt_random_weapon	-3479.881104 2191.787354 137.215042	1.706 4.987 -92.985
ttt_random_weapon	-2273.010742 2168.703125 137.196884	1.910 4.782 -92.516
ttt_random_weapon	-2276.211670 2131.856934 137.208511	1.779 4.773 -92.817
ttt_random_weapon	-2219.566895 2479.964844 137.200623	1.868 4.779 -92.613
ttt_random_weapon	-1732.393066 2498.687012 137.202042	1.852 4.778 -92.649
ttt_random_weapon	-1714.145996 2150.319092 137.195297	1.928 4.784 -92.476
ttt_random_weapon	-1647.181030 2142.129395 137.209106	1.773 4.773 -92.832
ttt_random_weapon	-3859.716797 -859.999695 137.215088	1.705 4.768 -92.986
ttt_random_weapon	-3649.545166 -1138.967651 401.203400	1.837 4.777 -92.685
ttt_random_weapon	-1494.488159 -1490.074585 273.222565	1.621 4.762 -93.180
ttt_random_weapon	-1362.027588 -1306.498413 273.206665	1.800 4.775 -92.769
ttt_random_weapon	-1134.225220 606.925781 409.221802	1.629 4.763 -93.160
ttt_random_weapon	-1138.795166 558.587036 409.217499	1.678 4.766 -93.049
ttt_random_weapon	-2061.735840 -96.332924 273.227081	1.570 5.528 -93.297
weapon_ttt_pump_shotgun	-3238.603027 2291.029785 137.395355	-0.397 -18.861 -88.829
weapon_ttt_pump_shotgun	32.042789 1822.310303 137.502899	-0.518 -10.196 -89.841
weapon_ttt_pump_shotgun	8.444077 1859.939941 137.468567	-0.501 -9.595 -89.130
weapon_ttt_pump_shotgun	-2798.987793 -154.206604 198.408600	-0.613 -8.248 -89.586
weapon_ttt_pump_shotgun	-2953.759521 -157.350189 198.379486	-0.444 -8.637 -89.600
weapon_ttt_pump_shotgun	-1222.030396 -1386.470093 137.252014	-0.341 10.291 85.560
weapon_ttt_pump_shotgun	-2211.134277 -323.456970 137.502792	-0.521 -10.197 -90.012
weapon_ttt_pump_shotgun	-2304.520508 -325.263641 137.502899	-0.518 -10.196 -89.834
item_ammo_smg1_ttt	-3190.699707 2001.625732 157.284042	-0.072 -11.160 0.045
item_ammo_smg1_ttt	-3206.272949 1985.180908 157.216858	0.816 -3.442 0.240
item_ammo_smg1_ttt	-2729.219238 2161.159180 128.502884	0.347 0.420 0.594
item_ammo_smg1_ttt	-2713.383545 2161.206543 128.520767	-0.826 0.409 -0.260
item_ammo_smg1_ttt	-2692.446045 2161.143799 128.519897	-0.756 0.163 -0.207
