# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_juveniledetention_v1
# Exported by: Super Blargio
setting:	replacespawns 1
weapon_ttt_dual_elites	-1192.364746 -603.026001 211.970978	1.732 26.982 0.244
weapon_ttt_dual_elites	-1214.821045 -603.360901 212.039474	1.727 21.350 0.332
weapon_ttt_dual_elites	-1240.758667 -672.358154 239.983856	1.985 0.160 -0.063
weapon_ttt_dual_elites	-1241.182251 -686.606018 239.983856	1.985 0.160 -0.063
weapon_ttt_dual_elites	-1243.453979 -701.863586 240.101257	1.750 -0.054 -0.143
weapon_ttt_dual_elites	-1245.637085 -712.524353 239.981659	2.048 0.156 -0.396
weapon_ttt_dual_elites	-1185.267090 1046.169312 -465.168488	2.032 -0.299 0.869
weapon_ttt_dual_elites	-1853.646973 -660.191589 31.969988	2.007 0.163 -0.059
weapon_ttt_smokegrenade	-1148.281982 -150.720734 32.182949	-1.356 -1.417 -1.198
weapon_ttt_smokegrenade	-1159.270020 -494.279846 356.200012	-0.968 -1.480 -0.695
weapon_ttt_smokegrenade	-1161.949829 -461.989807 356.185760	-1.429 -1.452 -1.028
weapon_ttt_smokegrenade	-1177.216797 -444.265503 356.170319	-1.930 -1.379 -1.389
weapon_ttt_smokegrenade	-1175.727905 -474.683929 356.194672	-1.141 -1.472 -0.820
weapon_ttt_smokegrenade	-1174.427979 -507.673096 356.143188	-2.812 -0.989 -2.035
weapon_ttt_smokegrenade	-1189.103882 -461.135925 356.171173	-1.902 -1.380 -1.370
weapon_ttt_smokegrenade	-1191.113770 -491.954498 356.151825	-2.532 -1.217 -1.825
weapon_ttt_smokegrenade	-1931.167847 -715.955322 475.162537	-2.465 -1.325 -1.347
weapon_ttt_smokegrenade	-1931.662842 -752.715271 475.165863	-0.992 1.382 -1.185
weapon_ttt_smokegrenade	-1913.468872 -733.971008 475.172729	-2.588 -1.250 -0.699
weapon_ttt_smokegrenade	-1922.834473 -734.250732 356.163879	-0.662 -1.711 -1.009
weapon_ttt_mp5	-1249.914551 1045.302979 -472.684784	5.805 -5.085 95.702
weapon_ttt_mp5	-847.234009 872.586182 -462.942200	0.468 -0.827 -86.604
weapon_ttt_mp5	-931.015381 128.767166 59.432781	-7.278 0.959 -2.066
weapon_ttt_mp5	-1674.864990 -557.358582 355.503235	-7.545 1.266 -1.719
weapon_ttt_mp5	-1445.139526 -25.255783 212.940826	0.863 89.529 -85.616
weapon_ttt_magnum	-1166.304810 -88.533340 33.984581	9.185 26.184 74.334
weapon_ttt_magnum	-1164.142456 -108.405106 33.965160	8.661 26.404 75.528
weapon_ttt_magnum	-1166.153076 -122.113037 33.987320	9.261 26.145 74.161
weapon_ttt_magnum	-1947.923706 -148.092758 357.987518	8.825 26.020 75.696
weapon_ttt_glock	-1482.953979 -898.269531 385.110687	-0.680 25.626 91.315
weapon_ttt_glock	-1594.793945 -45.141998 249.479721	0.272 77.893 90.451
weapon_ttt_glock	-1596.653564 -33.217125 249.395493	-0.376 11.558 90.284
weapon_ttt_smg	-69.142326 -1437.725952 64.314308	1.365 7.408 89.504
weapon_ttt_smg	-224.571564 124.108261 65.643608	5.053 0.191 0.304
weapon_ttt_smg	-448.324524 217.441696 64.303749	1.371 5.285 89.638
weapon_ttt_smg	-157.194138 84.569916 65.562653	5.096 0.211 0.778
weapon_ttt_smg	-1678.154175 -733.127502 217.684509	4.918 0.315 1.398
weapon_ttt_smg	-1681.117920 -748.665527 217.691391	4.935 0.291 1.121
item_ammo_revolver_ttt	-1774.715210 -298.384613 127.370003	0.458 0.059 0.039
item_ammo_revolver_ttt	-1766.204712 -300.579224 127.357109	0.456 0.062 0.044
item_ammo_revolver_ttt	-1758.260132 -302.238800 127.372986	0.459 0.059 0.038
item_ammo_revolver_ttt	-1785.454346 -294.944061 127.380066	0.460 0.058 0.035
item_ammo_revolver_ttt	-1140.377197 -78.833801 32.312412	0.447 0.073 0.063
item_ammo_revolver_ttt	-1141.089966 -93.260986 32.338596	0.452 0.065 0.053
item_ammo_revolver_ttt	-1139.222656 -105.944862 32.451488	-0.834 0.200 0.671
item_ammo_revolver_ttt	-1139.256958 -117.071213 32.410583	0.677 -0.112 -0.348
item_ammo_revolver_ttt	-1139.466919 -128.903732 32.334557	0.451 0.065 0.054
item_ammo_revolver_ttt	-1960.775757 -166.602280 356.425812	1.174 -0.439 -1.120
item_ammo_revolver_ttt	-1960.820435 -151.771423 356.322632	0.634 -0.073 -0.117
item_ammo_revolver_ttt	-1960.729980 -139.231277 356.441193	1.360 -0.246 -1.037
item_ammo_revolver_ttt	-1960.774170 -126.841721 356.449646	0.584 -0.006 -0.365
item_ammo_revolver_ttt	-1960.807983 -113.980614 356.370178	0.802 -0.121 -0.548
item_ammo_revolver_ttt	-1488.423462 -929.808960 32.381481	0.918 -0.074 -0.857
