# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_a2_ktt
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_ttt_smokegrenade	505.287994 2198.669922 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	489.855988 2198.899902 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	718.000000 2352.000000 318.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	149.626007 2567.159912 304.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	401.989014 2439.469971 422.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1888.959961 1706.109985 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1782.949951 1700.430054 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2721.800049 1462.969971 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3395.919922 2404.189941 645.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3088.000000 1248.000000 453.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1801.469971 1086.300049 261.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1590.699951 90.849297 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1578.079956 89.200996 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1938.680054 -180.332001 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1905.699951 32.869701 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	905.859009 -1398.890015 581.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	465.270996 -1060.300049 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	159.960999 81.726501 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	-111.920998 -101.806999 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	762.304993 -23.528500 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1262.140015 396.980011 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-712.799011 -12.701500 -184.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-707.219971 -796.322021 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1197.000000 -180.000000 99.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1244.079956 -52.781601 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	872.000000 118.000000 100.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1322.000000 126.000000 102.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1318.000000 234.000000 102.000000	0.000 0.000 0.000
weapon_zm_pistol	-128.000000 -104.000000 66.000000	-0.018 271.000 1.000
weapon_zm_pistol	-126.000000 -150.000000 66.000000	1.000 270.009 -89.500
weapon_zm_pistol	792.000000 -4.000000 66.000000	-0.044 270.999 2.500
weapon_zm_pistol	884.000000 -1062.000000 386.000000	1.000 270.009 -89.500
weapon_zm_pistol	551.987000 -736.802002 66.723198	0.000 0.000 0.000
weapon_zm_pistol	548.650024 -760.981995 66.723198	0.000 0.000 0.000
weapon_zm_pistol	1290.000000 -864.000000 170.000000	0.000 0.000 0.000
weapon_zm_pistol	-577.905029 -901.442017 -125.277000	0.000 0.000 0.000
weapon_zm_pistol	1629.709961 954.210999 258.722992	0.000 0.000 0.000
weapon_zm_pistol	1626.400024 1070.030029 258.722992	0.000 0.000 0.000
weapon_zm_pistol	1208.000000 190.000000 556.000000	0.000 0.000 0.000
weapon_zm_pistol	1621.890015 1621.959961 770.723022	0.000 0.000 0.000
weapon_zm_pistol	3710.340088 2390.000000 692.000000	0.000 0.000 0.000
weapon_zm_pistol	2386.000000 1210.000000 436.000000	0.000 272.000 0.000
weapon_zm_pistol	-367.739990 1938.760010 261.722992	0.000 0.000 0.000
weapon_zm_pistol	663.585022 2200.000000 301.988007	0.000 0.000 0.000
weapon_zm_pistol	390.048004 2465.320068 302.722992	0.000 0.000 0.000
weapon_zm_pistol	1192.000000 -116.000000 84.000000	0.000 90.500 0.000
weapon_zm_pistol	1321.540039 -307.036011 66.723198	0.000 0.000 0.000
weapon_zm_pistol	788.000000 30.000000 106.000000	0.000 0.000 0.000
weapon_zm_pistol	2514.000000 1403.319946 825.724976	0.000 0.000 0.000
weapon_ttt_pump_shotgun	617.377930 -886.305481 65.487679	-0.422 -9.746 -89.584
ttt_random_weapon	924.330017 -1141.099976 586.372986	0.000 0.000 0.000
ttt_random_weapon	777.000000 204.000000 200.000000	0.000 0.000 0.000
ttt_random_weapon	740.000000 -1124.530029 756.000000	0.000 0.000 0.000
ttt_random_weapon	1364.000000 198.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	1362.000000 156.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	1320.000000 242.000000 102.000000	0.000 0.000 0.000
ttt_random_weapon	1320.000000 116.000000 102.000000	0.000 0.000 0.000
item_ammo_357_ttt	-124.000000 -120.000000 64.000000	-0.018 271.000 1.000
