# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_roy_the_ship
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	-2587.887939 90.322922 524.990173	1.913 0.157 -0.192
weapon_ttt_dual_elites	-2590.184326 123.988846 525.011169	1.891 0.152 -0.174
weapon_ttt_dual_elites	-2590.759033 150.006256 524.990173	1.913 0.157 -0.192
weapon_ttt_dual_elites	-2591.006592 174.733383 525.016907	1.885 0.151 -0.170
weapon_ttt_dual_elites	-2579.161865 1121.644287 219.978928	1.924 0.160 -0.202
weapon_ttt_dual_elites	-2559.789307 1124.523682 220.003571	1.899 0.153 -0.181
weapon_ttt_dual_elites	-2537.889648 1125.026123 220.008209	1.894 0.151 -0.177
weapon_ttt_dual_elites	-2446.312256 330.859528 419.967896	2.010 0.163 -0.059
weapon_ttt_dual_elites	-2445.238525 360.538147 419.985748	1.982 0.157 -0.063
weapon_ttt_dual_elites	-2442.147705 384.623657 419.949860	2.038 0.173 -0.054
weapon_ttt_dual_elites	-2408.521240 1541.676880 532.974976	1.929 0.160 -0.205
weapon_ttt_dual_elites	-2408.593750 1565.536011 533.001953	1.900 0.153 -0.182
weapon_ttt_dual_elites	-2407.564697 1593.725830 532.972900	1.931 0.160 -0.207
weapon_ttt_mp5	-2720.079346 -507.464142 606.093140	0.322 6.549 -87.293
weapon_ttt_mp5	-2710.760498 -534.162964 606.093201	0.321 6.549 -87.290
weapon_ttt_mp5	-2321.235840 2666.201660 705.093933	0.294 6.552 -87.258
weapon_ttt_mp5	-2317.967529 2638.594482 705.092651	0.339 6.552 -87.313
weapon_ttt_mp5	-2706.056641 722.557678 221.093491	0.310 6.176 -87.277
weapon_ttt_magnum	-2589.702637 -1103.891357 606.962341	8.853 26.331 75.091
weapon_ttt_magnum	-2596.894043 -1084.104614 606.977905	9.277 26.131 74.125
weapon_ttt_magnum	-2607.333496 -1066.267456 606.975098	9.200 26.172 74.300
weapon_ttt_smg	-2424.312256 2674.304199 704.314392	1.353 7.409 89.489
weapon_ttt_smg	-2459.817383 2676.580566 704.314941	1.308 7.408 89.431
weapon_ttt_smg	-2283.392578 1089.651367 225.672668	4.925 0.354 1.430
weapon_ttt_smg	-2284.200195 1074.815918 225.667816	4.917 0.367 1.580
weapon_ttt_smg	-2285.474609 1057.004150 225.605286	4.810 0.526 3.428
item_ammo_revolver_ttt	-2636.022949 -1079.633179 605.343628	0.455 0.060 0.047
item_ammo_revolver_ttt	-2655.207031 -1062.528442 605.434753	0.845 -0.430 -0.620
item_ammo_revolver_ttt	-2672.572754 -1036.929688 605.343323	0.451 0.058 0.041
item_ammo_revolver_ttt	-2627.960693 -1101.552490 605.370056	0.460 0.056 0.036
item_ammo_revolver_ttt	-2355.325928 1230.283936 525.446045	1.081 -0.051 -0.770
item_ammo_revolver_ttt	-2368.283203 1230.211060 525.466858	0.923 -0.663 -0.365
item_ammo_revolver_ttt	-2379.184082 1230.334839 525.429321	1.042 -0.021 -0.977
item_ammo_revolver_ttt	-2453.468994 1402.936035 256.603546	0.448 0.060 0.046
item_ammo_revolver_ttt	-2467.406250 1399.102539 256.656830	0.461 0.052 0.026
item_ammo_revolver_ttt	-2480.885254 1399.660645 256.585754	0.444 0.066 0.053
item_ammo_revolver_ttt	-2494.971680 1400.695435 256.591949	0.445 0.062 0.051
item_ammo_revolver_ttt	-2507.084473 1401.017456 256.652557	0.460 0.053 0.028
item_ammo_revolver_ttt	-2520.253906 1400.629517 256.572510	0.441 0.071 0.058
item_ammo_revolver_ttt	-2452.630127 1420.899414 256.574799	0.441 0.071 0.057
item_ammo_revolver_ttt	-2465.780518 1421.321167 256.620636	0.452 0.056 0.040
item_ammo_revolver_ttt	-2475.963867 1418.383423 256.572510	0.441 0.071 0.058
item_ammo_revolver_ttt	-2487.280273 1421.303101 256.612427	0.450 0.058 0.043
item_ammo_revolver_ttt	-2502.877197 1421.690918 256.589935	0.445 0.063 0.052
item_ammo_revolver_ttt	-2515.114502 1419.743774 256.565399	0.439 0.071 0.061
item_ammo_revolver_ttt	-2526.773193 1419.904053 256.620667	0.452 0.056 0.040
item_ammo_revolver_ttt	-2381.009277 198.194107 420.382416	0.499 0.064 0.035
