# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_titanic
# Exported by: ultraboy [smoker]
setting:	replacespawns 0
weapon_zm_pistol	-385.4552 -559.7341 -663.6951	0.015 35.144 88.274
weapon_zm_pistol	-329.5349 -554.5387 -663.6833	0.012 35.131 88.515
weapon_zm_pistol	-272.2262 -554.8392 -663.7161	0.019 35.157 87.843
weapon_zm_pistol	-206.6711 -553.8994 -663.7161	0.019 35.157 87.843
weapon_zm_pistol	1732.1366 -357.7872 -791.7238	0.019 35.157 87.686
weapon_zm_pistol	2379.5669 -551.2726 -663.6999	0.015 35.150 88.176
weapon_zm_pistol	2387.6780 -531.8265 -663.7206	0.019 35.157 87.750
weapon_zm_pistol	3500.1294 -17.5541 -985.5388	-4.253 32.081 93.123
weapon_zm_pistol	3530.8611 -16.1843 -985.3344	-3.768 35.856 92.249
item_ammo_pistol_ttt	-200.6590 -526.1980 -663.6547	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-266.5632 -524.5518 -663.6458	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-322.3573 -522.8471 -663.6693	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-378.5910 -526.2715 -663.6332	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-583.4545 61.4409 -631.5851	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	-569.6360 59.1439 -631.6048	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	-552.0767 59.7056 -631.5890	-0.077 -0.020 -0.023
item_ammo_pistol_ttt	1759.5618 -352.6139 -791.6667	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	1772.2946 -354.2831 -791.5945	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	1508.8943 -229.5745 -615.6273	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1521.9668 -231.1116 -615.6352	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	1532.3209 -229.1435 -615.6235	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	1545.7158 -231.3769 -615.5959	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	2547.3247 -87.7010 -663.6393	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	2536.0955 -90.6658 -663.6393	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	2563.2063 -31.1362 -663.6797	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	2539.3718 -28.6884 -663.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	2352.7495 -552.6487 -663.5614	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	2334.2307 -551.6839 -663.6643	-0.142 -0.019 -0.043
