# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_traitormotel_reloaded_b1
# Exported by: Lanix
setting:	replacespawns 1
weapon_zm_pistol	-1038.3689 619.6682 115.6336	-32.081 -40.215 -88.088
weapon_zm_pistol	-1053.4137 -155.2676 117.4516	-0.377 -0.084 -89.761
weapon_zm_pistol	-986.8118 -270.6482 96.3168	-0.279 35.352 89.309
weapon_zm_pistol	-562.1218 378.3792 -78.4512	0.877 -35.684 -89.403
weapon_zm_pistol	-295.5381 -1381.4866 96.4586	-0.350 35.357 89.172
weapon_zm_pistol	151.8545 -1202.7152 121.7264	-0.473 35.365 88.933
weapon_zm_pistol	174.3263 -1202.1995 121.6732	-0.701 35.363 88.492
weapon_zm_pistol	480.2009 -17.5808 0.3296	0.364 48.709 88.534
weapon_zm_pistol	-1140.5070 493.4214 353.4026	-0.008 -37.582 -96.590
item_ammo_pistol_ttt	-1196.9148 764.3743 96.3979	0.323 -0.204 0.193
item_ammo_pistol_ttt	-1188.8489 765.3422 96.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-1182.2012 766.2119 96.3870	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	-1018.6740 617.2007 96.4818	0.329 -0.353 0.027
item_ammo_pistol_ttt	-1012.5357 615.0564 96.4771	1.101 -0.073 0.280
item_ammo_pistol_ttt	-1006.1244 617.2865 96.4027	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	-1019.6313 109.1638 96.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-978.5648 112.4513 96.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-970.4835 112.6352 96.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-1018.0443 -146.6335 96.4233	-0.066 -0.020 -0.020
item_ammo_pistol_ttt	-1009.1837 -148.0816 96.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-974.1401 -149.0005 96.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	-1239.1195 -273.5522 96.3203	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	-1229.6260 -273.1745 96.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-1220.3093 -273.0471 96.3801	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-1003.9691 -262.4388 96.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-1010.7128 -263.7021 96.4352	0.150 0.009 0.179
item_ammo_pistol_ttt	-1020.8812 -262.6079 96.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-750.8541 -576.7936 96.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-759.9448 -570.5099 96.3972	-0.105 2.126 -0.093
item_ammo_pistol_ttt	-792.2242 -578.5848 96.3579	-0.154 -0.021 -0.055
item_ammo_pistol_ttt	-575.6942 374.3418 -79.5426	-0.711 0.193 -0.497
item_ammo_pistol_ttt	-549.1511 352.4312 -79.5826	-0.071 -0.020 -0.021
item_ammo_pistol_ttt	292.5866 595.3943 0.3308	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	283.4146 595.9149 0.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	299.7989 705.6525 0.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	290.6669 708.4419 0.3952	-0.091 -0.020 -0.027
item_ammo_pistol_ttt	297.6844 773.9642 0.4757	0.202 2.087 0.014
item_ammo_pistol_ttt	288.5264 773.5897 0.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-790.4071 363.3594 96.3870	-0.098 -0.020 -0.029
item_ammo_pistol_ttt	-790.8109 340.4714 96.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-792.4680 317.7117 96.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-462.8654 736.9005 100.4742	-0.232 0.381 -0.080
item_ammo_pistol_ttt	-450.3152 738.2007 100.4512	-0.572 0.546 -0.472
item_ammo_pistol_ttt	-437.7010 738.1997 100.4453	-0.195 0.838 -0.410
item_ammo_pistol_ttt	-633.9620 -857.6483 96.4568	-0.028 0.129 -0.277
item_ammo_pistol_ttt	-642.7751 -857.5103 96.3530	-0.163 -0.013 -0.014
item_ammo_pistol_ttt	-652.5156 -858.7646 96.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-182.1184 -1385.8051 96.6098	-0.041 -0.020 -0.012
item_ammo_pistol_ttt	-180.5984 -1366.3848 96.5401	-0.102 -0.019 -0.031
item_ammo_pistol_ttt	-188.3734 -1377.3870 96.5565	-0.088 -0.020 -0.027
item_ammo_pistol_ttt	-293.2821 -1406.4579 96.5310	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-285.7652 -1406.5712 96.5503	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	-277.9844 -1406.7251 96.6019	-0.318 0.225 -0.461
item_ammo_pistol_ttt	224.0246 -1114.0554 96.4987	-0.000 -1.237 -0.000
item_ammo_pistol_ttt	210.9826 -1114.2668 96.4835	0.163 3.586 -0.152
item_ammo_pistol_ttt	202.5215 -1114.6554 96.4583	0.013 -0.397 0.109
item_ammo_pistol_ttt	217.3321 -1113.7568 96.4642	1.744 1.576 0.412
item_ammo_pistol_ttt	230.6792 -1113.7079 96.4794	0.342 0.314 0.021
item_ammo_pistol_ttt	236.7902 -1116.8757 96.4533	0.345 0.284 -0.184
item_ammo_pistol_ttt	195.2372 -1116.1317 96.4706	0.080 -0.299 -0.157
item_ammo_pistol_ttt	195.2793 -1135.9739 96.4619	0.119 -0.103 -0.201
item_ammo_pistol_ttt	202.9723 -1133.0173 96.3929	-0.762 0.029 -0.332
item_ammo_pistol_ttt	210.7334 -1132.6289 96.4438	0.240 -0.914 0.182
item_ammo_pistol_ttt	217.6867 -1132.1285 96.3849	-0.292 -0.042 -0.133
item_ammo_pistol_ttt	224.2094 -1132.4167 96.3923	-0.061 -0.001 0.006
item_ammo_pistol_ttt	484.3167 47.3287 0.4069	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	485.4444 25.2489 0.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	483.3081 6.8439 0.4298	-0.285 0.502 -0.541
item_ammo_pistol_ttt	-261.2915 1006.2875 304.4413	-0.632 0.303 -0.570
item_ammo_pistol_ttt	-268.9107 1006.4413 304.4346	-0.573 0.027 -0.266
item_ammo_pistol_ttt	-278.4057 1006.4877 304.3812	-0.069 -0.003 0.007
item_ammo_pistol_ttt	-1150.5869 477.8925 351.9985	0.000 0.015 -0.000
item_ammo_pistol_ttt	-1139.8680 474.2560 351.9985	-0.000 0.069 -0.000
item_ammo_pistol_ttt	-1129.3541 485.4061 352.8000	4.436 -0.798 3.798
item_ammo_pistol_ttt	-1150.5365 334.7214 351.9980	0.011 -0.110 -0.000
item_ammo_pistol_ttt	-1136.2640 332.4452 351.9983	-0.008 0.203 -0.001
item_ammo_pistol_ttt	-1125.7601 327.2870 351.9958	-0.004 0.139 -0.001
weapon_zm_revolver	-922.6572 1198.2993 97.9461	2.574 -23.149 -83.526
weapon_zm_revolver	-876.3659 1000.2696 117.3042	2.428 -47.617 -84.141
weapon_zm_revolver	-1042.2355 -660.8680 117.7787	1.115 -28.365 -86.723
weapon_zm_revolver	-985.8286 -452.1898 98.1830	2.289 -20.629 -92.005
weapon_zm_revolver	-992.1724 -448.0306 97.2042	-12.181 -12.976 -90.401
weapon_zm_revolver	-775.3049 -81.7990 89.9178	2.571 -19.663 -83.621
weapon_zm_revolver	0.0123 535.0338 33.9632	3.563 -18.657 -82.774
weapon_zm_revolver	0.8322 557.9765 33.9511	2.892 -22.088 -83.734
weapon_zm_revolver	-738.3997 112.3372 353.9066	2.450 -20.358 -83.608
weapon_zm_revolver	-953.2491 -201.4507 357.9328	2.802 -20.077 -83.514
weapon_zm_revolver	-1042.1484 755.7816 353.8999	3.026 -42.002 -83.907
ttt_random_weapon	-299.6610 -82.6179 140.2060	1.807 4.775 -92.753
ttt_random_weapon	-299.7291 -222.3779 140.2393	1.431 4.747 -93.615
ttt_random_weapon	-527.3263 -367.2252 97.0312	2.258 4.569 -91.393
