# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_whitehouse_b2
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	1593.099243 -791.549377 64.005836	1.889 0.143 -0.066
weapon_ttt_dual_elites	1571.329224 -789.271057 63.987324	1.907 0.147 -0.061
weapon_ttt_mp5	-539.999084 -284.478699 63.457291	-7.400 0.870 -1.812
weapon_ttt_mp5	-536.454163 -249.567001 63.489815	-7.562 0.743 -1.475
weapon_ttt_mp5	1067.754272 -483.832642 65.096336	0.208 6.194 -87.152
weapon_ttt_mp5	1114.343872 -482.342194 65.096336	0.208 6.188 -87.152
weapon_ttt_mp5	1675.947388 -345.393341 65.096336	0.208 2.387 -87.152
weapon_ttt_mp5	1670.788940 -376.166321 65.090591	0.413 0.836 -87.404
weapon_ttt_mp5	-264.586243 -855.352234 63.438858	-7.308 0.751 -2.003
weapon_ttt_mp5	-310.344147 -856.466431 63.464008	-7.434 0.703 -1.742
weapon_ttt_mp5	86.870621 -494.513428 197.096329	0.208 6.184 -87.152
weapon_ttt_mp5	135.294891 -494.916046 197.069946	0.705 5.378 -87.332
weapon_ttt_mp5	186.845734 -496.603455 197.096329	0.208 6.185 -87.152
weapon_ttt_mp5	345.204346 -1187.996460 -445.950195	0.636 7.215 -86.366
weapon_ttt_mp5	343.806854 -1153.387207 -445.905884	0.288 6.175 -87.250
weapon_ttt_mp5	344.249390 -1123.940186 -445.904816	0.249 6.163 -87.203
weapon_ttt_magnum	412.603607 -2034.384644 -446.034760	8.788 26.924 75.084
weapon_ttt_magnum	380.220734 -2032.298706 -446.024017	9.167 26.722 74.113
weapon_ttt_magnum	353.453613 -2032.038696 -446.031830	8.890 26.876 74.823
weapon_ttt_magnum	450.272308 -435.265503 65.995255	8.945 25.990 75.531
weapon_ttt_magnum	451.466919 -460.876984 66.008461	9.256 39.384 74.880
weapon_ttt_magnum	450.903198 -479.334015 66.002846	9.064 25.957 75.368
item_ammo_revolver_ttt	2784.370117 -523.239014 64.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	0.241913 -49.323601 64.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	60.967899 -43.083599 64.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2644.709961 -416.997009 98.159599	0.000 296.500 0.000
item_ammo_revolver_ttt	2660.360107 -419.373993 98.159599	0.000 237.000 0.000
item_ammo_revolver_ttt	687.369995 -464.816986 106.276001	0.000 237.000 0.000
item_ammo_revolver_ttt	657.182983 -464.257996 106.276001	0.000 296.500 0.000
item_ammo_revolver_ttt	3189.100098 -652.849976 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.270020 -675.309998 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.300049 -696.926025 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.340088 -718.541016 106.276001	0.000 180.000 0.000
