# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_wickeds_home_final
# Exported by: ultraboy [smoker]
setting:	replacespawns 0
weapon_zm_pistol	693.9995 91.5481 129.2514	-0.559 35.368 88.767
weapon_zm_pistol	699.7850 105.0007 129.2591	-0.526 35.367 88.831
weapon_zm_pistol	703.8925 128.9692 129.2763	-0.452 35.363 88.973
weapon_zm_pistol	-47.5716 619.7785 64.9623	-1.007 35.563 90.597
weapon_zm_pistol	-27.7402 160.7475 65.1030	-1.195 35.565 90.893
weapon_zm_pistol	-257.8068 472.8809 335.2572	-0.534 35.368 88.815
weapon_zm_pistol	87.5915 747.4849 301.2697	-0.481 35.366 88.919
weapon_zm_pistol	-333.7227 389.4677 336.3042	-0.369 35.562 88.894
item_ammo_pistol_ttt	689.2474 121.4741 129.3203	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	686.4421 95.7317 129.3801	-0.104 -0.019 -0.031
item_ammo_pistol_ttt	720.5599 123.0853 129.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	718.3497 90.1636 129.4210	-0.068 -0.020 -0.021
item_ammo_pistol_ttt	-198.9717 -80.1965 200.3523	0.029 0.030 0.004
item_ammo_pistol_ttt	-184.7082 -80.4225 200.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-170.0925 -81.2971 200.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-14.9170 625.1505 65.2812	-0.677 -0.038 0.030
item_ammo_pistol_ttt	-244.1511 741.0812 65.8382	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-225.5507 741.3860 65.8903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-213.8058 737.4860 65.8607	-0.121 -0.019 -0.037
item_ammo_pistol_ttt	-61.4319 126.8393 64.8790	-0.762 -0.024 0.041
item_ammo_pistol_ttt	-57.3352 161.1344 64.9193	-0.744 -0.027 0.039
item_ammo_pistol_ttt	-275.8970 474.6725 335.3708	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	609.4953 757.7233 324.0213	-0.363 -0.054 0.008
item_ammo_pistol_ttt	-343.7078 356.1883 336.3857	-0.504 -0.026 -0.011
item_ammo_pistol_ttt	-320.0919 355.0952 336.3337	0.607 -0.056 -0.013
item_ammo_pistol_ttt	-345.3200 412.6897 336.3709	-0.026 -0.031 0.003
item_ammo_pistol_ttt	-323.0714 414.2468 336.3603	0.593 -0.056 -0.013
weapon_zm_revolver	-373.9240 631.3947 233.9034	1.838 -35.240 -86.078
weapon_zm_revolver	-374.4398 54.4058 201.9291	2.534 -19.694 -83.925
weapon_zm_revolver	-376.7882 521.5533 65.9025	2.454 -20.350 -83.514
weapon_zm_revolver	-340.7102 528.4025 65.9397	2.419 -20.409 -84.355
weapon_zm_revolver	-1166.9164 37.5273 65.9186	2.439 -20.376 -83.878
