# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zm_gasdump_b4
# Exported by: PAL-18
setting:	replacespawns 0
weapon_zm_pistol	-155.3950 -55.3380 -53.8610	0.000 0.000 0.000
weapon_zm_pistol	-166.2550 -56.0960 -53.8610	0.000 0.000 0.000
item_ammo_pistol_ttt	1150.8080 -751.0579 -294.6371	-0.026 -0.031 0.004
item_ammo_pistol_ttt	1165.0250 -704.0759 -294.6081	0.093 0.020 -0.028
item_ammo_pistol_ttt	-43.2985 759.1465 -230.6618	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-30.0504 805.4025 -230.5973	-0.084 -0.020 -0.025
weapon_zm_shotgun	5694.4800 -1478.0000 -174.7830	5.141 356.639 3.099
weapon_zm_shotgun	5568.4302 -1424.0000 -174.7830	5.141 357.639 3.099
weapon_zm_shotgun	-205.5630 -89.1830 -53.7600	0.000 0.000 0.000
weapon_zm_shotgun	-205.4070 -76.5060 -53.7600	0.000 0.000 0.000
weapon_zm_shotgun	-206.0000 -100.0000 -53.7600	0.000 0.000 0.000
weapon_zm_shotgun	5547.6001 -1714.2800 -186.4320	0.000 0.000 0.000
weapon_zm_shotgun	5490.7002 -1697.5200 -186.4320	0.000 0.000 0.000
weapon_zm_shotgun	5740.4302 -1509.0000 -181.6720	0.000 0.000 0.000
weapon_zm_shotgun	5644.4600 -1657.6000 -186.4320	0.000 0.000 0.000
weapon_ttt_m16	1142.8688 -729.6167 -293.8409	2.037 -8.124 84.295
weapon_ttt_m16	-38.8222 782.9684 -229.8273	2.184 -8.225 84.402
weapon_zm_sledge	77.8959 -109.9310 -49.1880	0.000 0.000 0.000
weapon_zm_sledge	65.9970 -128.9900 -49.1880	0.000 0.000 0.000
weapon_zm_sledge	50.6628 -82.5250 -49.1880	0.000 0.000 0.000
weapon_zm_sledge	59.9926 -59.6880 -49.1880	0.000 0.000 0.000
weapon_zm_sledge	65.7919 -34.0840 -49.1880	0.000 0.000 0.000
item_ammo_357_ttt	-67.7038 651.0354 215.9469	-13.139 -0.929 -0.150
item_ammo_357_ttt	-78.5991 667.5222 213.4372	-12.898 -0.934 0.005
item_ammo_357_ttt	-795.1498 -2305.5925 -294.6464	0.454 0.059 0.047
item_ammo_357_ttt	-806.7504 -2252.6333 -294.6147	0.461 0.055 0.034
weapon_zm_rifle	212.0000 -69.0000 -198.1440	0.000 270.000 0.000
weapon_zm_rifle	216.0000 -81.0000 -198.1440	0.000 270.000 0.000
weapon_zm_rifle	216.0000 -146.0000 -217.0000	0.000 270.000 0.000
weapon_zm_rifle	-61.5486 667.3121 218.3659	-9.544 5.823 64.149
weapon_zm_rifle	-798.4508 -2279.3613 -293.6630	3.293 11.989 64.878
