# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zm_winchester_prefinal
# Exported by: PAL-18
setting:	replacespawns 0
weapon_zm_pistol	2019.0000 -169.0000 -26.0000	0.000 0.000 0.000
weapon_zm_pistol	1906.0000 88.0000 -24.0000	0.000 0.000 0.000
weapon_zm_pistol	1934.0000 58.0000 -5.0000	0.000 0.000 0.000
weapon_zm_pistol	1429.0000 408.0000 180.0000	-81.459 275.425 69.365
weapon_zm_pistol	1165.0000 397.0000 186.0000	0.000 0.000 0.000
weapon_zm_pistol	1392.0000 523.0000 205.0000	0.000 0.000 0.000
weapon_zm_pistol	1660.0000 596.0000 194.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	704.2537 -5821.4697 -10.1285	89.045 -123.041 -112.501
item_ammo_pistol_ttt	746.4366 -5792.7471 -11.1715	-89.026 -142.191 136.841
item_ammo_pistol_ttt	-4248.0679 -3131.1553 3.1975	-7.468 -18.467 -13.714
item_ammo_pistol_ttt	-4245.1533 -3139.6299 6.2119	77.405 102.664 134.950
weapon_zm_shotgun	1308.0000 747.0000 184.0000	0.000 0.000 0.000
weapon_zm_shotgun	-930.0000 -6624.0000 7.0000	0.000 6.500 0.000
weapon_ttt_m16	727.2305 -5797.2827 -49.1209	-41.479 -36.240 -90.733
weapon_ttt_m16	-4245.7236 -3129.9209 0.8877	-0.717 3.611 82.517
weapon_zm_sledge	1954.0000 15.0000 -19.0000	0.000 315.000 0.000
weapon_zm_sledge	1914.0000 28.0000 -22.0000	0.000 350.000 0.000
weapon_zm_sledge	1632.0000 422.0000 186.0000	0.000 304.500 0.000
weapon_zm_sledge	1628.0000 745.0000 163.0000	87.500 180.000 -180.000
weapon_zm_sledge	-714.0000 -5296.0000 35.0000	0.000 0.000 0.000
weapon_zm_mac10	2234.0000 -3414.0000 50.0000	0.000 81.500 0.000
weapon_zm_rifle	-1807.0000 -4445.0000 82.0000	0.000 0.000 0.000
