# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_67thway_v7_ktt
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1160.369995 1447.310059 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1174.469971 1447.119995 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1191.949951 1445.790039 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1208.069946 1446.000000 149.735001	0.000 0.000 0.000
weapon_ttt_smg	-1409.910278 1396.533447 93.636765	5.044 0.254 2.053
weapon_ttt_smg	-1450.796875 1394.408813 93.595245	5.056 0.341 3.068
weapon_ttt_smg	-1483.050171 1392.742310 93.675468	5.031 0.169 1.070
weapon_zm_pistol	-1010.409973 1209.000000 145.000000	0.000 0.000 89.000
weapon_zm_pistol	-1408.000000 6129.000000 260.022003	0.000 0.000 0.000
weapon_zm_pistol	-1419.160034 6129.000000 262.000000	0.000 0.000 0.000
weapon_zm_pistol	-913.914978 47.153599 106.723000	0.000 0.000 0.000
weapon_zm_pistol	-1036.290039 -307.898010 106.723000	0.000 0.000 0.000
weapon_ttt_pump_shotgun	-1118.617065 1698.418457 89.502975	-0.516 -10.201 -89.700
weapon_ttt_pump_shotgun	-1120.232788 1717.129761 89.502861	-0.519 -10.196 -89.889
weapon_ttt_pump_shotgun	-1120.673218 1734.922485 89.502823	-0.520 -10.197 -89.951
weapon_ttt_pump_shotgun	-1119.653442 1755.689697 89.502922	-0.517 -10.196 -89.786
weapon_ttt_pump_shotgun	-1119.325195 1777.228027 89.502930	-0.517 -10.196 -89.775
weapon_ttt_pump_shotgun	-1118.384766 1801.440796 89.502968	-0.516 -10.195 -89.705
weapon_ttt_pump_shotgun	-486.598816 494.068634 -446.505310	-0.462 -9.737 -89.504
weapon_ttt_pump_shotgun	-442.226898 495.186829 -446.511414	-0.427 -9.746 -89.573
ttt_random_weapon	-888.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-904.000000 -896.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-936.000000 -888.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-944.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	936.739990 1345.250000 122.373001	0.000 0.000 0.000
ttt_random_weapon	943.059021 1280.290039 122.373001	0.000 0.000 0.000
ttt_random_weapon	1315.640015 1110.859985 122.373001	0.000 89.000 0.000
ttt_random_weapon	-2223.379883 6214.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2225.500000 6123.410156 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2229.830078 6026.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-394.263000 2505.919922 90.372902	0.000 0.000 0.000
ttt_random_weapon	-388.950012 2430.820068 90.372902	0.000 0.000 0.000
ttt_random_weapon	-384.165985 2473.949951 90.372902	0.000 0.000 0.000
ttt_random_weapon	-1006.349976 5912.069824 74.372902	0.000 0.000 0.000
ttt_random_weapon	-999.372986 5861.589844 74.372902	0.000 0.000 0.000
ttt_random_weapon	-990.560974 5798.390137 74.372902	0.000 0.000 0.000
ttt_random_weapon	-991.924988 5755.830078 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.459961 5760.060059 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.869995 5826.359863 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1701.229980 5882.240234 74.372902	0.000 0.000 0.000
ttt_random_weapon	-2233.379883 5734.160156 58.372898	0.000 0.000 0.000
ttt_random_weapon	-2440.850098 5729.819824 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1846.880005 5184.459961 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1836.069946 5216.330078 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1216.810059 5223.000000 58.372898	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1425.510010 162.000000	0.000 94.000 0.000
ttt_random_weapon	-467.355988 -528.338989 -629.627014	0.000 0.000 0.000
item_ammo_357_ttt	-1034.560059 219.981003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1031.880005 207.647003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1119.180054 1306.640015 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1120.000000 1327.160034 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1099.130005 1309.079956 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1102.530029 1328.900024 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	1008.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	1024.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	-2890.659912 5948.129883 420.276001	0.000 0.000 0.000
item_ammo_357_ttt	1220.430054 308.882996 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1239.609985 307.816010 130.276001	0.000 0.000 0.000
