# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_airship_b1
# Exported by: Dяeam
setting:	replacespawns 1
weapon_zm_pistol	-85.0621 1291.2699 112.2661	-0.157 36.020 87.907
weapon_zm_pistol	109.4387 1312.6075 112.2882	-0.127 36.013 88.278
weapon_zm_pistol	-96.9049 1162.5922 123.6643	-0.671 -37.842 -93.915
weapon_zm_pistol	-53.1621 1134.6086 123.5099	-0.770 -37.757 -90.845
weapon_zm_pistol	-100.2263 1126.4545 123.5078	-0.481 -37.474 -89.990
weapon_zm_pistol	-169.7464 -866.4874 512.3307	-0.069 35.971 88.990
weapon_zm_pistol	-172.5177 -848.3323 512.3026	-0.107 36.003 88.518
weapon_zm_pistol	-167.4586 -853.0565 513.3896	-0.520 -37.954 -88.697
weapon_zm_pistol	-187.7360 -859.0505 512.3358	-0.062 35.966 89.076
weapon_zm_pistol	465.1320 260.5125 -303.7090	-0.123 36.013 88.324
weapon_zm_pistol	458.4151 258.0703 -302.5273	0.284 -41.275 -87.684
weapon_zm_pistol	491.5658 244.8529 -303.7912	-0.683 36.507 88.204
weapon_zm_pistol	480.1640 239.7859 -303.7050	-0.118 36.008 88.392
weapon_zm_pistol	486.9154 263.6340 -303.7305	-0.152 36.021 87.965
weapon_zm_pistol	-118.2230 -319.5528 -619.6962	-0.139 36.472 89.632
weapon_zm_pistol	-425.7851 -189.4152 -421.6743	0.291 36.255 89.864
weapon_zm_pistol	-405.4438 -290.1122 -421.6705	0.063 35.554 90.395
item_ammo_pistol_ttt	5.4696 1454.5265 112.4478	-0.044 -0.020 -0.013
item_ammo_pistol_ttt	-22.0428 1446.1183 112.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	26.7604 1451.8304 112.4083	-0.079 -0.020 -0.024
item_ammo_pistol_ttt	8.3539 1195.8679 112.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	20.5157 1192.7271 112.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	52.0236 1197.7043 112.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-90.3656 1298.2026 112.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	-96.5395 1276.4032 112.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-77.2048 1274.1667 112.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	89.9696 1331.6567 112.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	120.4668 1327.1957 112.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	96.7193 1294.8026 112.4055	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	-75.3752 1161.9667 122.4468	0.477 -1.613 0.014
item_ammo_pistol_ttt	-85.7847 1163.2386 123.5779	23.857 0.866 -0.009
item_ammo_pistol_ttt	-94.8230 1166.8942 123.4287	0.133 0.160 -6.736
item_ammo_pistol_ttt	-55.4724 1136.5521 122.3808	0.075 -0.006 0.004
item_ammo_pistol_ttt	-27.6748 1143.6125 122.3814	0.089 0.021 -0.027
item_ammo_pistol_ttt	-44.5557 1117.7668 122.3239	0.137 0.019 -0.039
item_ammo_pistol_ttt	-80.0484 1129.0116 122.3784	0.090 0.020 -0.026
item_ammo_pistol_ttt	-101.4488 1133.1084 123.2422	-17.196 -0.320 0.094
item_ammo_pistol_ttt	-94.5691 1112.5942 122.3686	0.098 0.020 -0.028
item_ammo_pistol_ttt	192.7091 -427.9883 512.3502	-0.115 0.050 -0.131
item_ammo_pistol_ttt	170.0640 -426.8054 512.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	190.0309 -373.2932 512.3701	-0.365 0.048 -0.005
item_ammo_pistol_ttt	-183.6439 -873.6217 512.3499	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-186.9705 -822.9778 512.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-209.8855 -847.4548 512.4244	-0.065 -0.020 -0.020
item_ammo_pistol_ttt	-210.7570 -873.7109 512.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-199.7252 -841.3140 512.4421	-0.049 -0.020 -0.015
item_ammo_pistol_ttt	-218.6423 -820.6380 512.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-240.0175 -1018.5383 -95.5733	-0.063 -0.020 -0.019
item_ammo_pistol_ttt	-231.3222 -1014.0416 -95.5623	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	-220.9950 -1014.5598 -95.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	171.0046 -1009.5950 -95.5962	-0.192 -0.212 -0.036
