# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_chopshop_final
# Exported by: [WzG] Unidentified Body
setting:	replacespawns 1
weapon_zm_pistol	-2063.1265 -263.6917 313.2954	0.021 35.109 88.066
weapon_zm_pistol	-515.5885 1638.3008 64.3223	-0.080 35.982 88.850
weapon_zm_pistol	-384.6575 1134.6289 104.4335	-0.516 32.826 90.805
item_ammo_pistol_ttt	-1292.9534 1151.6740 64.3920	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	-1301.4979 1149.5281 64.3708	-0.112 -0.020 -0.034
item_ammo_pistol_ttt	-2171.4421 1020.6429 64.3708	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	-2165.4299 1018.6943 64.4221	-0.461 0.010 -0.278
item_ammo_pistol_ttt	-2064.5706 -206.1250 313.4877	0.039 3.539 -0.061
item_ammo_pistol_ttt	-2072.0208 -206.4133 313.4409	1.163 9.562 0.000
item_ammo_pistol_ttt	345.8381 1076.8743 65.7091	0.197 0.524 8.019
item_ammo_pistol_ttt	331.1940 1076.4469 67.3510	-89.193 179.360 179.084
item_ammo_pistol_ttt	284.6917 1009.4328 64.4055	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	294.5546 1010.7821 64.3688	-0.113 -0.019 -0.034
item_ammo_pistol_ttt	-1792.8557 1124.8889 64.4529	0.110 -1.071 0.261
item_ammo_pistol_ttt	-1799.4016 1123.6652 64.4950	0.427 -1.508 0.114
item_ammo_pistol_ttt	-511.2316 1626.6771 64.4795	0.686 -0.744 0.128
item_ammo_pistol_ttt	-505.1029 1625.8866 64.4606	0.309 -0.733 0.057
item_ammo_pistol_ttt	-379.7834 1174.2532 64.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-370.3969 1175.5914 64.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-617.6220 1094.0061 64.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-606.9776 1092.2760 64.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-1349.8311 600.5537 64.3256	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	-1335.9308 600.9149 64.4501	-0.042 -0.020 -0.013
weapon_zm_revolver	-1139.2385 1882.8331 65.8921	2.227 -18.932 -84.254
weapon_zm_revolver	-892.2736 341.8169 107.0976	2.365 -20.544 -84.857
weapon_zm_revolver	-395.4663 1746.1307 193.8772	2.477 -20.306 -82.947
ttt_random_weapon	-1218.2537 318.4676 65.2132	1.726 4.926 -92.938
ttt_random_weapon	-2085.5332 798.7128 65.2415	1.401 5.732 -93.698
ttt_random_weapon	17.6718 1313.1295 65.2190	1.661 4.923 -93.088
ttt_random_weapon	146.2155 616.9077 65.2307	1.529 4.914 -93.390
ttt_random_weapon	345.3704 976.7650 65.2480	1.332 5.480 -93.841
