# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_comancher_censored
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_smokegrenade	-2202.556885 -157.168625 36.602558	2.313 -0.126 -2.384
weapon_ttt_smokegrenade	-2244.732666 -156.897659 36.614532	1.957 -0.119 -2.013
weapon_ttt_smokegrenade	-1001.169250 211.168884 36.554310	3.639 -0.108 -3.767
weapon_ttt_smokegrenade	-1044.539673 211.288574 36.580528	2.953 -0.132 -3.054
weapon_ttt_smokegrenade	-1000.326965 655.084106 36.527718	0.728 0.010 -0.457
weapon_ttt_smokegrenade	-1044.717529 656.217834 36.616020	1.937 -0.121 -1.996
weapon_ttt_smokegrenade	-1000.086182 1064.332764 36.600212	2.386 -0.129 -2.461
weapon_ttt_smokegrenade	-1051.311890 1064.421875 36.597271	2.452 -0.126 -2.526
weapon_ttt_smokegrenade	-618.341797 1561.245483 36.521107	0.490 0.005 -0.182
weapon_ttt_smokegrenade	-618.976746 1507.569458 36.608482	2.148 -0.123 -2.213
weapon_ttt_smokegrenade	-316.940521 1562.164795 36.599232	2.428 -0.130 -2.507
weapon_ttt_smokegrenade	-318.510559 1507.674438 36.600121	2.384 -0.129 -2.459
weapon_ttt_smokegrenade	-1810.175415 1560.997437 36.601463	2.351 -0.127 -2.424
weapon_ttt_smokegrenade	-1811.528320 1508.571167 36.535984	1.680 0.008 -1.521
weapon_ttt_smokegrenade	-2319.047852 1564.615967 36.562801	3.434 -0.131 -3.556
weapon_ttt_smokegrenade	-2321.682861 1506.414673 36.558521	3.533 -0.116 -3.657
weapon_ttt_smokegrenade	-2755.650879 1565.555908 36.514004	0.355 0.002 -0.019
weapon_ttt_smokegrenade	-2753.911133 1509.766357 36.641228	1.163 -0.109 -1.191
weapon_ttt_smokegrenade	-3251.308350 1565.489258 36.556469	3.586 -0.099 -3.712
weapon_ttt_smokegrenade	-3250.702881 1507.419800 36.606262	2.214 -0.126 -2.282
weapon_ttt_smokegrenade	-3738.205078 1558.576782 36.554379	3.640 -0.108 -3.769
weapon_ttt_smokegrenade	-3740.858398 1502.672607 36.607239	2.178 -0.124 -2.243
weapon_ttt_revolver	-591.517334 569.081726 8.970609	1.992 -20.568 -85.810
weapon_ttt_smg	-956.760681 999.117859 0.057886	6.179 7.655 90.595
weapon_ttt_smg	-952.973633 1022.950439 -0.237978	6.179 7.664 90.596
weapon_ttt_smg	-2993.959717 1123.310547 557.640686	5.043 0.246 1.956
weapon_ttt_smg	-2959.391602 1122.865479 557.674744	5.031 0.171 1.089
weapon_zm_pistol	-397.467712 2332.697266 48.332417	0.287 34.607 88.643
weapon_zm_pistol	-2206.750977 1180.609375 8.297678	0.016 35.151 88.124
weapon_zm_pistol	-2179.001465 2691.235107 376.339630	-0.332 23.783 91.035
weapon_zm_pistol	-1316.767090 750.312622 184.337372	-0.386 48.274 91.045
weapon_zm_pistol	-1442.511230 422.836670 8.281854	-0.038 23.381 88.359
weapon_zm_pistol	-3045.017822 2659.020996 9.489210	-0.341 -30.405 -90.697
