# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_island17
# Exported by: General Butthurt
setting:	replacespawns 1
weapon_ttt_smokegrenade	-660.427673 -1372.991089 -331.156586	19.204 -92.528 -90.583
weapon_ttt_smokegrenade	-665.666687 -1360.719238 -331.277496	18.197 39.792 -89.012
weapon_ttt_smokegrenade	-666.070313 -1362.994385 -330.764648	-23.591 33.496 87.450
weapon_ttt_smokegrenade	-659.261597 -1360.756958 -331.336548	17.226 43.563 -89.904
weapon_ttt_smokegrenade	-1006.153748 856.672546 72.630936	28.985 -2.453 -16.660
weapon_ttt_smokegrenade	-1007.024841 852.633301 73.790916	-46.776 41.715 -86.614
weapon_ttt_smokegrenade	-1006.702148 849.972900 74.263878	-7.150 27.420 90.290
weapon_ttt_smokegrenade	-1011.882629 852.125061 73.888557	-31.641 53.388 -90.396
weapon_ttt_magnum	51.644695 -903.598755 -508.691986	17.391 23.913 79.084
weapon_zm_pistol	-1278.512329 717.643982 -481.342468	0.761 -19.435 -88.267
weapon_zm_pistol	-2558.254639 -1183.219482 -457.152283	4.050 -28.834 -79.211
weapon_ttt_pump_shotgun	-2032.145142 239.233185 -318.537109	-0.261 -10.964 -88.956
weapon_ttt_pump_shotgun	-2032.343872 253.744995 -318.430634	-0.581 -7.164 -91.181
weapon_ttt_pump_shotgun	-1247.855469 939.480042 193.646210	-1.404 -6.860 -91.034
weapon_ttt_pump_shotgun	-1242.290405 954.928650 193.502853	-0.519 -10.196 -89.896
weapon_ttt_pump_shotgun	-1458.364624 845.735046 -78.717842	0.201 -17.366 -87.685
weapon_ttt_pump_shotgun	-1459.161011 834.564209 -78.497070	-0.517 -10.195 -89.769
weapon_ttt_pump_shotgun	-1227.857178 -559.119446 -182.497208	-0.521 -10.197 -90.003
weapon_ttt_pump_shotgun	-1229.861572 -538.082581 -182.496338	-0.525 -10.205 -89.978
weapon_ttt_pump_shotgun	-0.678699 237.314362 33.479523	-0.504 -10.075 -89.218
weapon_ttt_pump_shotgun	1.294420 259.697510 33.502876	-0.519 -10.197 -89.868
item_ammo_357_ttt	275.812500 1789.732056 5.721414	61.537 -176.882 -170.487
item_ammo_357_ttt	294.064911 1777.947266 2.440648	63.663 -169.610 -172.225
item_ammo_357_ttt	-64.949783 1511.092407 86.647110	-4.538 -0.759 -3.493
item_ammo_357_ttt	878.248291 -115.173233 -273.150146	-5.187 -7.118 86.730
item_ammo_357_ttt	888.346924 -100.231392 -273.439148	-4.907 -2.766 86.412
item_ammo_357_ttt	-1256.737183 821.767151 72.376350	0.543 0.141 0.115
item_ammo_357_ttt	-61.406750 1522.424561 86.230179	-4.318 -0.190 -3.633
item_ammo_357_ttt	177.469101 130.526688 800.318665	0.592 -0.504 0.159
item_ammo_357_ttt	-57.638344 45.886814 928.468201	0.437 11.867 0.022
item_ammo_357_ttt	-50.626148 45.628525 928.457947	0.308 -1.300 -0.027
item_ammo_357_ttt	-44.222321 50.827133 928.470459	1.772 0.136 -0.919
item_ammo_357_ttt	-1480.492676 -795.877441 -183.614639	0.461 0.057 0.033
item_ammo_357_ttt	-1490.529785 -795.793030 -183.573135	1.170 -0.285 -1.102
item_ammo_357_ttt	-1481.892334 -785.277405 -183.533997	1.239 -0.540 -0.602
item_ammo_357_ttt	-1493.128296 -784.862061 -183.561295	2.074 -0.292 -0.604
item_ammo_357_ttt	-1260.214844 839.115601 72.342567	0.453 0.064 0.050
item_ammo_357_ttt	-1244.751587 821.458923 72.386627	0.462 0.057 0.033
item_ammo_357_ttt	-1245.301880 838.905029 72.312477	0.447 0.075 0.062
item_ammo_357_ttt	283.187836 1439.338989 341.487091	10.158 0.266 -3.003
item_ammo_357_ttt	275.319214 1438.396973 342.009064	-18.437 1.892 -7.422
item_ammo_357_ttt	265.929749 1436.682373 339.225372	-17.945 2.968 -7.660
item_ammo_357_ttt	-2415.136719 -1295.219604 -473.484070	-4.614 -0.080 3.876
item_ammo_357_ttt	-2422.842773 -1299.226196 -474.380554	-4.566 -0.076 3.889
item_ammo_357_ttt	-2431.862549 -1302.913452 -475.296753	-4.135 0.174 4.903
item_ammo_smg1_ttt	-1293.915039 716.936951 -481.219055	1.546 0.280 0.014
item_ammo_smg1_ttt	-1294.791992 741.145752 -481.258698	2.320 0.181 -4.083
item_ammo_smg1_ttt	-2544.389648 -1200.596558 -460.215118	-1.100 0.832 9.688
item_ammo_smg1_ttt	-2528.822998 -1214.175537 -462.293243	-1.076 0.750 9.675
item_ammo_smg1_ttt	-2109.278320 238.033783 -319.610962	0.098 -0.005 0.053
