# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_juveniledetention_v1
# Exported by: Dяeam
setting:	replacespawns 1
item_ammo_pistol_ttt	771.2660 147.1301 64.3836	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	765.9644 108.1203 64.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	778.1769 103.2336 64.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	-137.1626 210.4616 66.4749	-5.239 0.365 11.567
item_ammo_pistol_ttt	-147.1864 207.4332 64.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	-160.2877 210.7966 64.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-316.9961 1077.4181 64.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-340.5696 1054.0977 64.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-338.2707 1027.0206 64.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-693.4633 -1167.5710 75.3730	-9.235 0.949 16.623
item_ammo_pistol_ttt	-674.8127 -1162.9479 73.9548	6.358 0.533 -8.446
item_ammo_pistol_ttt	-687.0853 -1140.5076 72.3411	0.115 0.043 -0.001
item_ammo_pistol_ttt	-1318.3861 -693.3798 244.0115	0.381 0.068 -15.274
item_ammo_pistol_ttt	-1326.4277 -678.8465 241.3910	-1.069 -0.335 -6.229
item_ammo_pistol_ttt	-1341.1903 -692.2095 240.4298	-0.060 -0.020 -0.018
item_ammo_pistol_ttt	-1237.9033 -513.4389 392.4584	-0.379 0.125 -0.381
item_ammo_pistol_ttt	-1205.1508 -514.6351 356.4473	-0.313 0.143 -0.435
item_ammo_pistol_ttt	-1219.2263 -514.6045 356.4414	-0.434 0.318 -0.513
item_ammo_pistol_ttt	-1955.0206 -40.3268 356.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-1949.0229 -26.3759 356.3857	-0.211 0.059 -0.311
item_ammo_pistol_ttt	-1931.4229 -33.5936 357.5931	0.294 -0.593 -7.673
item_ammo_pistol_ttt	-1121.0610 -41.4729 -462.5319	-0.178 0.698 6.596
item_ammo_pistol_ttt	-1108.5260 -40.0728 -462.5640	-0.378 -0.257 6.740
item_ammo_pistol_ttt	-1087.7762 -43.1674 -463.5854	0.244 0.176 -0.319
item_ammo_pistol_ttt	-363.6565 677.6790 -502.0634	-87.968 -65.556 -26.847
item_ammo_pistol_ttt	-364.2642 643.9456 -501.9229	-87.029 144.971 -145.109
item_ammo_pistol_ttt	-1378.8621 -175.2222 -463.6591	0.029 0.030 0.006
item_ammo_pistol_ttt	-1397.3540 -180.8152 -463.6821	0.033 0.027 0.007
item_ammo_pistol_ttt	-1415.7952 -186.4884 -463.6105	0.144 -0.039 0.013
item_ammo_pistol_ttt	-1289.8235 -344.9309 32.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-1290.1091 -317.2274 32.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-1308.5023 -319.9248 33.5384	3.321 0.114 -6.353
weapon_zm_revolver	-109.7293 -120.1760 225.9014	2.455 -20.349 -83.490
weapon_zm_revolver	-1001.0997 182.1574 225.9589	2.544 -19.180 -84.787
weapon_zm_revolver	-987.6931 817.6331 -461.9668	3.306 -18.769 -85.150
weapon_zm_revolver	-1789.4609 -437.4789 33.9272	2.449 -19.226 -84.040
item_ammo_smg1_ttt	-158.0214 -98.8322 61.5708	-10.887 0.886 -0.106
item_ammo_smg1_ttt	-155.0975 -76.4687 69.6046	-0.017 -6.932 -87.300
item_ammo_smg1_ttt	-158.8106 -482.1693 62.0995	0.107 -0.344 11.304
item_ammo_smg1_ttt	-153.8881 -514.8641 60.3943	0.122 -0.005 0.070
item_ammo_smg1_ttt	-1950.7866 -818.8947 252.3753	-0.260 0.181 -0.148
item_ammo_smg1_ttt	-1952.4653 -754.5894 259.4748	0.878 -0.004 0.571
item_ammo_smg1_ttt	-1957.9525 -79.5195 356.5129	0.675 0.426 -0.105
item_ammo_smg1_ttt	-1957.1274 -101.8988 356.5195	0.232 -0.015 -0.202
item_ammo_smg1_ttt	-278.3721 716.5311 -500.2301	-78.240 -176.693 -179.517
item_ammo_smg1_ttt	-1157.4070 -920.5479 32.4066	0.212 -0.005 0.131
item_ammo_smg1_ttt	-1153.3812 -896.7424 32.4761	0.558 -0.014 0.248
item_ammo_smg1_ttt	-1847.7743 -899.7560 32.4306	-0.753 0.002 0.493
item_ammo_smg1_ttt	-1841.9596 -924.0492 32.4757	-0.560 0.069 0.257
weapon_zm_shotgun	-995.4545 -501.0072 62.4069	9.455 0.230 0.764
weapon_zm_shotgun	-1603.7352 -38.2348 249.5187	-0.441 -9.608 -84.517
weapon_zm_shotgun	-1380.3550 93.5712 213.2593	-0.768 -8.969 -92.669
weapon_zm_shotgun	-1323.9403 -841.3535 241.2741	-0.344 8.302 84.110
weapon_zm_shotgun	-104.6262 -38.8392 -462.9638	-0.797 -9.331 -87.916
weapon_zm_shotgun	-1378.9901 -711.6100 -462.9953	-0.344 -8.765 -83.768
weapon_ttt_m16	758.4147 130.9823 65.1721	2.178 -8.225 84.397
weapon_ttt_m16	-133.1572 221.1969 65.1465	1.985 -8.214 84.359
weapon_ttt_m16	-317.9258 1042.6449 65.1769	2.230 -8.225 84.436
weapon_ttt_m16	-694.9211 -1159.9065 73.2008	2.175 -8.633 85.188
weapon_ttt_m16	-1319.6824 -689.4991 240.8694	-0.701 -7.592 82.785
weapon_ttt_m16	-1924.6761 -43.1450 356.8970	-0.466 -7.387 82.280
weapon_ttt_m16	-1116.4794 -32.4230 -462.4937	0.163 8.987 -89.547
weapon_ttt_m16	-1383.6323 -195.1105 -462.8112	1.943 -5.876 85.085
weapon_ttt_m16	-1321.4652 -330.1512 33.1616	2.078 6.701 85.453
weapon_zm_molotov	-211.5929 -727.6140 132.6598	-3.150 -0.083 3.300
weapon_zm_molotov	-202.4447 -727.5265 132.6725	-1.488 -1.419 1.643
weapon_zm_molotov	-206.6405 -734.6237 132.6121	1.943 -0.116 -1.976
weapon_zm_molotov	-1367.8878 -738.2943 -227.4876	0.414 0.003 -0.039
weapon_zm_molotov	-1366.6049 -726.5074 -227.4901	0.380 0.002 0.004
weapon_zm_molotov	-1368.3005 -715.2288 -227.3544	2.224 -0.741 -0.830
weapon_zm_molotov	-1373.3813 -725.4993 -227.4739	0.872 0.011 -0.574
weapon_zm_molotov	-1843.1385 -464.4911 36.5211	0.486 0.005 -0.178
weapon_zm_molotov	-1835.4395 -449.5716 36.5666	3.332 -0.130 -3.450
weapon_zm_molotov	-1854.3849 -454.2838 36.6030	2.321 -0.126 -2.396
item_box_buckshot_ttt	-997.0491 -480.0605 60.3913	-0.979 0.004 0.867
item_box_buckshot_ttt	-983.8007 -477.6162 60.3858	-1.200 -0.014 1.053
item_box_buckshot_ttt	-1008.4119 -485.2440 60.4020	-0.860 -0.011 0.764
item_box_buckshot_ttt	-1604.2927 -45.4910 248.9845	-0.467 -0.046 0.382
item_box_buckshot_ttt	-1598.7169 -54.6293 249.6343	-11.310 2.543 0.054
item_box_buckshot_ttt	-1399.0060 112.2514 212.4283	-0.655 -0.006 0.582
item_box_buckshot_ttt	-1380.4928 115.7735 212.4073	-0.813 -0.005 0.725
item_box_buckshot_ttt	-1359.8057 109.2084 212.3849	-1.001 -0.010 0.895
item_box_buckshot_ttt	-1312.6150 -868.6392 240.3848	-0.999 -0.010 0.896
item_box_buckshot_ttt	-1326.5221 -853.4869 240.4311	-0.642 -0.007 0.570
item_box_buckshot_ttt	-1331.5243 -830.9822 240.4574	-0.434 -0.006 0.385
item_box_buckshot_ttt	-238.5444 672.1075 -502.6011	-86.716 150.891 161.093
item_box_buckshot_ttt	-305.2742 699.1920 -502.0603	83.911 104.625 -4.219
item_box_buckshot_ttt	-87.4969 -25.5835 -463.6288	-0.064 0.133 0.362
item_box_buckshot_ttt	-64.3161 -30.2300 -463.7373	0.675 0.493 -1.344
item_box_buckshot_ttt	-96.1685 -49.7009 -463.6457	0.012 0.037 -0.018
