# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_temple_v2
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_dual_elites	2198.578857 1375.645752 -1402.030151	1.924 0.152 -0.056
weapon_ttt_dual_elites	2196.028076 1427.633423 -1402.047974	1.942 0.156 -0.051
weapon_ttt_smokegrenade	242.813004 468.811005 -1371.270020	0.000 316.500 0.000
weapon_ttt_smokegrenade	233.679001 466.450012 -1371.270020	0.000 17.500 112.000
weapon_ttt_smokegrenade	227.669006 452.852997 -1369.270020	0.000 263.000 -79.500
weapon_ttt_smokegrenade	2536.739990 -279.931000 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2532.800049 -295.188995 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2530.229980 -284.473999 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1490.739990 2264.800049 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1469.000000 2272.070068 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1483.239990 2270.389893 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	3019.080078 -438.812012 -1396.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	383.203003 254.298004 -1406.469971	0.000 0.000 0.000
weapon_ttt_smokegrenade	3997.100098 41.000000 -1380.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-420.056000 -2718.979980 -1384.719971	0.000 270.000 0.000
weapon_ttt_smokegrenade	-359.000000 -2706.100098 -1380.000000	0.000 270.000 0.000
weapon_ttt_mp5	119.788696 -524.839539 -1408.896973	0.248 7.165 -87.499
weapon_ttt_mp5	188.947113 -542.809204 -1408.582886	-8.965 -0.182 45.308
weapon_ttt_mp5	719.643555 -708.449280 -1628.886597	0.295 5.447 -88.006
weapon_ttt_mp5	1436.068237 1464.214722 -1418.903687	0.208 6.179 -87.152
weapon_ttt_mp5	1380.870361 1467.357178 -1418.903687	0.208 6.194 -87.152
weapon_ttt_mp5	1289.991211 2307.005371 -1418.903687	0.208 6.193 -87.152
weapon_ttt_mp5	1338.779419 2299.285156 -1418.903687	0.208 6.168 -87.152
weapon_ttt_mp5	-328.901978 1602.870483 -1402.543579	-7.396 0.828 -1.821
weapon_ttt_mp5	-292.958069 1589.449829 -1402.543579	-7.396 0.827 -1.821
weapon_ttt_mp5	1594.311768 -923.836426 -1402.484253	-7.577 2.474 -10.908
weapon_ttt_mp5	1594.470093 -890.269165 -1402.517822	-7.523 0.805 -1.556
weapon_ttt_mp5	1595.268066 -855.713135 -1402.548218	-7.372 0.741 -1.870
weapon_ttt_mp5	903.190125 -2664.094727 -1418.903687	0.208 6.193 -87.152
weapon_ttt_mp5	905.683228 -2700.986084 -1418.908325	0.372 0.538 -87.354
weapon_ttt_mp5	-44.975040 -2747.343018 -1402.564697	-7.290 0.919 -2.040
weapon_ttt_mp5	183.247040 -251.122589 -1415.952148	-4.128 4.734 -87.039
weapon_ttt_mp5	183.016342 -287.319427 -1414.326904	-4.649 2.862 -93.193
weapon_ttt_mp5	181.370407 -319.094208 -1415.527222	-4.290 -1.202 81.661
item_ammo_revolver_ttt	87.195602 -947.835999 -1401.410034	0.000 122.000 0.000
item_ammo_revolver_ttt	73.195602 -957.835999 -1401.410034	0.000 160.500 0.000
item_ammo_revolver_ttt	88.195602 -958.835999 -1401.410034	0.000 89.500 0.000
item_ammo_revolver_ttt	59.000000 -967.000000 -1402.000000	0.000 151.500 0.000
item_ammo_revolver_ttt	427.908997 259.834015 -1369.719971	0.000 306.000 0.000
item_ammo_revolver_ttt	433.809998 251.544998 -1369.439941	0.000 306.000 0.000
item_ammo_revolver_ttt	668.070007 -3096.909912 -1410.719971	0.000 235.500 0.000
item_ammo_revolver_ttt	677.000000 -3086.000000 -1411.000000	0.000 343.500 0.000
item_ammo_revolver_ttt	329.809998 221.834000 -1415.410034	0.000 282.000 0.000
item_ammo_revolver_ttt	349.809998 223.834000 -1416.010010	0.000 308.000 0.000
