# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraft_b5
# Exported by: General Butthurt
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1840.000000 496.000000 1000.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-880.000000 -208.000000 320.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-880.000000 -304.000000 320.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-816.000000 -336.000000 320.000000	0.000 0.000 0.000
weapon_ttt_revolver	597.548706 366.798340 352.970856	2.222 -19.093 -85.409
weapon_ttt_revolver	628.564270 360.021515 352.970703	2.091 -19.110 -85.637
weapon_ttt_revolver	-562.339905 374.056824 0.970439	1.848 -19.164 -86.059
weapon_ttt_revolver	-534.521423 412.373627 0.624639	26.987 -5.617 -25.276
weapon_ttt_smg	-973.200317 -1129.121826 -122.371918	5.062 0.193 0.396
weapon_ttt_smg	-945.662659 -1134.472900 -122.314491	5.031 0.175 0.058
weapon_zm_pistol	-2224.000000 592.000000 264.000000	0.000 0.000 0.000
weapon_zm_pistol	-880.000000 -528.000000 40.000000	0.000 0.000 0.000
weapon_zm_pistol	-1872.000000 464.000000 1000.000000	0.000 0.000 0.000
weapon_zm_pistol	-1904.000000 464.000000 1000.000000	0.000 0.000 0.000
weapon_zm_pistol	272.000000 240.000000 360.000000	0.000 0.000 0.000
weapon_zm_pistol	304.000000 -16.000000 392.000000	0.000 0.000 0.000
weapon_zm_pistol	-368.000000 -560.000000 -1176.000000	0.000 0.000 0.000
weapon_zm_pistol	-400.000000 -592.000000 -1176.000000	0.000 0.000 0.000
weapon_zm_pistol	-336.000000 -624.000000 -1176.000000	0.000 0.000 0.000
weapon_ttt_pump_shotgun	635.845154 -613.027832 705.502808	-0.520 -10.197 -89.927
weapon_ttt_pump_shotgun	572.823792 -606.054138 705.502869	-0.519 -10.196 -89.861
weapon_ttt_pump_shotgun	537.567261 -724.449768 513.500610	-0.500 -10.280 -89.591
weapon_ttt_pump_shotgun	-1834.300293 496.242279 385.502930	-0.518 -10.195 -89.797
weapon_ttt_pump_shotgun	-1894.703613 506.527527 385.503082	-0.513 -10.188 -89.502
weapon_ttt_pump_shotgun	-616.790771 716.192322 1.506109	-0.535 -10.418 -89.696
weapon_ttt_pump_shotgun	-616.206299 749.928772 1.497254	-0.484 -10.289 -89.835
ttt_random_weapon	-224.000000 256.000000 33.000000	0.000 0.000 0.000
ttt_random_weapon	-192.000000 256.000000 33.000000	0.000 0.000 0.000
ttt_random_weapon	-1200.000000 -592.000000 -1104.000000	0.000 0.000 0.000
ttt_random_weapon	-704.000000 -448.000000 -112.000000	0.000 0.000 0.000
ttt_random_weapon	-704.000000 -416.000000 -112.000000	0.000 0.000 0.000
ttt_random_weapon	144.000000 -560.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	16.000000 -560.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	80.000000 -528.000000 329.372986	0.000 0.000 0.000
ttt_random_weapon	-1328.000000 64.000000 224.000000	0.000 0.000 0.000
ttt_random_weapon	-240.000000 -816.000000 464.000000	0.000 0.000 0.000
ttt_random_weapon	-240.000000 -880.000000 464.000000	0.000 0.000 0.000
ttt_random_weapon	912.000000 112.000000 -48.000000	0.000 0.000 0.000
ttt_random_weapon	942.218994 464.312012 9.372910	0.000 0.000 0.000
ttt_random_weapon	912.000000 -112.000000 -48.000000	0.000 0.000 0.000
ttt_random_weapon	720.000000 -48.000000 -80.000000	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1232.000000 -80.000000	0.000 0.000 0.000
ttt_random_weapon	-2224.000000 976.000000 -86.627098	0.000 0.000 0.000
ttt_random_weapon	-2448.000000 752.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-2384.000000 336.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-2192.000000 144.000000 -80.000000	0.000 0.000 0.000
item_ammo_357_ttt	-784.000000 -304.000000 168.000000	0.000 0.000 0.000
item_ammo_357_ttt	-784.000000 -336.000000 168.000000	0.000 0.000 0.000
item_ammo_357_ttt	-880.000000 -880.000000 -24.000000	0.000 0.000 0.000
item_ammo_357_ttt	-912.000000 -880.000000 -24.000000	0.000 0.000 0.000
item_ammo_357_ttt	-336.000000 -400.000000 424.000000	0.000 0.000 0.000
item_ammo_357_ttt	-304.000000 -400.000000 424.000000	0.000 0.000 0.000
item_ammo_357_ttt	-1808.000000 592.000000 552.000000	0.000 0.000 0.000
