# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_onesmallshamble_b3
# Exported by: C.Mong
setting:	replacespawns 0
weapon_zm_pistol	3933.1902 12671.2295 1.4915	-1.258 100.943 -91.500
weapon_zm_pistol	3921.7256 12733.1641 1.4183	-0.685 -16.980 -89.537
weapon_zm_pistol	3903.1990 12782.7129 1.5006	-0.264 -173.521 -91.632
weapon_zm_pistol	3913.2219 12776.5156 0.3567	-0.273 -43.276 90.445
weapon_zm_pistol	3370.7317 7452.3750 1.3966	-0.526 -25.433 -88.382
weapon_zm_pistol	3226.9817 8583.3330 -143.6571	0.792 36.684 88.531
weapon_zm_pistol	6108.1826 9018.0029 0.3440	0.263 36.860 88.896
weapon_zm_pistol	6114.3115 9148.0205 0.3248	0.396 36.883 88.416
weapon_zm_pistol	6124.3169 9080.6563 0.3434	0.267 36.866 88.881
weapon_zm_pistol	3636.8118 12135.3740 -59.6532	0.712 36.687 88.664
weapon_zm_pistol	2875.4751 11428.8398 40.3556	0.534 36.674 88.960
weapon_zm_pistol	2556.4031 10969.1982 0.3468	0.712 36.687 88.664
weapon_zm_pistol	6236.8062 10179.6406 34.4056	0.005 36.250 89.832
weapon_zm_pistol	1714.3165 11386.3145 321.3657	0.329 36.633 89.300
item_ammo_pistol_ttt	3840.1580 12691.0332 3.3461	89.192 61.364 178.801
item_ammo_pistol_ttt	3784.0376 12697.3926 3.3491	89.423 136.247 -180.000
item_ammo_pistol_ttt	3809.6689 12685.6299 0.6509	3.604 71.701 -0.175
item_ammo_pistol_ttt	3795.9451 12684.1367 12.7339	40.038 73.086 129.302
item_ammo_pistol_ttt	3790.1191 12741.3799 3.3620	89.282 -73.086 173.276
item_ammo_pistol_ttt	3793.4697 12775.4443 3.3600	-89.015 166.727 -175.793
item_ammo_pistol_ttt	3831.4644 12753.9912 3.3475	-89.418 101.409 -178.333
item_ammo_pistol_ttt	3809.5029 12703.8779 3.3138	89.372 -59.229 158.562
item_ammo_pistol_ttt	3789.3159 12798.6416 3.2776	89.794 -126.001 -179.996
item_ammo_pistol_ttt	3841.1230 12696.2529 3.3491	-89.423 85.748 179.999
item_ammo_pistol_ttt	3816.2668 12730.5869 3.3558	-89.310 166.278 172.711
item_ammo_pistol_ttt	4428.9443 11275.4277 -8.0175	0.384 -0.095 -0.080
item_ammo_pistol_ttt	4386.3291 11317.4180 -8.0243	0.390 0.043 -0.022
item_ammo_pistol_ttt	3346.7603 7449.3975 0.3670	0.026 0.031 0.004
item_ammo_pistol_ttt	3359.3008 7471.0229 0.3670	0.026 0.031 0.004
item_ammo_pistol_ttt	3334.1404 7466.2764 0.3455	0.030 0.030 0.004
item_ammo_pistol_ttt	3246.0967 8539.3037 -143.5027	0.539 7.015 -0.166
item_ammo_pistol_ttt	3225.3218 8552.5254 -143.5180	-1.335 -14.759 0.324
item_ammo_pistol_ttt	3252.6829 8572.9131 -143.5301	-0.949 0.185 -0.444
item_ammo_pistol_ttt	3236.7908 8425.2041 -143.5300	-0.891 0.515 -0.475
item_ammo_pistol_ttt	3217.0024 8425.1982 -143.5587	-0.444 0.544 -0.517
item_ammo_pistol_ttt	3520.5793 9986.6133 -0.0088	-0.053 0.056 -0.007
item_ammo_pistol_ttt	3530.7256 9984.5078 -0.0223	-0.014 -0.005 -0.005
item_ammo_pistol_ttt	4663.1953 10390.9980 0.4792	0.835 0.065 0.144
item_ammo_pistol_ttt	4694.2700 10391.6006 3.2551	89.209 165.946 165.798
item_ammo_pistol_ttt	4635.6284 10468.8555 0.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	5498.5649 9333.1914 0.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	5497.7837 9373.4111 0.3870	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	5477.5820 9339.4336 0.3688	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	5482.6040 9364.4189 0.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	6236.5459 9163.8457 0.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	6261.4072 9157.6094 0.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	6292.0947 9166.3594 0.4514	-0.337 0.239 -0.409
item_ammo_pistol_ttt	3868.4463 9743.2920 -31.6217	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	3889.2947 9746.4424 -31.6049	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	3911.2866 9743.5088 -31.5614	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	3627.7185 12127.3672 -95.6016	0.931 1.415 0.038
item_ammo_pistol_ttt	3611.9990 12148.3994 -95.5681	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	3587.4421 12145.2041 -95.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	3601.0129 12130.8213 -95.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	2894.9719 10740.4707 0.3727	-0.110 -0.020 -0.033
item_ammo_pistol_ttt	2881.0208 10742.4707 0.4286	-0.359 0.049 -0.098
item_ammo_pistol_ttt	2862.3423 10742.4482 0.3902	0.988 0.047 -0.032
item_ammo_pistol_ttt	2565.3931 10987.3779 0.4210	-0.068 -0.020 -0.021
item_ammo_pistol_ttt	2546.6897 10993.3516 0.4136	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	2540.3967 10964.1172 0.3952	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	6244.5317 10156.2070 0.4545	0.902 2.235 0.005
item_ammo_pistol_ttt	6223.3169 10173.7275 0.3936	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	6238.6235 10154.8242 3.2342	-89.975 -176.521 180.000
item_ammo_pistol_ttt	1692.1656 12077.9443 305.3764	-0.107 -0.020 -0.032
item_ammo_pistol_ttt	1734.1307 12091.9551 305.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1721.0061 12076.9014 305.4097	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	1707.5989 11369.0840 321.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	1703.6313 11392.1719 321.4529	-0.040 -0.020 -0.012
item_ammo_pistol_ttt	1743.2538 11389.4229 321.3282	-0.149 -0.018 -0.045
weapon_zm_revolver	3167.7849 12965.8037 17.9760	3.235 -12.591 -83.633
weapon_zm_revolver	3754.4907 11598.7852 2.0254	3.106 -8.388 -84.902
weapon_zm_revolver	2801.7148 9022.1260 1.9453	2.676 -20.138 -84.003
weapon_zm_revolver	2980.3694 7927.8110 1.9340	2.790 -20.089 -83.562
weapon_zm_revolver	5373.3589 10363.2520 1.9401	2.484 -17.809 -84.395
weapon_zm_revolver	1539.7306 10572.0410 1.4709	2.443 -20.104 -84.968
weapon_zm_revolver	6138.2617 10063.5830 33.9469	2.659 -20.145 -84.069
weapon_zm_revolver	2748.3755 10407.4658 27.9058	2.451 -19.950 -83.589
ttt_random_weapon	2305.1650 12605.6670 65.2395	1.428 -121.960 -93.620
ttt_random_weapon	2288.9587 12892.6855 65.2480	1.332 -111.628 -93.841
ttt_random_weapon	6674.2163 9095.8584 34.9864	1.362 6.156 -94.130
ttt_random_weapon	6693.4497 9110.7148 34.8671	1.596 169.254 -92.744
ttt_random_weapon	2955.6567 12774.7920 33.2189	1.662 4.697 -93.084
ttt_random_weapon	2968.6963 12803.1406 33.2202	1.648 4.695 -93.118
ttt_random_weapon	2968.2651 12742.6943 33.2141	1.716 4.703 -92.961
ttt_random_weapon	2815.8464 12782.0967 33.1937	1.672 5.655 -92.748
ttt_random_weapon	2815.8225 12829.9971 33.2203	1.567 6.744 -93.212
ttt_random_weapon	2815.8669 12903.3838 33.2261	1.568 6.419 -93.286
ttt_random_weapon	2940.3062 12925.9805 34.6611	-4.002 2.636 -13.209
ttt_random_weapon	3000.5493 12926.0117 68.6777	-4.008 2.910 -12.605
ttt_random_weapon	2853.2017 12921.5811 67.2148	0.921 5.533 -94.519
ttt_random_weapon	2836.8518 12793.2109 67.2469	1.295 -4.450 -94.115
ttt_random_weapon	3657.2385 11069.1436 1.2242	1.085 -3.356 -93.816
ttt_random_weapon	1044.1138 11695.7627 135.0419	-1.408 174.111 85.514
item_ammo_smg1_ttt	3857.9607 11601.9561 0.4607	0.418 0.041 0.282
item_ammo_smg1_ttt	3867.0811 11574.7119 0.9430	-5.012 -0.212 0.100
item_ammo_smg1_ttt	2654.3970 12902.2510 64.5444	0.002 83.451 0.130
item_ammo_smg1_ttt	2604.2078 12900.2275 64.5562	-0.104 -116.825 -0.021
item_ammo_smg1_ttt	2798.7883 9090.2861 0.4202	0.426 -0.004 0.274
item_ammo_smg1_ttt	2797.1421 9060.5264 0.4135	0.298 -0.005 0.189
item_ammo_smg1_ttt	3354.5830 7218.1597 0.5222	-0.119 0.079 -0.004
item_ammo_smg1_ttt	3354.8162 7240.7690 9.6370	-0.113 -13.909 -87.507
item_ammo_smg1_ttt	2376.2085 8225.6689 -143.5865	-0.301 0.005 0.191
item_ammo_smg1_ttt	2402.6138 8230.6201 -143.5155	0.794 -0.003 -0.642
item_ammo_smg1_ttt	3005.5728 9455.1631 0.5389	0.258 0.698 -0.005
item_ammo_smg1_ttt	3022.8506 9435.9141 0.4499	0.290 -26.175 -0.017
item_ammo_smg1_ttt	4088.4404 10190.0322 0.4965	-0.336 -0.016 0.681
item_ammo_smg1_ttt	4070.0859 10173.6504 0.5238	0.606 0.389 -0.134
item_ammo_smg1_ttt	5147.1357 9556.4375 0.4904	0.050 -0.561 0.245
item_ammo_smg1_ttt	5165.1567 9554.4941 0.5178	-0.264 0.014 -0.227
item_ammo_smg1_ttt	4168.1875 9699.1250 -31.6007	0.152 -0.005 0.090
item_ammo_smg1_ttt	4147.3330 9706.9229 -31.5888	0.269 -0.005 0.169
item_ammo_smg1_ttt	4121.6221 9712.3809 -31.6190	0.071 -0.005 0.035
item_ammo_smg1_ttt	3165.6809 11729.6104 96.4801	0.407 0.056 0.328
item_ammo_smg1_ttt	3177.6616 11710.3438 96.4995	0.674 0.026 0.341
item_ammo_smg1_ttt	3057.8162 12760.7588 66.5175	-0.249 0.014 -0.217
item_ammo_smg1_ttt	3057.3782 12790.7041 66.5239	-0.156 1.055 -0.153
item_ammo_smg1_ttt	3056.8206 12811.0732 66.5618	0.673 7.065 0.438
item_ammo_smg1_ttt	3059.8660 12840.5313 66.3837	0.079 -0.005 0.040
item_ammo_smg1_ttt	3058.1880 12878.1387 66.5185	-0.255 0.014 -0.216
item_ammo_smg1_ttt	6399.4121 10080.9248 32.5018	-0.800 0.013 -0.594
item_ammo_smg1_ttt	6339.5532 10125.6816 13.7338	-0.556 -31.604 -179.997
weapon_zm_shotgun	3352.5750 13074.3115 17.2569	-0.763 -10.116 -92.614
weapon_zm_shotgun	3685.5789 10328.8691 -7.2192	-0.421 7.191 84.469
weapon_zm_shotgun	2673.7957 12655.8242 69.9488	-31.684 17.060 81.454
weapon_zm_shotgun	2682.9624 12449.2344 -95.0104	-0.458 -9.464 -85.075
weapon_zm_shotgun	1474.4871 12168.0996 96.9852	-0.382 -8.924 -83.339
weapon_zm_shotgun	1131.3000 11396.7480 65.2635	-0.400 9.586 84.042
weapon_zm_shotgun	3199.8252 9568.8916 32.0687	-0.461 -9.266 -84.224
weapon_zm_shotgun	2742.3760 9040.0811 1.2681	-0.275 8.263 83.788
weapon_zm_shotgun	2815.2158 7781.2417 1.0267	-0.349 -7.111 -84.132
weapon_zm_shotgun	4305.6855 9226.9346 84.5352	-0.475 16.638 -84.674
weapon_zm_shotgun	4655.8325 9164.1035 -30.7407	-0.768 -6.569 -92.669
weapon_zm_shotgun	765.7000 10217.9492 1.0429	-0.943 -9.577 -88.915
weapon_zm_shotgun	1401.2942 12070.0527 258.2633	-0.221 7.635 83.534
weapon_ttt_m16	4416.9521 11312.8857 -7.2921	2.036 -8.048 85.399
weapon_ttt_m16	3221.9968 8445.6104 -142.7732	2.024 6.977 85.223
weapon_ttt_m16	3391.1106 10045.9082 0.6592	2.037 -7.810 84.294
weapon_ttt_m16	4642.6479 10420.7207 1.1433	1.975 9.515 85.281
weapon_ttt_m16	3878.1304 9715.6621 -30.8408	2.037 -8.134 84.294
weapon_ttt_m16	2916.4707 12818.4277 33.1592	2.037 -8.139 84.294
weapon_ttt_m16	2926.2556 12753.0459 33.1592	2.037 -8.137 84.294
weapon_ttt_m16	2869.0830 10712.4541 1.1755	1.911 5.837 85.693
weapon_ttt_m16	2501.4792 11217.3164 0.3340	-3.080 -74.875 84.645
weapon_ttt_m16	1725.1176 12058.8584 306.1592	2.037 -8.139 84.294
weapon_zm_molotov	3554.7517 13107.3691 30.5874	2.714 -0.133 -2.815
weapon_zm_molotov	3413.7144 10774.4453 4.5683	3.269 -0.146 -3.403
weapon_zm_molotov	3398.0046 10870.9307 4.5254	0.619 0.009 -0.361
weapon_zm_molotov	3364.0933 10814.1660 4.6162	1.889 -0.120 -1.951
weapon_zm_molotov	2885.5085 9003.6357 -99.4043	2.478 -0.127 -2.566
weapon_zm_molotov	2656.8005 9076.8721 4.6015	2.344 -0.127 -2.432
weapon_zm_molotov	2683.6926 9060.7773 4.5860	2.758 -0.136 -2.861
weapon_zm_molotov	5311.4727 9643.1338 20.6181	1.878 -0.119 -1.947
weapon_zm_molotov	4650.9570 9724.1328 -27.3614	1.224 -0.110 -1.259
weapon_zm_molotov	4665.2056 8777.5195 -27.3694	1.499 -0.113 -1.551
weapon_zm_molotov	4403.5840 8772.2656 -27.4989	0.245 0.003 0.096
weapon_zm_molotov	4145.1670 8769.7705 -27.4746	0.621 0.009 -0.363
weapon_zm_molotov	3890.3650 8770.9902 -27.4746	0.623 0.009 -0.366
weapon_zm_molotov	2159.8855 9224.6357 4.5843	2.795 -0.136 -2.898
weapon_zm_molotov	1813.5203 11342.7314 325.5901	2.630 -0.128 -2.725
weapon_zm_molotov	1814.1886 11353.9385 325.5834	2.851 -0.129 -2.962
weapon_zm_molotov	1813.9736 11367.5361 325.6316	1.414 -0.113 -1.453
weapon_zm_sledge	3385.3516 12857.4033 18.9520	0.719 -48.520 88.459
weapon_zm_sledge	1472.3671 11047.4346 3.0896	1.758 2.424 88.417
weapon_zm_sledge	4988.8965 10831.0957 -3.5559	18.666 0.688 2.989
weapon_zm_sledge	5268.2412 9426.8652 38.0566	1.296 38.956 88.387
weapon_zm_sledge	2999.6238 11850.5000 -92.9846	1.847 -4.616 87.861
item_box_buckshot_ttt	3420.5173 13064.2490 16.3932	-0.945 -0.002 0.843
item_box_buckshot_ttt	3400.2686 13087.4063 19.9681	89.235 63.537 176.170
