# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_powerplant
# Exported by: {CG} קнσєηιχƒ129
setting:	replacespawns 0
weapon_zm_pistol	-431.8460 748.3260 -125.2770	0.000 0.000 0.000
weapon_zm_pistol	323.7780 39.7915 2.7234	0.000 0.000 0.000
weapon_zm_pistol	-421.9640 -108.0790 2.7234	0.000 0.000 0.000
weapon_zm_pistol	1018.4100 -880.1250 -253.2770	0.000 0.000 0.000
item_ammo_pistol_ttt	122.9190 -1194.0000 -220.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	1015.9100 -532.0020 -254.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	950.9000 -533.0010 -254.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	888.9320 -535.9700 -254.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	822.8900 -537.9970 -254.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	759.6120 -537.3410 -254.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	-1156.4716 -95.0379 -255.6420	0.286 -0.086 -0.023
item_ammo_pistol_ttt	-1172.5992 -89.3740 -255.6269	0.275 -0.069 -0.021
weapon_zm_revolver	494.1810 -1783.1100 -253.0020	0.000 0.000 0.000
weapon_zm_revolver	835.8450 -705.1740 -109.0020	0.000 0.000 0.000
weapon_zm_revolver	380.0490 -283.2550 -253.0020	0.000 0.000 0.000
weapon_zm_revolver	919.9210 -532.8900 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	856.7900 -532.2010 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	790.2330 -537.6660 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	721.8090 -538.7430 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	985.3270 -539.2450 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	1039.0300 -540.6680 -167.0020	0.000 0.000 0.000
weapon_zm_revolver	62.0539 -44.0255 -253.0020	0.000 0.000 0.000
weapon_zm_revolver	-446.9850 849.9560 -125.0020	0.000 0.000 0.000
weapon_zm_revolver	406.3940 -117.9220 2.9983	0.000 0.000 0.000
weapon_zm_revolver	407.6090 -108.5080 2.9983	0.000 0.000 0.000
ttt_random_weapon	-353.9565 -1346.2454 -894.7874	1.732 4.927 -92.924
ttt_random_weapon	614.0958 -1000.2942 -254.7984	1.857 4.928 -92.638
ttt_random_weapon	610.5065 -1825.4866 -254.8006	1.882 4.926 -92.582
ttt_random_weapon	-718.2395 -604.0331 -126.7558	1.376 4.652 -93.741
ttt_random_weapon	-1226.8108 92.2982 -134.3788	1.205 4.049 -94.584
ttt_random_weapon	-287.8380 -104.4250 1.2274	1.566 4.984 -93.305
ttt_random_weapon	482.1627 75.0079 1.2458	1.107 -6.162 -96.055
ttt_random_weapon	-150.9776 388.2587 -126.7797	1.646 4.922 -93.121
ttt_random_weapon	-458.5701 519.7651 -126.7964	1.834 4.930 -92.691
ttt_random_weapon	-17.0606 -94.4894 -254.7626	1.446 5.728 -93.606
ttt_random_weapon	109.1400 -232.2405 -254.7784	1.615 5.721 -93.260
ttt_random_weapon	855.5172 -695.0343 -254.7795	1.644 4.988 -93.127
item_ammo_smg1_ttt	65.0000 -490.0000 -218.0000	0.000 75.000 0.000
item_ammo_smg1_ttt	40.6496 -485.8020 -218.0000	0.000 75.000 0.000
item_ammo_smg1_ttt	-281.1490 100.0000 -221.0000	0.000 0.000 0.000
item_ammo_smg1_ttt	-266.0000 99.8156 -221.0000	0.000 0.000 0.000
