# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_siege_2010
# Exported by: Ultraboy
setting:	replacespawns 0
weapon_zm_pistol	203.5215 285.5740 -553.1723	-0.152 36.021 87.965
weapon_zm_pistol	349.6188 1349.3208 -602.3345	-21.765 -44.676 -84.638
weapon_zm_pistol	349.8758 1318.1033 -603.5273	-18.147 37.550 80.464
weapon_zm_pistol	351.7170 1297.5233 -603.6016	-12.744 33.467 81.695
weapon_zm_pistol	-80.8558 2646.0220 53.6113	0.010 35.109 88.801
weapon_zm_pistol	-74.3259 2620.2170 53.5502	0.021 35.153 87.551
weapon_zm_pistol	1610.4102 -513.7256 -47.6180	0.000 -73.802 89.848
weapon_zm_pistol	1272.2336 221.4131 236.8321	1.067 37.947 100.704
weapon_zm_pistol	2177.9363 1238.1136 -399.7271	-0.148 36.020 88.021
weapon_zm_pistol	3262.6965 -692.8674 -91.9952	0.542 36.673 88.946
weapon_zm_pistol	4110.4878 -1347.7367 -5.6662	-0.654 36.425 90.787
weapon_zm_pistol	4436.5811 -593.8223 -13.8643	0.650 36.686 88.767
weapon_zm_pistol	3831.1340 -717.0635 32.3517	0.612 36.684 88.830
weapon_zm_pistol	4677.7349 -890.8084 -12.7180	-1.193 -37.776 -91.413
weapon_zm_pistol	4680.9902 -908.8862 -12.6658	-0.467 -37.744 -90.440
weapon_zm_pistol	3043.4092 175.9867 -78.1934	-0.778 -35.092 -90.856
item_ammo_pistol_ttt	1699.7329 829.4334 -79.5778	-0.067 -0.020 -0.020
item_ammo_pistol_ttt	1694.5186 797.2881 -79.6312	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	230.5691 287.6559 -561.9863	-0.107 -0.021 -0.024
item_ammo_pistol_ttt	334.8198 1293.6350 -604.8392	-86.479 -24.488 24.843
item_ammo_pistol_ttt	334.4954 1323.2372 -603.9998	-86.593 -26.151 26.430
item_ammo_pistol_ttt	333.3391 1349.1207 -603.3765	-83.417 -152.075 149.927
item_ammo_pistol_ttt	-100.6494 2651.2131 53.6242	-0.008 -0.028 0.016
item_ammo_pistol_ttt	-100.9779 2620.4956 53.6742	-0.090 -0.021 -0.022
item_ammo_pistol_ttt	1784.0980 -505.6154 -47.5634	1.482 -0.002 0.073
item_ammo_pistol_ttt	1797.1322 -505.6128 -47.5645	1.091 0.083 -0.058
item_ammo_pistol_ttt	1616.5414 -173.4817 45.1500	-0.596 -0.619 -11.027
item_ammo_pistol_ttt	1600.2305 -179.7062 45.9900	-1.304 -0.483 -10.297
item_ammo_pistol_ttt	1269.4662 233.1890 236.7417	-7.211 1.051 -10.948
item_ammo_pistol_ttt	3234.8252 -690.1910 -92.0119	-0.136 -0.020 -0.032
item_ammo_pistol_ttt	3238.8059 -660.5240 -91.9855	-0.110 0.051 0.004
item_ammo_pistol_ttt	3267.4299 -659.8417 -91.9614	0.093 0.021 -0.020
item_ammo_pistol_ttt	4116.2905 -1329.6415 -5.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	4037.2007 -597.3819 -47.5487	-0.968 3.745 -0.005
item_ammo_pistol_ttt	4044.6680 -572.6114 -47.5505	0.154 0.418 -0.037
item_ammo_pistol_ttt	3826.9292 -700.3782 32.4288	-0.061 -0.020 -0.019
item_ammo_pistol_ttt	4680.6519 -965.2079 -13.8357	-0.103 -0.020 -0.026
item_ammo_pistol_ttt	4686.3882 -938.8389 -13.8128	-0.083 -0.020 -0.021
item_ammo_pistol_ttt	3052.2288 157.4124 -79.3609	-0.225 -0.013 -0.063
weapon_zm_revolver	1347.7649 709.7824 -462.0178	3.468 -179.296 -83.340
weapon_zm_revolver	1879.3727 1142.3324 -78.0986	2.455 -20.349 -83.490
weapon_zm_revolver	1282.3839 390.3805 -77.0672	2.803 -20.077 -83.514
weapon_zm_revolver	-642.2423 924.6952 -25.3349	11.845 -31.129 -92.969
weapon_zm_revolver	1572.6970 -556.2292 66.8545	1.195 -21.683 -79.656
weapon_zm_revolver	2068.2563 231.5876 24.2618	7.617 -25.767 -78.976
weapon_zm_revolver	1298.7690 372.2511 39.9386	2.744 -20.107 -83.740
weapon_zm_revolver	1684.9965 555.2086 41.8843	2.471 -20.318 -83.105
weapon_zm_revolver	1689.5219 514.8918 41.9014	2.455 -20.349 -83.490
weapon_zm_revolver	2123.1213 -641.5581 -467.0923	2.449 -20.359 -83.631
weapon_zm_revolver	2777.8340 -1315.2197 -142.0697	2.450 -22.121 -84.102
weapon_zm_revolver	3234.1287 -1395.8959 -101.6935	2.451 -20.353 -83.585
weapon_zm_revolver	4161.0903 -1556.2107 -126.1020	2.458 -20.341 -83.414
weapon_zm_revolver	2587.2251 -780.5628 -123.0519	2.647 -20.147 -84.115
weapon_zm_revolver	2370.9565 -781.6688 -123.0636	2.766 -20.094 -83.653
ttt_random_weapon	1420.8193 573.9243 -701.1141	2.194 21.896 -90.753
ttt_random_weapon	1280.4460 731.3802 -78.7807	1.657 4.697 -93.096
ttt_random_weapon	-317.7695 -9.9473 19.3286	3.968 4.214 -92.447
ttt_random_weapon	-265.0606 -33.2763 16.9148	3.497 -1.541 -92.696
ttt_random_weapon	1164.8748 -168.4901 53.6566	0.354 2.861 -94.546
ttt_random_weapon	1071.0217 378.4360 1.0204	-2.171 3.238 86.384
ttt_random_weapon	1575.0167 384.3753 238.3150	-0.799 -1.961 91.648
ttt_random_weapon	2687.2854 -643.0070 -142.8032	1.911 4.622 -92.515
