# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_suburb_beta15a
# Exported by: ultraboy [smoker]
setting:	replacespawns 0
weapon_zm_pistol	-2.6634 -621.5509 8.3665	-0.059 36.361 89.734
weapon_zm_pistol	-1.9303 -563.6392 8.2910	-0.123 36.013 88.324
weapon_zm_pistol	-278.9517 277.8354 184.2885	0.010 36.251 87.916
weapon_zm_pistol	323.4796 463.3062 402.9597	0.066 -44.272 -87.548
weapon_zm_pistol	302.8773 471.5330 402.9126	-0.398 -38.999 -88.013
weapon_zm_pistol	9.1124 331.0679 412.2778	0.020 35.157 87.718
item_ammo_pistol_ttt	-11.3326 -630.1954 8.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-25.6928 -631.8828 8.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-18.3082 -568.2900 8.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-34.4255 -566.6796 8.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	390.9014 -173.5912 120.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	371.6333 -174.4615 120.3887	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	-323.0550 278.7510 184.4462	-0.046 -0.020 -0.014
item_ammo_pistol_ttt	-312.9769 280.1500 184.3853	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-303.8948 280.6062 184.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-294.2509 279.9717 184.4083	-0.079 -0.020 -0.024
item_ammo_pistol_ttt	1.5254 503.3951 228.3870	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	1.8481 529.6307 228.4186	-0.070 -0.020 -0.021
item_ammo_pistol_ttt	345.3004 442.6373 401.9325	-0.121 -0.027 -0.056
item_ammo_pistol_ttt	329.7481 444.5066 401.8640	-0.246 -0.025 -0.114
item_ammo_pistol_ttt	306.3889 445.2553 401.8976	-0.184 -0.027 -0.086
item_ammo_pistol_ttt	-1.1187 340.8551 412.3176	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	-54.9419 -425.6374 404.3707	-0.112 -0.020 -0.034
item_ammo_pistol_ttt	-40.3073 -426.2098 404.4266	-0.063 -0.020 -0.019
weapon_zm_revolver	49.6890 623.9881 9.9826	2.588 -19.722 -85.379
weapon_zm_revolver	280.7280 -346.0901 43.4741	2.978 -21.705 -84.059
weapon_zm_revolver	-64.0716 532.4420 219.4246	2.504 -23.642 -84.869
weapon_zm_revolver	-240.7417 454.9288 229.4796	2.763 -21.321 -84.566
weapon_zm_revolver	-364.2702 389.2088 229.9489	2.640 -20.153 -84.145
weapon_zm_revolver	-378.2041 427.1658 413.8766	1.628 -17.283 -86.442
weapon_zm_revolver	-348.0289 -147.1100 369.9359	2.511 -19.710 -84.108
ttt_random_weapon	384.9779 118.7771 33.2634	1.437 85.525 -94.444
ttt_random_weapon	379.1299 238.8440 33.2250	1.373 87.758 -93.495
ttt_random_weapon	-206.1775 566.4861 229.1380	1.529 28.756 -92.192
ttt_random_weapon	-235.3701 565.6744 413.2136	1.722 4.703 -92.947
ttt_random_weapon	-197.6206 292.9370 377.2283	1.556 4.984 -93.329
ttt_random_weapon	303.8108 -427.6460 387.1617	2.251 5.678 -91.951
ttt_random_weapon	389.5956 -342.1909 397.6992	-2.541 107.597 85.395
ttt_random_weapon	-349.1790 -439.8929 379.5092	-2.115 -88.687 85.966
ttt_random_weapon	-296.2672 121.4306 394.7065	1.803 4.375 -92.763
ttt_random_weapon	140.6119 -367.8972 411.1916	0.747 104.976 -93.782
item_ammo_smg1_ttt	308.4818 479.3144 8.4825	0.647 -0.102 0.122
item_ammo_smg1_ttt	283.9258 503.1494 8.4112	-0.265 0.005 0.166
item_ammo_smg1_ttt	149.9964 317.4117 218.5030	-0.803 0.013 -0.600
item_ammo_smg1_ttt	319.1000 -571.3373 394.5039	-0.733 0.011 -0.553
