# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_unatcohq_v1_d
# Exported by: Lanix
setting:	replacespawns 1
weapon_zm_pistol	-280.1714 1742.8899 -210.6388	0.420 36.654 89.151
weapon_zm_pistol	79.1480 1434.7272 -215.6429	0.503 36.667 89.012
weapon_zm_pistol	-900.8262 1167.6189 -119.6444	0.534 36.674 88.960
weapon_zm_pistol	194.0702 -287.0841 0.3600	0.094 36.550 89.274
weapon_zm_pistol	117.3021 89.5504 1.5360	0.319 -47.819 -88.673
weapon_zm_pistol	1263.9426 -1241.4620 361.2849	-0.845 -44.537 -90.977
item_ammo_pistol_ttt	-286.2234 1829.4215 -215.5166	-0.012 0.241 0.096
item_ammo_pistol_ttt	-293.9123 1829.9500 -215.5219	0.414 -0.037 -0.000
item_ammo_pistol_ttt	-275.5748 1829.7354 -215.6498	-0.100 -0.001 0.005
item_ammo_pistol_ttt	-271.2568 1725.2985 -210.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-278.5485 1725.4581 -210.5959	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	-287.2243 1726.0435 -210.5587	-0.050 -0.020 -0.015
item_ammo_pistol_ttt	83.0677 1899.2595 -255.6312	-0.113 -0.020 -0.034
item_ammo_pistol_ttt	63.4029 1896.5508 -255.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	73.2638 1867.5621 -255.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	57.9481 1436.6902 -215.5431	-0.037 -0.020 -0.011
item_ammo_pistol_ttt	44.3104 1437.4857 -215.5605	-0.052 -0.020 -0.016
item_ammo_pistol_ttt	51.0993 1458.5001 -215.5661	-0.057 -0.020 -0.017
item_ammo_pistol_ttt	-1537.9384 943.7172 -119.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-1525.5476 948.9619 -119.6797	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	-1516.4220 946.4778 -119.6181	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-1492.7614 872.2850 -119.6064	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	-1482.1743 871.8638 -119.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-1475.3204 872.0298 -119.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-938.6024 1634.7327 -252.7694	-89.962 -178.999 180.000
item_ammo_pistol_ttt	-917.0150 1629.6766 -255.6414	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-896.1943 1645.9313 -255.6048	-0.091 -0.020 -0.027
item_ammo_pistol_ttt	-888.1776 1185.1361 -119.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-872.0814 1166.0740 -119.5851	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	-878.1544 1145.1627 -119.6524	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-938.8940 -361.5988 0.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-922.9241 -361.2864 0.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	-908.3644 -362.7193 0.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-841.7491 -494.3113 0.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-842.8696 -475.7083 0.3651	1.308 0.079 0.446
item_ammo_pistol_ttt	-840.0930 -457.1108 0.3629	-0.369 -0.018 -0.164
item_ammo_pistol_ttt	-412.3186 -294.7503 0.4426	-0.774 0.190 -0.608
item_ammo_pistol_ttt	-363.7333 -293.7281 0.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-389.8336 -267.7898 0.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	197.2283 -337.6971 0.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	172.0956 -341.1256 0.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	171.3140 -359.6639 0.4498	-0.362 0.880 -0.436
item_ammo_pistol_ttt	1432.9823 -727.6393 344.4742	0.365 1.952 0.046
item_ammo_pistol_ttt	1442.3711 -770.5814 344.3819	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	1426.2257 -752.1088 344.3669	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	114.6438 67.2835 0.4123	-0.075 -0.020 -0.023
item_ammo_pistol_ttt	100.5602 82.3417 0.4041	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	81.6870 86.2065 0.4367	-0.440 0.691 -0.546
item_ammo_pistol_ttt	-214.1027 83.1588 0.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	-228.6106 65.5869 0.3565	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-252.6669 56.8072 0.3688	-0.113 -0.020 -0.034
item_ammo_pistol_ttt	-957.7554 468.2206 -119.5890	-0.077 -0.020 -0.023
item_ammo_pistol_ttt	-974.3752 469.3183 -119.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-998.7952 472.0219 -119.5790	-0.068 -0.020 -0.021
item_ammo_pistol_ttt	1098.7089 -624.0898 336.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	1085.7401 -628.1874 336.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	1073.5593 -626.4039 336.4404	-0.051 -0.020 -0.015
item_ammo_pistol_ttt	1161.9487 -617.5037 336.3599	-0.207 -0.022 -0.105
item_ammo_pistol_ttt	1149.2671 -626.6178 336.4319	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	1131.4077 -619.7215 336.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1211.4924 -1264.7783 382.3801	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	1200.1956 -1264.0836 382.4677	0.633 0.256 -0.004
item_ammo_pistol_ttt	1193.8252 -1260.1936 382.4435	1.184 0.013 -0.024
weapon_zm_revolver	-1026.7723 734.4844 -118.1131	2.468 -19.034 -83.163
weapon_zm_revolver	-726.7307 578.8724 -118.0268	2.387 -16.464 -85.121
weapon_zm_revolver	-892.0524 561.8419 -117.1453	9.688 -22.751 -72.037
weapon_zm_revolver	-173.9064 1328.0336 -254.1803	2.084 -18.833 -83.485
weapon_zm_revolver	-318.4966 1821.4720 -250.0655	2.597 -15.176 -84.443
weapon_zm_revolver	-164.2191 902.6663 -118.1079	2.227 -18.932 -84.254
weapon_zm_revolver	-1031.8999 176.4245 1.9416	2.713 -20.120 -83.859
weapon_zm_revolver	1035.8350 -780.7890 337.9411	2.718 -20.119 -83.840
ttt_random_weapon	-1329.8826 1626.4362 -212.7738	1.580 4.686 -93.273
ttt_random_weapon	-976.7250 1681.8994 -254.7803	1.653 5.834 -93.105
ttt_random_weapon	-980.0659 1537.5743 -254.7997	1.842 5.713 -92.793
ttt_random_weapon	-568.5915 -324.3910 43.2337	1.494 5.062 -93.469
ttt_random_weapon	1454.5422 -379.3568 337.1740	2.168 2.112 -91.926
ttt_random_weapon	1454.1968 -398.9336 337.1681	2.069 1.577 -92.807
ttt_random_weapon	1455.1456 -865.7026 337.2251	1.592 4.585 -93.246
ttt_random_weapon	-896.1389 -230.5671 1.2250	1.594 4.244 -93.242
ttt_random_weapon	-748.5140 257.4553 1.1984	1.893 4.717 -92.557
ttt_random_weapon	-73.0721 1442.8549 -214.7979	1.852 4.715 -92.650
ttt_random_weapon	-224.9514 1769.1511 -221.8001	1.876 4.716 -92.595
ttt_random_weapon	-218.3378 1793.7113 -221.7886	1.747 4.706 -92.892
item_ammo_smg1_ttt	-237.8847 1917.6168 -255.5245	-0.562 0.014 0.252
item_ammo_smg1_ttt	-223.1122 1922.1786 -255.5820	-0.377 0.005 0.241
item_ammo_smg1_ttt	-160.6923 1970.8918 -255.4568	-0.077 1.502 -0.092
item_ammo_smg1_ttt	-151.1743 1951.1520 -255.5214	0.491 0.816 -0.263
item_ammo_smg1_ttt	-1191.3922 1431.0170 -255.5161	-0.792 0.003 -0.639
item_ammo_smg1_ttt	-1170.6980 1437.1940 -255.5724	0.282 -0.003 0.170
item_ammo_smg1_ttt	-1099.0861 1114.2974 -255.4701	-0.177 0.017 -0.156
item_ammo_smg1_ttt	-1074.7258 1102.1903 -255.5019	-0.850 0.012 -0.631
item_ammo_smg1_ttt	985.3536 -623.3283 336.4306	0.751 -0.002 0.491
item_ammo_smg1_ttt	984.7097 -660.0552 336.4823	-0.079 -0.002 -0.172
item_ammo_smg1_ttt	832.5639 -1255.5802 382.4223	0.478 -0.004 0.309
