# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_urban_ruins_b1
# Exported by: {CG} קнσєηιχƒ129
setting:	replacespawns 0
weapon_zm_pistol	1549.0000 36.0534 263.7230	0.000 0.000 0.000
weapon_zm_pistol	997.0000 312.0000 263.7230	0.000 327.500 0.000
weapon_zm_pistol	983.0000 294.0000 263.7230	0.000 24.500 0.000
weapon_zm_pistol	991.0000 278.0000 263.7230	0.000 0.000 0.000
weapon_zm_pistol	-272.8290 1053.8700 778.7230	0.000 0.000 0.000
weapon_zm_pistol	-230.0310 1071.9800 778.7230	0.000 311.500 0.000
weapon_zm_pistol	-928.4060 1424.5800 642.7230	0.000 319.000 0.000
weapon_zm_pistol	845.0000 1522.0000 185.0000	0.000 0.000 0.000
weapon_zm_pistol	523.0000 -1645.0000 148.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	968.1830 109.9480 390.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	956.7900 110.0090 390.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1654.0900 1587.1801 258.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1643.9800 1588.2900 258.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	722.0000 1190.0000 306.0000	0.000 26.500 0.000
item_ammo_pistol_ttt	742.0000 1184.0000 306.0000	0.000 321.500 0.000
item_ammo_pistol_ttt	-984.0270 1407.2800 258.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-971.1640 1403.6400 258.2800	0.000 331.000 0.000
item_ammo_pistol_ttt	431.9960 1196.5500 258.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	417.4610 1196.5400 258.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1041.2200 305.6100 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1028.8900 305.4000 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1020.2700 305.4610 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1040.5601 274.8020 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1027.9800 274.8400 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1015.6600 274.5570 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1583.0300 44.4641 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	1568.8000 44.0001 262.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-970.9360 1383.2000 641.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-982.5930 1392.0400 641.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-283.1080 1230.9200 777.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-295.2300 1228.2200 777.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-289.0090 1261.8500 777.2800	0.000 0.000 0.000
