# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: xmas_nipperhouse
# Exported by: Predators
setting:	replacespawns 0
weapon_zm_pistol	-60.2881 -49.3393 321.4835	0.064 -42.057 -87.782
weapon_zm_pistol	508.3769 -160.1882 448.2853	-0.131 36.017 88.229
item_ammo_pistol_ttt	-1428.4989 -1154.7943 2.4895	-0.055 1.700 16.102
item_ammo_pistol_ttt	-1425.1831 -1125.5931 1.6729	1.475 0.278 -13.574
item_ammo_pistol_ttt	-1435.0159 -1155.4779 1.9615	-3.447 0.499 10.608
item_ammo_pistol_ttt	-1436.2554 -1122.5837 2.5224	-88.529 -61.825 56.986
item_ammo_pistol_ttt	406.7227 17.3800 184.2513	0.869 0.089 0.113
item_ammo_pistol_ttt	396.6077 17.5855 184.2042	-0.288 0.013 0.093
item_ammo_pistol_ttt	387.4239 17.4092 184.2443	0.280 0.072 0.052
item_ammo_pistol_ttt	378.1722 17.4378 184.2617	-0.155 -0.045 0.098
item_ammo_pistol_ttt	343.7774 -245.8551 173.9773	-0.786 0.566 2.207
item_ammo_pistol_ttt	309.6801 -192.8075 168.4375	-0.336 0.035 -0.466
item_ammo_pistol_ttt	298.3933 -193.2233 168.4462	-0.353 0.187 -0.456
item_ammo_pistol_ttt	289.9631 -193.2696 168.4533	-0.271 0.103 -0.378
item_ammo_pistol_ttt	281.9819 -193.7861 168.4321	-0.330 0.270 -0.533
item_ammo_pistol_ttt	-52.8746 -48.2386 321.6440	3.687 0.557 -6.446
item_ammo_pistol_ttt	-136.8553 -204.4780 168.6380	0.088 0.024 -0.013
item_ammo_pistol_ttt	-138.1693 -182.7860 168.6915	-1.150 -8.108 0.002
item_ammo_pistol_ttt	-131.5126 -182.1891 168.7216	-0.543 -5.379 -0.002
item_ammo_pistol_ttt	-129.9330 -204.9597 168.6496	0.091 0.030 -0.027
item_ammo_pistol_ttt	339.7346 -1.6525 -107.5240	0.630 1.755 0.059
item_ammo_pistol_ttt	338.6241 -19.8320 -107.5173	-1.237 2.030 0.610
item_ammo_pistol_ttt	-168.9727 79.8693 -20.7410	-4.506 1.236 -11.853
item_ammo_pistol_ttt	-194.8851 80.9262 -24.5583	-66.409 158.061 -151.211
item_ammo_pistol_ttt	-183.8434 82.1368 -21.2432	-67.589 151.508 -144.832
item_ammo_pistol_ttt	-176.5204 81.8502 -20.5879	-50.907 20.505 -20.081
item_ammo_pistol_ttt	-147.5897 1093.8566 -22.5005	-0.123 -0.020 -0.030
item_ammo_pistol_ttt	-136.4532 1092.8604 -22.4860	-0.111 -0.020 -0.027
item_ammo_pistol_ttt	-127.0113 1093.5367 -22.4762	0.003 0.030 0.014
item_ammo_pistol_ttt	-163.9139 1092.8770 29.1725	-0.107 -0.020 -0.026
item_ammo_pistol_ttt	-134.9494 841.5022 80.4345	-0.353 0.035 -0.487
item_ammo_pistol_ttt	-146.8595 839.7423 80.4477	1.296 0.037 0.100
item_ammo_pistol_ttt	514.0003 248.5914 -5.9539	9.639 0.472 3.644
item_ammo_pistol_ttt	515.7694 221.8672 -7.9148	9.564 0.416 3.634
item_ammo_pistol_ttt	244.2330 266.7424 179.6454	0.843 0.067 -4.033
item_ammo_pistol_ttt	243.8902 292.2461 177.9529	0.355 0.095 -3.981
weapon_zm_revolver	-1975.4825 -1609.8866 481.4512	2.214 -10.117 -85.422
weapon_zm_revolver	-661.9887 581.1891 169.8821	2.276 -29.896 -83.865
weapon_zm_revolver	429.3656 -14.8286 181.5728	-5.662 -19.639 -86.008
weapon_zm_revolver	276.0735 125.7686 310.5843	2.084 -20.010 -85.370
weapon_zm_revolver	154.8931 197.7791 146.9321	-22.119 108.941 -88.522
weapon_zm_revolver	256.2954 225.2153 -104.2987	3.098 -17.665 -83.616
ttt_random_weapon	-2295.0601 -1219.7335 453.6355	13.812 2.064 -97.109
ttt_random_weapon	-2304.1470 -1312.5938 459.6283	9.709 3.691 -93.761
ttt_random_weapon	-2309.7737 -1407.4229 455.5414	9.591 3.358 -88.493
ttt_random_weapon	-2317.1558 -1512.1466 456.9810	8.968 -9.627 89.951
ttt_random_weapon	-536.7705 695.3407 169.2267	1.574 5.306 -93.287
ttt_random_weapon	-698.5686 798.0409 25.2054	1.814 4.776 -92.736
ttt_random_weapon	405.8963 980.6746 -16.8485	2.259 -2.088 -96.773
ttt_random_weapon	306.3062 988.6359 -15.9649	0.852 6.205 -95.101
ttt_random_weapon	210.2857 994.1922 -20.8374	1.442 3.875 -93.513
ttt_random_weapon	87.2297 1002.3124 -18.8132	-0.068 4.717 -92.302
ttt_random_weapon	-83.5270 22.0767 302.0629	-27.420 12.799 -99.728
ttt_random_weapon	357.9435 -103.9907 289.1961	1.919 4.783 -92.496
ttt_random_weapon	346.7364 171.5334 289.2125	1.734 4.770 -92.919
ttt_random_weapon	22.0008 -86.8961 289.2047	1.822 4.776 -92.719
ttt_random_weapon	106.7445 -171.7650 161.7478	-2.035 140.168 85.368
ttt_random_weapon	459.0017 85.3883 -142.7631	1.183 -5.437 -94.193
ttt_random_weapon	316.3489 -6.2319 -106.8397	2.265 5.679 -91.922
ttt_random_weapon	459.2906 -215.0077 1.1617	2.251 5.678 -91.951
ttt_random_weapon	454.6878 -239.8837 1.2003	1.842 5.713 -92.793
ttt_random_weapon	554.1380 8.4026 -14.0162	0.275 -3.605 -103.467
ttt_random_weapon	560.2096 123.4681 -18.6381	-1.701 -4.922 98.268
ttt_random_weapon	449.6563 53.4752 145.1969	1.910 4.782 -92.516
item_ammo_smg1_ttt	-664.5477 635.6969 170.4414	0.283 -0.175 13.626
item_ammo_smg1_ttt	476.9804 123.0853 183.9591	0.603 -0.006 0.388
item_ammo_smg1_ttt	463.0436 121.9472 184.0663	-0.153 0.010 -0.143
item_ammo_smg1_ttt	323.3445 -179.5140 168.4371	1.091 0.001 0.719
item_ammo_smg1_ttt	338.6413 -180.7780 168.3837	0.079 -0.005 0.040
item_ammo_smg1_ttt	323.6035 -204.1665 168.4180	0.375 -0.005 0.240
item_ammo_smg1_ttt	339.4006 -204.5320 168.5025	-0.587 0.011 -0.450
item_ammo_smg1_ttt	419.6796 216.0009 -108.3537	-0.073 -0.183 0.104
item_ammo_smg1_ttt	407.7103 218.1423 -108.3957	-0.266 0.144 0.143
item_ammo_smg1_ttt	-160.6951 1092.5735 -22.3581	0.019 2.713 -0.467
item_ammo_smg1_ttt	-163.2065 1088.8975 3.4900	0.019 0.039 0.011
item_ammo_smg1_ttt	-145.7367 1090.9822 3.5846	-0.215 0.010 -0.182
item_ammo_smg1_ttt	-127.1033 1091.6742 3.4778	0.322 -0.007 0.200
item_ammo_smg1_ttt	292.2298 271.7034 179.4130	0.136 0.828 -4.101
item_ammo_smg1_ttt	290.4507 297.0601 177.6610	0.139 0.828 -4.109
item_ammo_smg1_ttt	275.1497 266.1617 179.7455	0.194 0.841 -4.215
item_ammo_smg1_ttt	275.3812 300.3764 177.4009	0.176 0.835 -4.180
weapon_zm_shotgun	72.1151 134.1474 -103.0592	-0.482 84.925 -83.538
weapon_zm_shotgun	-82.9261 395.4474 35.0386	-0.849 -9.577 -88.274
weapon_ttt_m16	-1424.3157 -1134.9801 0.8701	1.985 -16.702 -83.045
weapon_ttt_m16	-1430.2849 -1159.1224 0.3128	-0.218 6.279 -80.293
weapon_ttt_m16	-119.2814 -179.7409 146.3365	2.269 -88.330 -85.168
weapon_ttt_m16	-114.2028 886.9557 81.1627	1.861 1.579 85.740
weapon_ttt_m16	566.2859 304.7000 11.8888	-6.608 13.863 -51.588
weapon_zm_molotov	-1390.8230 -1181.8831 1.7823	2.350 -0.775 0.756
weapon_zm_molotov	-1392.1256 -1187.8506 1.7115	2.513 -0.781 0.760
weapon_zm_molotov	-1973.7224 -1632.4310 484.1756	0.010 0.488 0.006
weapon_zm_molotov	-1975.2335 -1620.5813 484.1756	0.010 0.424 0.006
weapon_zm_molotov	-894.3831 565.3362 172.5132	0.345 0.002 -0.027
weapon_zm_molotov	-901.6295 578.1642 172.6119	2.048 -0.122 -2.120
weapon_zm_molotov	377.6448 179.0196 190.4992	0.532 0.004 -0.032
weapon_zm_molotov	376.0812 165.9871 190.4899	0.272 0.003 0.093
weapon_zm_molotov	276.5154 108.5900 313.3041	1.641 -0.112 -1.671
weapon_zm_molotov	275.3612 94.4206 313.2102	1.414 0.010 -1.162
weapon_zm_molotov	371.7769 65.7962 324.5244	0.577 0.016 0.528
weapon_zm_molotov	364.1736 72.8097 324.5296	1.400 0.029 0.887
weapon_zm_molotov	537.5958 -103.4071 452.5140	0.357 0.002 -0.021
weapon_zm_molotov	530.1458 -101.2719 452.5722	3.106 -0.132 -3.199
weapon_zm_molotov	182.7559 273.8006 183.3908	1.268 1.590 -7.039
weapon_zm_molotov	173.7884 274.1392 183.3492	1.531 1.468 -7.771
item_box_buckshot_ttt	71.1261 171.4968 -103.6125	0.029 -62.017 0.020
item_box_buckshot_ttt	76.5602 183.0888 -103.5715	0.523 -9.988 0.374
item_box_buckshot_ttt	232.4026 -32.0092 37.0064	0.437 0.007 0.371
item_box_buckshot_ttt	255.4129 -32.5216 36.9157	0.202 -0.004 -0.087
item_box_buckshot_ttt	-87.7820 377.7527 34.4707	1.614 -0.221 -0.388
item_box_buckshot_ttt	-70.8019 379.8639 34.4604	0.643 0.299 -0.050
item_box_buckshot_ttt	-153.9393 1096.2137 29.1845	-0.791 -0.006 0.714
item_box_buckshot_ttt	-144.5828 1096.8706 29.2789	-0.292 -0.001 0.246
weapon_zm_sledge	-997.1827 -616.6570 535.2557	2.719 12.637 113.538
